Date,Open,High,Low,Close,Volume,Adj Close
12/1/2010,15.69,16.72,15.69,16.71,0,16.71
11/1/2010,14.69,15.57,14.69,15.35,0,15.35
10/1/2010,14.28,14.97,14.07,14.76,0,14.76
9/1/2010,13.21,14.25,13.21,14.23,0,14.23
8/2/2010,14.07,14.07,12.59,12.7,0,12.67
7/1/2010,12.71,14.05,12.42,13.82,0,13.79
6/1/2010,13.66,14.22,12.82,12.82,0,12.79
5/3/2010,15.87,15.87,13.64,14.18,0,14.13
4/1/2010,14.7,16.21,14.7,15.58,0,15.53
3/1/2010,13.71,14.72,13.71,14.53,0,14.48
2/1/2010,12.91,13.52,12.43,13.42,0,13.37
1/4/2010,13.34,13.65,12.71,12.71,0,12.66
12/1/2009,12.28,13.18,12.22,13.01,0,12.96
11/2/2009,11.67,12.59,11.67,12.09,0,12.01
10/1/2009,12.15,13.13,11.7,11.7,0,11.62
9/1/2009,11.64,12.96,11.56,12.61,0,12.52
8/3/2009,11.61,12.2,11.36,11.97,0,11.86
7/1/2009,10.36,11.36,9.61,11.36,0,11.26
6/1/2009,10.61,10.72,9.71,10.15,0,10.06
5/1/2009,9.88,10.57,9.61,10.21,0,10.09
4/1/2009,8.46,9.93,8.46,9.87,0,9.76
3/2/2009,7.05,8.79,6.47,8.26,0,8.17
2/2/2009,8.66,9.19,7.45,7.47,0,7.36
1/2/2009,10.16,10.41,8.53,8.6,0,8.48
12/1/2008,8.34,9.97,8.34,9.97,0,9.83
11/3/2008,10.86,11.06,7.63,9.43,0,9.23
10/1/2008,13.79,13.79,9.16,10.84,0,10.61
9/2/2008,14.86,15.51,13.38,13.84,0,13.55
8/1/2008,14.22,15.1,14.02,14.82,0,14.46
7/1/2008,13.84,14.35,13.02,14.18,0,13.84
6/2/2008,15.27,15.64,13.82,13.82,0,13.49
5/1/2008,15,15.41,14.83,15.41,0,15.04
4/1/2008,14.7,14.92,14.18,14.73,0,14.38
3/3/2008,14.14,14.57,13.45,14.26,0,13.92
2/1/2008,14.84,14.84,14.17,14.17,0,13.83
1/2/2008,15.04,15.04,13.47,14.54,0,14.19
12/3/2007,15.71,16.34,15.05,15.27,0,14.9
11/1/2007,16.51,16.56,15.27,15.89,0,15.51
10/1/2007,17.42,17.72,16.7,17.11,0,16.7
9/4/2007,17.24,17.39,16.54,17.07,0,16.66
8/1/2007,17.11,17.27,16.28,17.1,0,16.69
7/2/2007,18.7,18.9,17.15,17.15,0,16.74
6/1/2007,18.93,19,18.3,18.49,0,18.05
5/1/2007,18.07,18.78,18.07,18.78,0,18.33
4/2/2007,17.69,18.41,17.69,18,0,17.57
3/1/2007,17.49,17.83,16.89,17.64,0,17.22
2/1/2007,17.75,18.21,17.52,17.52,0,17.1
1/3/2007,17.28,17.61,17,17.61,0,17.19
12/1/2006,18.6,18.95,17.1,17.25,0,16.84
11/1/2006,17.8,18.82,17.8,18.69,0,18.24
10/2/2006,17.08,18.29,17.08,18.07,0,17.64
9/1/2006,17.19,17.42,16.86,17.22,0,16.81
8/1/2006,16.52,17.1,16.35,17.1,0,16.69
7/3/2006,17.34,17.34,16.12,16.72,0,16.32
6/1/2006,17.53,17.53,16.22,17.25,0,16.84
5/1/2006,17.79,18.32,16.96,17.21,0,16.8
4/3/2006,17.59,17.95,17.26,17.83,0,17.4
3/1/2006,17.16,17.6,16.68,17.6,0,17.18
2/1/2006,17.11,17.11,16.54,16.91,0,16.5
1/3/2006,16.01,17.09,16.01,17.09,0,16.68
12/1/2005,17.66,17.73,15.71,15.82,0,15.44
11/1/2005,16.54,17.46,16.54,17.33,0,16.91
10/3/2005,17.07,17.07,15.96,16.26,0,15.87
9/1/2005,17.09,17.25,16.56,17.01,0,16.6
8/1/2005,17.37,17.51,16.64,17.04,0,16.63
7/1/2005,16.43,17.38,16.43,17.31,0,16.89
6/1/2005,15.86,16.48,15.82,16.31,0,15.92
5/2/2005,14.84,15.7,14.72,15.7,0,15.32
4/1/2005,15.72,15.87,14.62,14.72,0,14.37
3/1/2005,16.11,16.34,15.48,15.79,0,15.41
2/1/2005,15.62,16.01,15.54,15.94,0,15.56
1/3/2005,15.73,15.73,14.98,15.51,0,15.14
12/1/2004,17.33,17.45,15.65,16.02,0,15.64
11/1/2004,15.71,17.13,15.71,17.09,0,16.68
10/1/2004,15.83,16.02,15.13,15.65,0,15.27
9/1/2004,14.85,15.58,14.85,15.51,0,15.14
8/2/2004,14.99,14.99,14.1,14.85,0,14.49
7/1/2004,15.51,15.51,14.56,14.95,0,14.59
6/1/2004,14.99,15.71,14.73,15.71,0,15.33
5/3/2004,14.77,14.88,13.96,14.88,0,14.52
4/1/2004,15.28,15.58,14.66,14.66,0,14.31
3/1/2004,15.28,15.36,14.35,15.17,0,14.81
2/2/2004,14.78,15.24,14.43,15.04,0,14.68
1/2/2004,14.26,15.31,14.26,14.81,0,14.45
12/1/2003,15.39,15.63,13.97,14.16,0,13.82
11/3/2003,14.75,15.14,14.46,15.14,0,14.78
10/1/2003,13.61,14.54,13.61,14.54,0,14.19
9/2/2003,13.66,14.06,13.2,13.26,0,12.94
8/1/2003,12.43,13.44,12.07,13.44,0,13.12
7/1/2003,11.98,12.81,11.98,12.62,0,12.32
6/2/2003,11.82,12.24,11.77,11.93,0,11.64
5/1/2003,10.54,11.74,10.54,11.74,0,11.46
4/1/2003,9.53,10.54,9.53,10.54,0,10.29
3/3/2003,9.41,9.85,8.88,9.42,0,9.19
2/3/2003,9.84,9.84,9.33,9.45,0,9.22
1/2/2003,10.63,10.82,9.73,9.87,0,9.63
12/2/2002,12.49,12.49,10.26,10.35,0,10.1
11/1/2002,11.45,12.45,11.03,12.45,0,12.15
10/1/2002,11.16,11.25,9.79,11.18,0,10.91
9/3/2002,11.61,12.07,10.79,10.9,0,10.64
8/1/2002,11.9,12.48,11.18,11.96,0,11.67
7/1/2002,13.74,13.74,10.97,11.96,0,11.67
6/3/2002,14.22,14.24,13.68,14.02,0,13.68
5/1/2002,15.07,15.15,14.55,14.56,0,14.21
4/1/2002,14.56,15.33,14.35,15.04,0,14.68
3/1/2002,13.69,14.63,13.69,14.63,0,14.28
2/1/2002,13.11,13.51,12.65,13.47,0,13.15
1/2/2002,12.97,13.38,12.71,13.18,0,12.86
