Date,Open,High,Low,Close,Volume,Adj Close
12/1/2010,10.29,10.91,10.29,10.9,0,10.9
11/1/2010,9.79,10.28,9.79,10.06,0,10.06
10/1/2010,9.51,9.87,9.39,9.82,0,9.82
9/1/2010,8.87,9.48,8.87,9.47,0,9.47
8/2/2010,9.38,9.38,8.51,8.56,0,8.53
7/1/2010,8.51,9.35,8.39,9.19,0,9.16
6/1/2010,9.03,9.41,8.56,8.56,0,8.53
5/3/2010,10.29,10.29,8.99,9.3,0,9.25
4/1/2010,9.72,10.46,9.72,10.11,0,10.05
3/1/2010,9.11,9.71,9.11,9.62,0,9.57
2/1/2010,8.68,8.99,8.37,8.96,0,8.9
1/4/2010,8.98,9.17,8.54,8.54,0,8.48
12/1/2009,8.44,8.9,8.39,8.79,0,8.73
11/2/2009,8.04,8.6,8.04,8.33,0,8.24
10/1/2009,8.23,8.85,8.03,8.03,0,7.94
9/1/2009,7.89,8.7,7.85,8.5,0,8.41
8/3/2009,7.9,8.22,7.73,8.1,0,7.99
7/1/2009,7.11,7.74,6.64,7.74,0,7.63
6/1/2009,7.28,7.33,6.74,7.02,0,6.92
5/1/2009,6.76,7.27,6.66,7.04,0,6.92
4/1/2009,5.94,6.77,5.94,6.75,0,6.64
3/2/2009,5.01,6.14,4.68,5.81,0,5.71
2/2/2009,6.08,6.41,5.3,5.3,0,5.19
1/2/2009,7.07,7.18,5.96,6.06,0,5.93
12/1/2008,5.95,6.9,5.95,6.9,0,6.75
11/3/2008,7.49,7.69,5.4,6.66,0,6.46
10/1/2008,9.39,9.39,6.38,7.48,0,7.25
9/2/2008,10.32,10.47,9.04,9.43,0,9.14
8/1/2008,10.05,10.44,9.91,10.34,0,9.98
7/1/2008,9.98,10.14,9.34,10.05,0,9.7
6/2/2008,10.97,11.17,9.97,9.97,0,9.63
5/1/2008,10.91,11.14,10.79,11.06,0,10.64
4/1/2008,10.58,10.79,10.23,10.7,0,10.3
3/3/2008,10.29,10.48,9.75,10.24,0,9.85
2/1/2008,10.88,10.88,10.31,10.31,0,9.9
1/2/2008,11.02,11.02,9.9,10.67,0,10.24
12/3/2007,11.29,11.69,11,11.2,0,10.75
11/1/2007,11.78,11.81,10.87,11.38,0,10.87
10/1/2007,12.29,12.51,11.86,12.17,0,11.63
9/4/2007,12.04,12.24,11.62,12.09,0,11.55
8/1/2007,11.88,12.02,11.36,11.92,0,11.35
7/2/2007,12.71,12.9,11.86,11.86,0,11.29
6/1/2007,12.88,12.92,12.46,12.57,0,11.97
5/1/2007,12.32,12.8,12.32,12.8,0,12.15
4/2/2007,11.97,12.49,11.97,12.29,0,11.67
3/1/2007,11.82,12.05,11.47,11.94,0,11.34
2/1/2007,12.03,12.3,11.82,11.85,0,11.23
1/3/2007,11.7,11.93,11.57,11.93,0,11.31
12/1/2006,11.75,11.99,11.63,11.7,0,11.09
11/1/2006,11.31,11.83,11.31,11.79,0,10.97
10/2/2006,10.92,11.58,10.91,11.46,0,10.66
9/1/2006,10.86,11.04,10.68,10.98,0,10.21
8/1/2006,10.48,10.82,10.38,10.82,0,10.04
7/3/2006,10.8,10.8,10.2,10.58,0,9.82
6/1/2006,11.02,11.04,10.25,10.8,0,10.02
5/1/2006,11.26,11.5,10.71,10.85,0,10.04
4/3/2006,11.14,11.37,10.98,11.3,0,10.46
3/1/2006,10.95,11.18,10.63,11.18,0,10.35
2/1/2006,10.85,10.94,10.54,10.8,0,10
1/31/2006,10.81,10.81,10.81,10.81,0,10.01
