Date,Open,High,Low,Close,Volume,Adj Close
12/1/2010,16.06,17.07,16.06,17.06,0,17.06
11/1/2010,16.13,16.68,15.69,15.69,0,15.69
10/1/2010,15.67,16.26,15.51,16.14,0,16.14
9/1/2010,14.41,15.59,14.41,15.53,0,15.53
8/2/2010,14.76,14.9,13.85,14.02,0,13.99
7/1/2010,13.32,14.5,13.32,14.45,0,14.42
6/1/2010,13.4,13.99,13,13.24,0,13.21
5/3/2010,15.24,15.24,13.03,13.41,0,13.24
4/1/2010,15.21,15.66,15.09,15.21,0,15.02
3/1/2010,14.09,14.98,14.09,14.98,0,14.79
2/1/2010,14.16,14.37,13.55,13.99,0,13.81
1/4/2010,14.56,15.08,14.01,14.01,0,13.83
12/1/2009,14.55,14.58,13.99,14.23,0,14.04
11/2/2009,14.03,14.72,13.99,14.18,0,13.91
10/1/2009,13.91,14.88,13.74,13.99,0,13.72
9/1/2009,13.31,14.41,13.28,14.25,0,13.98
8/3/2009,13.06,13.65,12.86,13.57,0,13.27
7/1/2009,11.97,12.76,11.48,12.76,0,12.48
6/1/2009,12.1,12.24,11.42,11.87,0,11.61
5/1/2009,10.44,11.88,10.44,11.88,0,11.49
4/1/2009,9.31,10.34,9.31,10.34,0,10
3/2/2009,8.28,9.44,8.07,9.13,0,8.83
2/2/2009,9.33,9.69,8.58,8.58,0,8.28
1/2/2009,10.25,10.41,9.26,9.44,0,9.11
12/1/2008,9.27,10.25,9.13,10.25,0,9.89
11/3/2008,10.18,10.73,8.62,9.55,0,9.14
10/1/2008,13.05,13.05,8.95,10.07,0,9.64
9/2/2008,15.32,15.32,12.95,13.15,0,12.58
8/1/2008,16.08,16.11,15.2,15.59,0,14.84
7/1/2008,16.93,16.93,15.97,16.23,0,15.45
6/2/2008,18.57,18.73,17.02,17.05,0,16.23
5/1/2008,18.21,18.95,18.21,18.66,0,17.53
4/1/2008,18.07,18.2,17.64,18.18,0,17.08
3/3/2008,17.76,17.8,16.81,17.8,0,16.72
2/1/2008,17.59,18.13,16.78,17.81,0,16.7
1/2/2008,18.84,18.84,16.21,17.37,0,16.29
12/3/2007,20.71,20.9,18.23,18.8,0,17.63
11/1/2007,22.32,22.32,20.05,20.8,0,18.24
10/1/2007,21.5,22.44,21.43,22.44,0,19.68
9/4/2007,21.17,21.29,20.27,21.29,0,18.67
8/1/2007,21.71,21.71,19.63,20.92,0,18.27
7/2/2007,22.06,22.66,21.32,21.76,0,19.01
6/1/2007,22.13,22.21,21.28,21.75,0,19
5/1/2007,21.6,21.99,21.56,21.99,0,19.03
4/2/2007,20.89,21.71,20.89,21.55,0,18.65
3/1/2007,19.94,20.86,19.21,20.86,0,18.05
2/1/2007,19.98,20.86,19.98,20.12,0,17.4
1/3/2007,19.39,19.84,19.1,19.84,0,17.16
12/1/2006,19.54,19.93,19.02,19.3,0,16.69
11/1/2006,18.59,19.43,18.58,19.43,0,16.1
10/2/2006,17.98,18.6,17.74,18.59,0,15.41
9/1/2006,17.98,18.11,17.52,17.88,0,14.82
8/1/2006,17.36,17.82,17.25,17.82,0,14.71
7/3/2006,17.72,17.72,16.46,17.36,0,14.33
6/1/2006,18.08,18.28,16.23,17.55,0,14.49
5/1/2006,19.03,19.76,17.8,18.07,0,14.78
4/3/2006,18.3,19.03,18.23,19.03,0,15.56
3/1/2006,17.4,18.21,16.96,18.17,0,14.86
2/1/2006,17.49,17.49,17.04,17.37,0,14.2
1/3/2006,16.73,17.48,16.71,17.48,0,14.29
12/1/2005,16.36,17.1,16.11,16.39,0,13.4
11/1/2005,15.95,16.19,15.73,16.19,0,12.54
10/3/2005,16.16,16.16,15.41,15.88,0,12.3
9/1/2005,16.12,16.28,16.03,16.2,0,12.55
8/1/2005,15.33,15.87,15.31,15.87,0,12.25
7/1/2005,14.61,15.24,14.52,15.2,0,11.74
6/1/2005,14.46,14.89,14.46,14.67,0,11.33
5/2/2005,14.72,14.81,14.28,14.45,0,11.05
4/1/2005,15.04,15.26,14.59,14.7,0,11.24
3/1/2005,15.38,15.66,14.9,15.06,0,11.52
2/1/2005,14.73,15.33,14.73,15.33,0,11.72
1/3/2005,14.24,14.68,14.05,14.68,0,11.23
12/1/2004,14.21,14.34,13.9,14.34,0,10.97
11/1/2004,13.18,14.12,13.18,14.12,0,10.47
10/1/2004,12.84,13.17,12.81,13.17,0,9.76
9/1/2004,12.55,12.76,12.46,12.76,0,9.46
8/2/2004,12.46,12.51,12.24,12.51,0,9.24
7/1/2004,12.83,12.95,12.34,12.4,0,9.16
6/1/2004,12.46,12.87,12.35,12.87,0,9.51
5/3/2004,12.59,12.77,11.51,12.41,0,9.08
4/1/2004,13.05,13.11,12.55,12.55,0,9.19
3/1/2004,12.63,12.94,12.24,12.94,0,9.47
2/2/2004,12.13,12.7,12.1,12.44,0,9.1
1/2/2004,11.53,12.27,11.53,12.08,0,8.84
12/1/2003,11.08,11.44,11.08,11.44,0,8.37
11/3/2003,10.93,11,10.71,11,0,8.05
10/1/2003,10.45,11.05,10.45,10.94,0,8.01
9/2/2003,9.86,10.43,9.86,10.38,0,7.6
8/1/2003,9.4,9.82,9.36,9.82,0,7.19
7/1/2003,9.11,9.45,9.11,9.34,0,6.84
6/2/2003,8.73,9.16,8.73,9.03,0,6.61
5/1/2003,8.01,8.66,8.01,8.64,0,6.32
