Date,Open,High,Low,Close,Volume,Adj Close
12/1/2010,17.46,18.38,17.46,18.31,0,18.31
11/1/2010,17.73,18.55,16.9,16.9,0,16.9
10/1/2010,17.31,18.07,17.11,17.81,0,17.81
9/1/2010,16.23,17.29,16.23,17.2,0,17.2
8/2/2010,16.92,16.98,15.46,15.6,0,15.54
7/1/2010,14.73,16.5,14.72,16.41,0,16.34
6/1/2010,14.97,15.75,14.38,14.59,0,14.53
5/3/2010,17.18,17.18,14.56,15.07,0,14.78
4/1/2010,17.71,18.12,17.01,17.08,0,16.76
3/1/2010,16.24,17.44,16.24,17.38,0,17.05
2/1/2010,16.39,16.65,15.48,16.11,0,15.79
1/4/2010,17.49,17.88,16.06,16.06,0,15.74
12/1/2009,17.41,17.41,16.62,17.05,0,16.71
11/2/2009,16.56,17.67,16.46,16.94,0,16.52
10/1/2009,16.58,17.9,16.39,16.46,0,16.05
9/1/2009,15.91,17.35,15.81,17.15,0,16.72
8/3/2009,15.98,16.52,15.34,16.38,0,15.91
7/1/2009,14.03,15.5,13.06,15.5,0,15.05
6/1/2009,14.68,14.77,13.27,13.86,0,13.46
5/1/2009,12.58,14.29,12.58,14.29,0,13.66
4/1/2009,10.87,12.44,10.87,12.44,0,11.89
3/2/2009,8.95,11.17,8.51,10.51,0,10.05
2/2/2009,10.64,11.43,9.39,9.5,0,9.06
1/2/2009,12.63,12.89,10.38,10.83,0,10.33
12/1/2008,11.05,12.64,11.03,12.56,0,11.98
11/3/2008,12.63,13.53,9.74,11.77,0,11.15
10/1/2008,16.78,16.78,10.68,12.54,0,11.88
9/2/2008,18.97,18.97,16.21,16.74,0,15.85
8/1/2008,19.69,20.22,18.64,19.07,0,17.95
7/1/2008,20.25,20.55,19.15,19.91,0,18.74
6/2/2008,23.03,23.24,20.44,20.49,0,19.29
5/1/2008,23.49,24.02,23.14,23.3,0,21.42
4/1/2008,23.02,23.44,22.45,23.29,0,21.41
3/3/2008,21.97,22.3,21,22.3,0,20.5
2/1/2008,22.68,22.83,21.08,22.06,0,20.26
1/2/2008,24.19,24.19,21.27,22.35,0,20.52
12/3/2007,25.39,26.06,23.59,24.32,0,22.33
11/1/2007,26.62,26.62,24.36,25.51,0,22.84
10/1/2007,26.25,27.16,25.61,27.16,0,24.31
9/4/2007,25.05,25.91,24.11,25.91,0,23.19
8/1/2007,24.99,25.51,23.27,24.76,0,22.05
7/2/2007,26.03,26.72,24.6,25.05,0,22.31
6/1/2007,26.6,26.69,25.16,25.77,0,22.95
5/1/2007,25.54,26.37,25.54,26.37,0,23.11
4/2/2007,24.41,25.85,24.41,25.5,0,22.35
3/1/2007,23.3,24.36,22.56,24.28,0,21.28
2/1/2007,23.76,24.52,23.54,23.54,0,20.62
1/3/2007,23.28,23.69,22.87,23.56,0,20.64
12/1/2006,22.68,23.43,22.68,23.13,0,20.26
11/1/2006,21.95,22.71,21.95,22.71,0,19.5
10/2/2006,21.15,22.06,21.13,21.99,0,18.88
9/1/2006,21.19,21.24,20.37,21.06,0,18.08
8/1/2006,20.22,21.02,20.22,21.01,0,17.83
7/3/2006,20.19,20.37,18.81,20.32,0,17.25
6/1/2006,20.56,20.8,18.31,20.01,0,16.99
5/1/2006,21.27,22.12,20.03,20.44,0,17.11
4/3/2006,20.46,21.3,20.21,21.3,0,17.83
3/1/2006,19.58,20.39,19.12,20.28,0,16.98
2/1/2006,19.35,19.57,19,19.46,0,16.29
1/3/2006,18.51,19.28,18.44,19.28,0,16.14
12/1/2005,17.94,18.49,17.91,18.17,0,15.21
11/1/2005,17.45,17.84,17.28,17.67,0,14.41
10/3/2005,17.6,17.67,16.75,17.09,0,13.94
9/1/2005,17.45,17.75,17.3,17.63,0,14.38
8/1/2005,16.81,17.49,16.81,17.23,0,13.99
7/1/2005,15.94,16.79,15.77,16.68,0,13.54
6/1/2005,16,16.28,15.85,15.97,0,12.96
5/2/2005,15.93,16.18,15.77,15.93,0,12.76
4/1/2005,16.38,16.64,15.74,15.91,0,12.75
3/1/2005,16.92,17.07,16.29,16.41,0,13.15
2/1/2005,16.29,16.88,16.22,16.84,0,13.49
1/3/2005,16.27,16.27,15.91,16.2,0,12.97
12/1/2004,15.91,16.37,15.67,16.37,0,13.11
11/1/2004,14.71,15.79,14.71,15.73,0,12.49
10/1/2004,14.33,14.65,14.13,14.65,0,11.63
9/1/2004,13.78,14.12,13.75,14.11,0,11.2
8/2/2004,13.63,13.75,13.3,13.75,0,10.85
7/1/2004,13.98,14.04,13.44,13.58,0,10.72
6/1/2004,13.67,14.1,13.53,14.1,0,11.13
5/3/2004,13.64,13.9,12.63,13.68,0,10.69
4/1/2004,14.17,14.22,13.55,13.55,0,10.59
3/1/2004,14.05,14.05,13.19,13.97,0,10.91
2/2/2004,13.43,14.07,13.31,13.76,0,10.75
1/2/2004,13.1,13.76,13.1,13.36,0,10.44
12/1/2003,12.41,13.03,12.41,13.03,0,10.18
11/3/2003,11.94,12.2,11.8,12.2,0,9.47
10/1/2003,11.29,12.04,11.29,11.95,0,9.28
9/2/2003,10.87,11.43,10.87,11.08,0,8.6
8/1/2003,10.44,10.79,10.32,10.71,0,8.28
7/1/2003,10,10.52,10,10.44,0,8.07
6/2/2003,9.96,10.39,9.91,9.99,0,7.73
5/1/2003,9.19,9.81,9.19,9.81,0,7.49
4/1/2003,8.23,9.12,8.23,9.12,0,6.96
3/3/2003,8.51,8.51,7.87,8.22,0,6.27
2/3/2003,8.74,8.76,8.31,8.44,0,6.43
1/2/2003,9.01,9.2,8.55,8.61,0,6.56
12/2/2002,9.19,9.19,8.71,8.91,0,6.79
11/1/2002,8.63,9.05,8.63,9.01,0,6.83
10/1/2002,8.38,8.67,7.89,8.67,0,6.57
9/3/2002,9.36,9.36,8.34,8.43,0,6.39
8/1/2002,9.42,9.93,9.13,9.62,0,7.25
7/1/2002,10.74,10.78,9.26,9.63,0,7.26
6/3/2002,11.18,11.18,10.35,10.73,0,8.09
5/1/2002,10.84,11.19,10.81,11.15,0,8.41
4/1/2002,10.44,10.81,10.38,10.79,0,8.13
3/1/2002,9.91,10.51,9.91,10.44,0,7.87
2/1/2002,9.71,9.85,9.49,9.83,0,7.41
1/2/2002,9.98,10.1,9.64,9.72,0,7.33
12/3/2001,10.16,10.46,9.64,9.94,0,7.49
11/1/2001,10.01,10.37,10.01,10.3,0,7.46
10/1/2001,9.83,10.17,9.83,9.94,0,7.2
9/4/2001,11.21,11.21,9.12,9.88,0,7.16
8/1/2001,11.34,11.62,11.24,11.38,0,8.2
7/2/2001,11.53,11.53,11.07,11.22,0,8.09
6/1/2001,11.8,11.88,11.32,11.46,0,8.26
5/1/2001,12.07,12.14,11.82,11.83,0,8.42
4/2/2001,11.22,11.94,11.17,11.92,0,8.49
3/1/2001,12.05,12.15,10.75,11.33,0,8.07
2/1/2001,12.55,12.55,11.95,12.06,0,8.58
1/2/2001,12.47,12.56,12.22,12.44,0,8.86
12/1/2000,12.71,12.93,11.95,12.42,0,8.84
11/1/2000,12.83,13.02,12.36,12.58,0,8.38
10/2/2000,12.76,12.76,12.13,12.59,0,8.38
9/1/2000,13.25,13.25,12.36,12.69,0,8.45
8/1/2000,13.1,13.49,12.91,13.13,0,8.7
7/3/2000,13.5,13.6,13,13.02,0,8.63
6/1/2000,12.78,13.46,12.78,13.46,0,8.92
5/1/2000,12.45,12.76,12.45,12.68,0,8.34
4/3/2000,12.84,12.99,12.45,12.45,0,8.19
3/1/2000,12.35,12.78,12.1,12.78,0,8.4
2/1/2000,12.38,12.64,12.08,12.13,0,7.97
1/3/2000,13.57,13.57,12.44,12.44,0,8.17
12/1/1999,13.16,13.48,13.08,13.48,0,8.85
11/1/1999,13.08,13.35,13.07,13.07,0,8.44
10/1/1999,13.23,13.37,12.88,13.11,0,8.47
