Date,Open,High,Low,Close,Volume,Adj Close
12/1/2010,10.19,10.78,10.19,10.76,0,10.76
11/1/2010,10.26,10.67,9.91,9.91,0,9.91
10/1/2010,9.98,10.41,9.87,10.28,0,10.28
9/1/2010,9.24,9.95,9.24,9.9,0,9.9
8/2/2010,9.57,9.63,8.84,8.93,0,8.9
7/1/2010,8.5,9.37,8.5,9.32,0,9.29
6/1/2010,8.63,9.04,8.33,8.43,0,8.41
5/3/2010,9.92,9.92,8.39,8.66,0,8.63
4/1/2010,10.05,10.31,9.82,9.88,0,9.85
3/1/2010,9.21,9.87,9.21,9.86,0,9.83
2/1/2010,9.31,9.46,8.82,9.14,0,9.11
1/4/2010,9.74,10.06,9.16,9.16,0,9.13
12/1/2009,9.7,9.71,9.31,9.49,0,9.46
11/2/2009,9.26,9.83,9.23,9.42,0,9.39
10/1/2009,9.25,9.97,9.14,9.22,0,9.19
9/1/2009,8.9,9.68,8.86,9.55,0,9.52
8/3/2009,8.82,9.19,8.57,9.12,0,9.09
7/1/2009,7.89,8.57,7.42,8.57,0,8.55
6/1/2009,8.15,8.23,7.48,7.8,0,7.78
5/1/2009,6.96,7.94,6.96,7.94,0,7.92
4/1/2009,6.03,6.88,6.03,6.88,0,6.86
3/2/2009,5.11,6.16,4.94,5.87,0,5.85
2/2/2009,5.95,6.32,5.36,5.37,0,5.35
1/2/2009,6.79,6.96,5.85,6.04,0,6.02
12/1/2008,6.04,6.77,5.95,6.77,0,6.75
11/3/2008,6.8,7.24,5.42,6.34,0,6.32
10/15/2008,6.77,7.19,5.78,6.74,0,6.72
