
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  15.19  14.29  16.80  14.76  17.29  14.02  17.40  13.47  17.00  17.17
197502   8.49   9.24   9.23  10.44   7.84  11.86   7.27   7.51   7.75  12.49
197503  -0.59  -0.68  -0.12  -0.89   0.62  -1.02   0.80  -0.72   0.25   0.30
197504   3.81   2.53   3.63   1.77   3.67   1.41   3.74   2.46   4.77   3.63
197505  -3.74  -3.32  -2.27  -3.50  -2.66  -3.76  -2.26  -4.17  -2.83  -6.43
197506  -2.97  -4.47  -3.41  -4.63  -3.14  -4.94  -3.25  -3.81  -3.29  -4.61
197507  -3.55  -2.91  -3.42  -2.14  -3.47  -2.70  -2.51  -2.91  -3.29  -1.33
197508  -1.89  -1.84  -1.79  -1.81  -2.89  -2.15  -3.03  -1.32  -2.76  -0.48
197509  -6.23  -7.02  -6.33  -6.71  -6.98  -7.26  -6.82  -5.82  -6.98  -6.47
197510   9.34   9.59   8.39  11.07   9.53   9.15  11.63  10.02   9.18   7.57
197511   5.26   4.57   4.23   6.30   5.08   4.31   4.62   4.41   4.77   8.03
197512   0.97   2.53  -0.20   1.55   0.46   3.50   1.07   0.85  -0.41  -0.22
197601   1.89   3.98   0.42   4.39   1.87   4.94  -0.36   1.99   1.47   6.31
197602  -1.26   0.47  -0.89   0.03  -1.54   2.05  -1.56  -0.95  -1.53   4.55
197603  -1.07   0.65  -2.71   1.01  -1.77  -0.16  -1.05   2.24  -2.79  -2.31
197604  -2.12  -3.88  -1.17  -2.54  -2.53  -2.51  -3.17  -1.99  -1.08  -4.24
197605  -1.92  -2.17  -2.48  -0.49  -2.41  -0.99  -2.64  -0.42  -2.73  -3.69
197606  -0.25   0.38   0.26   0.87  -0.15   0.78  -0.71   0.54   0.04  -0.29
197607  -1.24  -1.92  -0.70  -2.28  -2.40  -1.40  -1.49  -1.10  -1.25  -2.71
197608  -0.66  -0.02  -0.42  -1.19  -1.45  -1.14  -1.75  -0.35  -2.61   0.34
197609   0.52   0.70   0.03   1.19   0.42  -0.14   1.85   2.05   0.18  -1.71
197610  -5.36  -6.35  -4.59  -5.58  -5.23  -6.07  -4.99  -4.73  -5.47  -8.02
197611   3.25   2.50   3.28   3.95   1.78   2.92   1.05   3.47   3.69   2.54
197612   3.79   4.28   2.63   4.70   3.02   4.24   4.04   5.41   2.10   2.95
197701  -2.06  -1.65  -1.46  -0.89  -2.61  -1.38  -2.82  -0.28  -3.69  -2.97
197702  -0.02   0.25   0.15  -0.30  -0.21  -0.66  -0.03   0.27  -0.24   2.31
197703  -0.25   1.15  -1.17  -0.15   0.76   1.00  -1.69   0.97  -0.46  -0.13
197704   4.64   6.43   2.96   4.97   4.67   5.12   5.21   5.28   3.88   6.48
197705  -2.06  -1.51  -1.69  -2.37  -1.48  -1.66  -1.19  -1.37  -2.26  -0.45
197706   1.02  -0.52   0.75   2.39   0.12   0.48   1.35   0.93   1.74  -1.70
197707  -1.23  -1.22  -2.25  -1.09  -1.53  -1.15  -1.93  -0.19  -2.26  -2.77
197708   1.88   0.58   1.74   3.22   0.94   1.59   1.29   2.38   1.63  -0.07
197709   2.83   2.07   3.15   3.56   1.53   2.82   3.43   3.14   2.28   0.47
197710   2.73   1.28   3.38   2.36   2.62   1.46   2.24   1.80   3.71   4.05
197711   1.12  -0.40   1.82   0.90  -0.04   0.35   0.09   0.73   0.61  -0.49
197712   4.72   3.53   4.93   6.60   3.06   5.37   2.70   5.70   4.18   3.38
197801   1.00   1.45   0.69   1.44  -0.01   0.46  -0.46   1.57   0.64   0.24
197802   3.01   5.07   2.43   3.73   2.42   3.18   2.83   4.06   2.23   2.32
197803   4.17   4.36   3.50   5.54   3.88   5.26   2.49   5.04   2.90   4.86
197804  -2.18  -1.16  -1.80  -2.69  -1.79  -1.26  -2.79  -2.30  -2.13   2.41
197805   2.20   5.26   1.80   1.58   3.76   5.77   2.46   1.64   2.42   8.97
197806   1.72  -0.09   1.60   1.18   2.35  -0.16   2.81   2.10   1.45  -4.67
197807   6.62   7.80   6.86   7.89   6.91   7.16   6.04   6.31   6.81   6.90
197808   4.53   5.35   4.66   4.67   5.65   4.21   3.64   4.34   4.51   6.66
197809   6.11   4.88   6.57   7.24   5.71   5.73   6.53   6.91   6.20   6.59
197810   5.60   4.36   6.86   5.36   4.46   3.46   5.22   5.59   6.15   0.83
197811 -10.52  -9.77 -11.58 -10.45  -9.80  -9.75  -9.59  -9.90 -10.17 -13.73
197812   6.16   7.10   6.23   5.90   6.43   6.11   6.02   6.57   6.28   5.10
197901   0.65   0.12   1.66  -0.35   1.11  -0.10   2.38   0.18   1.07   0.43
197902  -1.14  -0.19  -1.75  -1.10  -1.48  -0.41  -1.83  -0.39  -1.66  -1.01
