
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   ------  Yld  -----
          Mkt   High    Low   High    Low   High    Low   High    Low   Zero
197501  24.44  23.22  25.33  23.88  25.84  24.11  25.75  21.45  26.20  17.17
197502  13.62  16.20  13.40  15.18  12.84  16.01  12.36  13.27  13.20  12.49
197503  -2.71  -2.87  -1.46  -3.92  -1.19  -3.80  -1.76  -3.29  -1.89   0.30
197504   7.27   6.22   7.58   5.86   7.76   5.71   6.40   4.90   7.98   3.63
197505  -1.45  -3.24  -0.83   0.03  -1.37   0.47  -0.63  -2.88  -1.62  -6.43
197506  -7.06  -8.94  -8.06  -6.72  -8.91  -6.85  -8.04  -6.00  -7.79  -4.61
197507  -3.91  -4.02  -3.53  -3.02  -3.50  -3.40  -3.05  -2.79  -3.96  -1.33
197508   2.43   2.73   2.56   2.28   2.17   2.21   1.56   2.22   1.63  -0.48
197509  -4.62  -4.53  -4.81  -4.87  -5.07  -5.00  -5.07  -4.11  -5.35  -6.47
197510   8.21   8.17   6.87   9.72   7.60   8.63   9.15   9.32   7.49   7.57
197511   2.87   3.01   1.60   3.58   2.38   2.78   2.43   2.98   2.56   8.03
197512   2.12   3.86   0.94   2.80   1.44   4.06   2.12   2.45   1.16  -0.22
197601   4.40   7.58   2.97   6.19   3.91   6.96   2.00   5.08   3.17  17.89
197602  -1.87  -1.02  -1.83  -0.74  -2.16   0.85  -1.74  -2.36  -1.96   1.83
197603  -2.80  -3.06  -4.01  -0.75  -3.18  -0.96  -2.86  -1.25  -3.58 -11.64
197604  -1.29  -2.98  -1.07  -1.30  -1.76  -1.21  -1.93  -1.24  -0.11  -4.39
197605  -4.64  -5.13  -5.41  -3.54  -4.85  -4.10  -4.62  -4.20  -4.77  -4.37
197606  -0.16   0.63   0.36   0.71  -0.09   0.59  -0.48   0.70  -0.39   3.25
197607  -1.69  -2.04  -0.95  -2.67  -2.35  -1.54  -1.87  -0.97  -1.93  -1.65
197608  -1.99  -0.93  -1.73  -2.72  -2.21  -2.68  -2.71  -1.53  -3.67  -5.36
197609  -2.71  -3.11  -3.69  -1.79  -2.77  -3.25  -1.29  -1.92  -2.24  -6.37
197610  -7.57  -9.47  -7.37  -7.57  -6.83  -8.22  -6.40  -8.19  -6.36 -13.14
197611   4.95   4.02   5.02   5.27   4.24   4.58   3.95   4.71   5.71   8.36
197612   8.84   9.98   8.15   9.24   7.91   9.30   8.77   9.39   7.32   7.68
197701   1.64   2.96   1.57   2.21   1.44   2.60   1.04   4.90   0.02  16.48
197702   0.79   0.66   0.92   0.80   1.06  -0.21   0.88   1.56   0.65   1.93
197703   1.15   2.55  -0.01   1.65   1.01   3.45  -0.19   2.01   0.53  -0.75
197704   4.15   4.47   3.68   3.52   4.78   4.17   5.71   4.62   4.61  10.75
197705  -0.33   0.16  -0.34  -0.08  -0.09   0.07  -0.23  -0.11  -0.82   0.08
197706   1.85   0.74   2.10   2.27   0.98   1.40   2.09   1.46   2.74  -4.52
197707  -1.28  -1.41  -1.87  -0.76  -1.61  -1.81  -1.28  -0.88  -1.91  -3.99
197708   5.58   4.06   5.79   6.31   4.94   6.09   5.68   6.27   5.32   4.44
197709   5.02   6.11   4.81   5.35   3.96   4.06   4.78   5.31   3.57   0.23
197710   2.43   1.03   2.73   1.98   2.53   1.94   2.74   2.44   3.00   1.32
197711  -1.32  -1.36  -1.06  -0.67  -2.00  -2.94  -1.80  -2.16  -1.50  -4.14
197712   5.69   5.44   5.33   7.70   4.63   5.80   4.21   7.07   4.66   3.74
