Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,14.93,14.93,14.93,14.93,000,14.93
2011-01-06,15.00,15.00,15.00,15.00,000,15.00
2011-01-05,15.05,15.05,15.05,15.05,000,15.05
2011-01-04,14.81,14.81,14.81,14.81,000,14.81
2011-01-03,15.05,15.05,15.05,15.05,000,15.05
2010-12-31,14.77,14.77,14.77,14.77,000,14.77
2010-12-30,14.82,14.82,14.82,14.82,000,14.82
2010-12-29,14.85,14.85,14.85,14.85,000,14.85
2010-12-28,14.84,14.84,14.84,14.84,000,14.84
2010-12-27,14.88,14.88,14.88,14.88,000,14.88
2010-12-23,14.79,14.79,14.79,14.79,000,14.79
2010-12-22,14.81,14.81,14.81,14.81,000,14.81
2010-12-21,14.78,14.78,14.78,14.78,000,14.78
2010-12-20,14.64,14.64,14.64,14.64,000,14.64
2010-12-17,14.56,14.56,14.56,14.56,000,14.56
2010-12-16,14.53,14.53,14.53,14.53,000,14.53
2010-12-15,14.34,14.34,14.34,14.34,000,14.34
2010-12-14,14.39,14.39,14.39,14.39,000,14.39
2010-12-13,14.53,14.53,14.53,14.53,000,14.53
2010-12-10,14.60,14.60,14.60,14.60,000,14.60
2010-12-09,14.39,14.39,14.39,14.39,000,14.39
2010-12-08,14.28,14.28,14.28,14.28,000,14.28
2010-12-07,14.26,14.26,14.26,14.26,000,14.26
2010-12-06,14.18,14.18,14.18,14.18,000,14.18
2010-12-03,14.07,14.07,14.07,14.07,000,14.07
2010-12-02,14.01,14.01,14.01,14.01,000,14.01
2010-12-01,13.90,13.90,13.90,13.90,000,13.90
2010-11-30,13.70,13.70,13.70,13.70,000,13.70
2010-11-29,13.80,13.80,13.80,13.80,000,13.80
2010-11-26,13.76,13.76,13.76,13.76,000,13.76
2010-11-24,13.78,13.78,13.78,13.78,000,13.78
2010-11-23,13.50,13.50,13.50,13.50,000,13.50
2010-11-22,13.64,13.64,13.64,13.64,000,13.64
2010-11-19,13.62,13.62,13.62,13.62,000,13.62
2010-11-18,13.57,13.57,13.57,13.57,000,13.57
2010-11-17,13.32,13.32,13.32,13.32,000,13.32
2010-11-16,13.31,13.31,13.31,13.31,000,13.31
2010-11-15,13.59,13.59,13.59,13.59,000,13.59
2010-11-12,13.56,13.56,13.56,13.56,000,13.56
2010-11-11,13.79,13.79,13.79,13.79,000,13.79
2010-11-10,13.87,13.87,13.87,13.87,000,13.87
2010-11-09,13.72,13.72,13.72,13.72,000,13.72
2010-11-08,13.90,13.90,13.90,13.90,000,13.90
2010-11-05,13.89,13.89,13.89,13.89,000,13.89
2010-11-04,13.84,13.84,13.84,13.84,000,13.84
2010-11-03,13.50,13.50,13.50,13.50,000,13.50
2010-11-02,13.45,13.45,13.45,13.45,000,13.45
2010-11-01,13.17,13.17,13.17,13.17,000,13.17
2010-10-29,13.29,13.29,13.29,13.29,000,13.29
2010-10-28,13.19,13.19,13.19,13.19,000,13.19
2010-10-27,13.27,13.27,13.27,13.27,000,13.27
2010-10-26,13.39,13.39,13.39,13.39,000,13.39
