Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,50.50,50.62,49.98,50.27,259100,50.27
2011-01-06,51.13,51.14,50.29,50.49,134400,50.49
2011-01-05,50.37,50.99,50.37,50.95,98400,50.95
2011-01-04,51.55,51.55,50.86,51.15,140100,51.15
2011-01-03,51.00,51.36,51.00,51.21,159600,51.21
2010-12-31,50.34,51.01,50.34,50.77,177400,50.77
2010-12-30,50.61,50.68,50.23,50.45,129100,50.45
2010-12-29,50.49,50.86,50.49,50.67,77000,50.67
2010-12-28,50.37,50.45,50.05,50.20,115300,50.20
2010-12-27,50.05,50.18,49.83,50.18,124500,50.18
2010-12-23,50.08,50.34,50.08,50.30,97400,50.30
2010-12-22,50.22,50.30,50.12,50.30,85100,50.30
2010-12-21,50.30,50.37,50.14,50.21,260800,50.21
2010-12-20,50.75,50.75,50.40,50.60,103700,49.91
2010-12-17,50.56,50.58,50.23,50.57,167300,49.88
2010-12-16,50.70,50.97,50.47,50.95,104900,50.26
2010-12-15,50.97,51.20,50.49,50.65,98800,49.96
2010-12-14,51.31,51.62,51.17,51.34,196800,50.64
2010-12-13,51.02,51.45,50.95,51.20,162300,50.50
2010-12-10,50.39,50.68,50.21,50.66,356800,49.97
2010-12-09,50.44,50.53,50.11,50.44,91700,49.75
2010-12-08,50.03,50.27,49.74,50.21,120500,49.53
2010-12-07,50.48,50.55,49.86,49.87,113200,49.19
2010-12-06,49.71,49.96,49.56,49.87,219900,49.19
2010-12-03,49.73,50.20,49.65,50.15,73800,49.47
2010-12-02,48.72,49.76,48.67,49.75,85400,49.07
2010-12-01,48.48,48.90,48.38,48.89,91100,48.23
2010-11-30,47.12,47.64,47.03,47.34,224600,46.70
2010-11-29,47.87,48.13,47.37,48.02,158300,47.37
2010-11-26,48.46,48.71,48.39,48.49,69500,47.83
2010-11-24,49.25,49.46,49.18,49.42,189800,48.75
2010-11-23,49.23,49.26,48.66,48.82,121200,48.16
2010-11-22,50.38,50.53,49.86,50.39,97700,49.70
2010-11-19,50.52,51.07,50.37,51.07,78000,50.38
2010-11-18,50.87,51.06,50.77,50.97,73100,50.28
2010-11-17,49.68,50.03,49.62,49.79,65500,49.11
2010-11-16,50.27,50.29,49.21,49.41,142000,48.74
2010-11-15,51.02,51.09,50.65,50.65,70700,49.96
2010-11-12,50.91,51.19,50.45,50.69,66400,50.00
2010-11-11,50.99,51.11,50.75,51.07,58700,50.38
2010-11-10,51.61,51.66,50.84,51.61,76000,50.91
2010-11-09,52.21,52.27,51.20,51.32,58600,50.62
2010-11-08,51.77,51.93,51.57,51.86,92800,51.15
2010-11-05,52.28,52.42,51.97,52.20,97500,51.49
2010-11-04,52.30,52.66,52.25,52.63,310300,51.91
2010-11-03,51.42,51.57,50.75,51.57,112500,50.87
2010-11-02,51.33,51.45,51.19,51.34,51500,50.64
2010-11-01,50.75,50.89,50.19,50.46,81600,49.77
2010-10-29,50.66,50.84,50.53,50.72,73900,50.03
2010-10-28,50.82,50.82,50.42,50.70,57400,50.01
2010-10-27,50.31,50.36,49.73,50.18,124500,49.50
2010-10-26,50.50,50.75,50.37,50.69,128000,50.00
2010-10-25,51.33,51.47,50.94,50.94,91900,50.25
2010-10-22,50.94,51.04,50.76,50.87,46400,50.18
2010-10-21,51.03,51.32,50.39,50.75,106700,50.06
2010-10-20,50.44,51.23,50.36,51.04,79300,50.35
2010-10-19,50.43,50.69,49.89,50.10,131600,49.42
2010-10-18,50.84,51.45,50.83,51.28,92800,50.58
2010-10-15,51.34,51.34,50.64,50.98,114300,50.29
2010-10-14,51.17,51.33,50.90,51.23,78200,50.53
2010-10-13,50.73,51.09,50.60,50.81,62000,50.12
2010-10-12,49.93,50.42,49.61,50.27,75200,49.59
2010-10-11,50.58,50.64,50.26,50.44,52400,49.75
2010-10-08,50.31,50.61,50.15,50.52,72000,49.83
2010-10-07,50.75,50.75,49.93,50.22,98200,49.54
2010-10-06,50.03,50.27,49.96,50.21,93000,49.53
2010-10-05,49.26,49.97,49.22,49.80,70300,49.12
2010-10-04,48.65,48.80,48.15,48.35,144000,47.69
2010-10-01,49.11,49.22,48.80,49.13,174800,48.46
2010-09-30,49.27,49.42,48.38,48.66,146200,48.00
2010-09-29,49.07,49.25,48.80,48.96,69300,48.29
2010-09-28,48.98,49.26,48.42,49.19,171500,48.52
2010-09-27,49.07,49.12,48.80,48.86,77200,48.20
2010-09-24,48.76,49.15,48.69,49.09,72600,48.42
2010-09-23,47.80,48.23,47.66,47.78,156200,47.13
2010-09-22,48.60,48.79,48.21,48.37,102100,47.71
2010-09-21,48.47,48.80,48.03,48.38,145400,47.72
2010-09-20,47.86,48.51,47.72,48.41,231100,47.75
2010-09-17,47.84,47.92,47.43,47.62,100400,46.97
2010-09-16,47.85,48.05,47.75,47.99,66700,47.34
2010-09-15,47.89,48.26,47.67,48.19,188800,47.53
2010-09-14,47.80,48.39,47.61,48.22,177800,47.56
2010-09-13,47.80,47.97,47.71,47.96,110800,47.31
2010-09-10,47.01,47.18,46.97,47.06,42400,46.42
2010-09-09,47.33,47.34,46.80,46.97,56400,46.33
2010-09-08,46.50,46.90,46.50,46.56,79900,45.93
2010-09-07,46.62,46.62,46.20,46.24,66700,45.61
2010-09-03,46.89,47.04,46.66,46.90,128300,46.26
2010-09-02,46.23,46.47,46.09,46.47,53500,45.84
2010-09-01,45.77,46.33,45.69,46.22,136400,45.59
2010-08-31,44.50,44.92,44.34,44.67,235700,44.06
2010-08-30,44.93,45.00,44.47,44.47,69700,43.87
2010-08-27,44.88,45.25,44.29,45.19,198300,44.58
2010-08-26,44.52,44.81,44.21,44.28,89800,43.68
2010-08-25,43.83,44.46,43.78,44.40,80200,43.80
2010-08-24,44.45,44.66,44.08,44.41,95500,43.81
2010-08-23,45.36,45.63,45.07,45.07,64400,44.46
2010-08-20,45.00,45.12,44.75,45.06,125800,44.45
2010-08-19,46.35,46.44,45.27,45.58,228400,44.96
2010-08-18,46.51,46.65,46.21,46.44,112300,45.81
2010-08-17,46.41,46.65,46.16,46.39,82200,45.76
