Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,41.92,41.94,41.40,41.70,350200,41.70
2011-01-06,42.19,42.22,41.69,41.86,178000,41.86
2011-01-05,41.95,42.29,41.69,42.25,228600,42.25
2011-01-04,42.84,42.86,42.24,42.51,491400,42.51
2011-01-03,42.54,42.79,42.42,42.64,420000,42.64
2010-12-31,42.05,42.38,41.94,42.21,242500,42.21
2010-12-30,41.88,41.88,41.65,41.86,214000,41.86
2010-12-29,41.66,41.89,41.57,41.80,94800,41.80
2010-12-28,41.40,41.40,41.00,41.09,269700,41.09
2010-12-27,41.07,41.16,40.87,41.16,188500,41.16
2010-12-23,41.01,41.25,41.01,41.18,267000,41.18
2010-12-22,41.07,41.14,40.96,41.03,162300,41.03
2010-12-21,40.98,41.09,40.94,41.02,181800,41.02
2010-12-20,41.73,41.88,41.56,41.78,140800,40.86
2010-12-17,41.62,41.79,41.44,41.79,114100,40.87
2010-12-16,41.65,41.77,41.38,41.75,127700,40.83
2010-12-15,41.86,41.99,41.44,41.59,273200,40.68
2010-12-14,42.03,42.27,41.93,42.06,336300,41.14
2010-12-13,41.74,42.03,41.53,41.78,114100,40.86
2010-12-10,41.13,41.40,41.06,41.39,211100,40.48
2010-12-09,41.35,41.35,41.00,41.20,125800,40.30
2010-12-08,41.27,41.44,41.05,41.37,114000,40.46
2010-12-07,41.71,41.72,41.22,41.24,122100,40.34
2010-12-06,41.01,41.26,40.95,41.18,211400,40.28
2010-12-03,40.74,41.18,40.69,41.16,117500,40.26
2010-12-02,39.80,40.75,39.80,40.69,229400,39.80
2010-12-01,39.36,39.85,39.36,39.75,192300,38.88
2010-11-30,38.48,38.90,38.32,38.73,99700,37.88
2010-11-29,39.00,39.16,38.53,39.09,135100,38.23
2010-11-26,39.09,39.43,39.06,39.36,76700,38.50
2010-11-24,39.58,39.76,39.55,39.69,205900,38.82
2010-11-23,39.51,39.52,39.03,39.13,135900,38.27
2010-11-22,40.28,40.41,39.87,40.39,162300,39.50
2010-11-19,40.21,40.52,40.06,40.52,103400,39.63
2010-11-18,40.31,40.51,40.26,40.38,180300,39.49
2010-11-17,39.48,39.68,39.37,39.45,85900,38.59
2010-11-16,39.89,39.89,39.08,39.25,252700,38.39
2010-11-15,40.53,40.53,40.12,40.12,175900,39.24
2010-11-12,40.45,40.50,39.98,40.22,102600,39.34
2010-11-11,40.59,40.60,40.36,40.49,124900,39.60
2010-11-10,41.04,41.10,40.48,41.02,200800,40.12
2010-11-09,41.43,41.58,40.69,40.85,286100,39.95
2010-11-08,41.17,41.28,40.96,41.15,119500,40.25
2010-11-05,41.39,41.51,41.25,41.42,193100,40.51
2010-11-04,41.30,41.62,41.30,41.54,175800,40.63
2010-11-03,40.62,40.82,40.18,40.80,231800,39.91
2010-11-02,40.53,40.57,40.37,40.54,151600,39.65
2010-11-01,40.10,40.35,39.81,40.08,177900,39.20
2010-10-29,39.86,40.14,39.83,40.11,66600,39.23
2010-10-28,39.99,40.01,39.79,39.86,86400,38.99
2010-10-27,39.80,39.80,39.36,39.78,125400,38.91
2010-10-26,39.91,40.21,39.90,40.16,201300,39.28
