Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,16.45,16.45,16.45,16.45,000,16.45
2011-01-06,16.54,16.54,16.54,16.54,000,16.54
2011-01-05,16.64,16.64,16.64,16.64,000,16.64
2011-01-04,16.73,16.73,16.73,16.73,000,16.73
2011-01-03,16.71,16.71,16.71,16.71,000,16.71
2010-12-31,16.67,16.67,16.67,16.67,000,16.67
2010-12-30,16.52,16.52,16.52,16.52,000,16.52
2010-12-29,16.50,16.50,16.50,16.50,000,16.50
2010-12-28,16.28,16.28,16.28,16.28,000,16.28
2010-12-27,16.47,16.47,16.47,16.47,000,16.47
2010-12-23,16.49,16.49,16.49,16.49,000,16.49
2010-12-22,16.45,16.45,16.45,16.45,000,16.45
2010-12-21,16.41,16.41,16.41,16.41,000,16.41
2010-12-20,16.32,16.32,16.32,16.32,000,16.32
2010-12-17,16.35,16.35,16.35,16.35,000,16.35
2010-12-16,16.36,16.36,16.36,16.36,000,16.36
2010-12-15,16.32,16.32,16.32,16.32,000,16.32
2010-12-14,16.46,16.46,16.46,16.46,000,16.46
2010-12-13,16.41,16.41,16.41,16.41,000,16.41
2010-12-10,16.21,16.21,16.21,16.21,000,16.21
2010-12-09,16.20,16.20,16.20,16.20,000,16.20
2010-12-08,16.21,16.21,16.21,16.21,000,16.21
2010-12-07,16.19,16.19,16.19,16.19,000,16.19
2010-12-06,16.15,16.15,16.15,16.15,000,16.15
2010-12-03,16.13,16.13,16.13,16.13,000,16.13
2010-12-02,15.95,15.95,15.95,15.95,000,15.95
2010-12-01,15.63,15.63,15.63,15.63,000,15.63
2010-11-30,15.31,15.31,15.31,15.31,000,15.31
2010-11-29,15.43,15.43,15.43,15.43,000,15.43
2010-11-26,15.51,15.51,15.51,15.51,000,15.51
2010-11-24,15.63,15.63,15.63,15.63,000,15.63
2010-11-23,15.48,15.48,15.48,15.48,000,15.48
2010-11-22,15.87,15.87,15.87,15.87,000,15.87
2010-11-19,15.90,15.90,15.90,15.90,000,15.90
2010-11-18,15.83,15.83,15.83,15.83,000,15.83
2010-11-17,15.51,15.51,15.51,15.51,000,15.51
2010-11-16,15.47,15.47,15.47,15.47,000,15.47
2010-11-15,15.77,15.77,15.77,15.77,000,15.77
2010-11-12,15.80,15.80,15.80,15.80,000,15.80
2010-11-11,15.92,15.92,15.92,15.92,000,15.92
2010-11-10,16.06,16.06,16.06,16.06,000,16.06
2010-11-09,16.06,16.06,16.06,16.06,000,16.06
2010-11-08,16.18,16.18,16.18,16.18,000,16.18
2010-11-05,16.24,16.24,16.24,16.24,000,16.24
2010-11-04,16.33,16.33,16.33,16.33,000,16.33
2010-11-03,16.05,16.05,16.05,16.05,000,16.05
2010-11-02,15.97,15.97,15.97,15.97,000,15.97
2010-11-01,15.82,15.82,15.82,15.82,000,15.82
2010-10-29,15.81,15.81,15.81,15.81,000,15.81
2010-10-28,15.75,15.75,15.75,15.75,000,15.75
2010-10-27,15.65,15.65,15.65,15.65,000,15.65
2010-10-26,15.81,15.81,15.81,15.81,000,15.81
2010-10-25,15.91,15.91,15.91,15.91,000,15.91
2010-10-22,15.82,15.82,15.82,15.82,000,15.82
2010-10-21,15.78,15.78,15.78,15.78,000,15.78
2010-10-20,15.82,15.82,15.82,15.82,000,15.82
2010-10-19,15.61,15.61,15.61,15.61,000,15.61
2010-10-18,15.94,15.94,15.94,15.94,000,15.94
2010-10-15,15.88,15.88,15.88,15.88,000,15.88
2010-10-14,15.98,15.98,15.98,15.98,000,15.98
2010-10-13,15.85,15.85,15.85,15.85,000,15.85
2010-10-12,15.66,15.66,15.66,15.66,000,15.66
2010-10-11,15.72,15.72,15.72,15.72,000,15.72
2010-10-08,15.72,15.72,15.72,15.72,000,15.72
2010-10-07,15.66,15.66,15.66,15.66,000,15.66
2010-10-06,15.66,15.66,15.66,15.66,000,15.66
2010-10-05,15.53,15.53,15.53,15.53,000,15.53
2010-10-04,15.30,15.30,15.30,15.30,000,15.30
2010-10-01,15.39,15.39,15.39,15.39,000,15.39
2010-09-30,15.25,15.25,15.25,15.25,000,15.25
2010-09-29,15.30,15.30,15.30,15.30,000,15.30
2010-09-28,15.27,15.27,15.27,15.27,000,15.27
2010-09-27,15.18,15.18,15.18,15.18,000,15.18
2010-09-24,15.14,15.14,15.14,15.14,000,15.14
2010-09-23,14.87,14.87,14.87,14.87,000,14.87
2010-09-22,14.98,14.98,14.98,14.98,000,14.98
2010-09-21,15.00,15.00,15.00,15.00,000,15.00
2010-09-20,14.91,14.91,14.91,14.91,000,14.91
2010-09-17,14.73,14.73,14.73,14.73,000,14.73
2010-09-16,14.73,14.73,14.73,14.73,000,14.73
2010-09-15,14.77,14.77,14.77,14.77,000,14.77
2010-09-14,14.77,14.77,14.77,14.77,000,14.77
2010-09-13,14.69,14.69,14.69,14.69,000,14.69
2010-09-10,14.44,14.44,14.44,14.44,000,14.44
2010-09-09,14.38,14.38,14.38,14.38,000,14.38
2010-09-08,14.23,14.23,14.23,14.23,000,14.23
2010-09-07,14.13,14.13,14.13,14.13,000,14.13
2010-09-03,14.27,14.27,14.27,14.27,000,14.27
2010-09-02,14.12,14.12,14.12,14.12,000,14.12
2010-09-01,14.07,14.07,14.07,14.07,000,14.07
2010-08-31,13.67,13.67,13.67,13.67,000,13.67
2010-08-30,13.65,13.65,13.65,13.65,000,13.65
2010-08-27,13.73,13.73,13.73,13.73,000,13.73
2010-08-26,13.53,13.53,13.53,13.53,000,13.53
2010-08-25,13.47,13.47,13.47,13.47,000,13.47
2010-08-24,13.53,13.53,13.53,13.53,000,13.53
2010-08-23,13.69,13.69,13.69,13.69,000,13.69
2010-08-20,13.74,13.74,13.74,13.74,000,13.74
2010-08-19,13.89,13.89,13.89,13.89,000,13.89
2010-08-18,13.98,13.98,13.98,13.98,000,13.98
2010-08-17,13.96,13.96,13.96,13.96,000,13.96
2010-08-16,13.77,13.77,13.77,13.77,000,13.77
2010-08-13,13.69,13.69,13.69,13.69,000,13.69
2010-08-12,13.71,13.71,13.71,13.71,000,13.71
2010-08-11,13.78,13.78,13.78,13.78,000,13.78
2010-08-10,14.30,14.30,14.30,14.30,000,14.30
2010-08-09,14.43,14.43,14.43,14.43,000,14.43
2010-08-06,14.41,14.41,14.41,14.41,000,14.41
2010-08-05,14.38,14.38,14.38,14.38,000,14.38
2010-08-04,14.34,14.34,14.34,14.34,000,14.34
2010-08-03,14.37,14.37,14.37,14.37,000,14.37
2010-08-02,14.38,14.38,14.38,14.38,000,14.38
2010-07-30,14.04,14.04,14.04,14.04,000,14.04
2010-07-29,14.09,14.09,14.09,14.09,000,14.09
2010-07-28,13.98,13.98,13.98,13.98,000,13.98
2010-07-27,14.07,14.07,14.07,14.07,000,14.07
2010-07-26,14.08,14.08,14.08,14.08,000,14.08
2010-07-23,13.93,13.93,13.93,13.93,000,13.93
2010-07-22,13.78,13.78,13.78,13.78,000,13.78
2010-07-21,13.43,13.43,13.43,13.43,000,13.43
2010-07-20,13.54,13.54,13.54,13.54,000,13.54
2010-07-19,13.48,13.48,13.48,13.48,000,13.48
2010-07-16,13.50,13.50,13.50,13.50,000,13.50
2010-07-15,13.78,13.78,13.78,13.78,000,13.78
2010-07-14,13.71,13.71,13.71,13.71,000,13.71
2010-07-13,13.67,13.67,13.67,13.67,000,13.67
2010-07-12,13.51,13.51,13.51,13.51,000,13.51
2010-07-09,13.52,13.52,13.52,13.52,000,13.52
2010-07-08,13.50,13.50,13.50,13.50,000,13.50
2010-07-07,13.40,13.40,13.40,13.40,000,13.40
2010-07-06,13.21,13.21,13.21,13.21,000,13.21
2010-07-02,12.96,12.96,12.96,12.96,000,12.96
2010-07-01,12.92,12.92,12.92,12.92,000,12.92
2010-06-30,12.82,12.82,12.82,12.82,000,12.82
2010-06-29,12.87,12.87,12.87,12.87,000,12.87
2010-06-28,13.27,13.27,13.27,13.27,000,13.27
2010-06-25,13.33,13.33,13.33,13.33,000,13.33
2010-06-24,13.26,13.26,13.26,13.26,000,13.26
2010-06-23,13.47,13.47,13.47,13.47,000,13.47
2010-06-22,13.44,13.44,13.44,13.44,000,13.44
2010-06-21,13.54,13.54,13.54,13.54,000,13.54
2010-06-18,13.52,13.52,13.52,13.52,000,13.52
2010-06-17,13.48,13.48,13.48,13.48,000,13.48
2010-06-16,13.43,13.43,13.43,13.43,000,13.43
2010-06-15,13.48,13.48,13.48,13.48,000,13.48
2010-06-14,13.23,13.23,13.23,13.23,000,13.23
2010-06-11,13.08,13.08,13.08,13.08,000,13.08
2010-06-10,13.03,13.03,13.03,13.03,000,13.03
2010-06-09,12.63,12.63,12.63,12.63,000,12.63
2010-06-08,12.60,12.60,12.60,12.60,000,12.60
2010-06-07,12.47,12.47,12.47,12.47,000,12.47
2010-06-04,12.67,12.67,12.67,12.67,000,12.67
2010-06-03,13.01,13.01,13.01,13.01,000,13.01
2010-06-02,12.97,12.97,12.97,12.97,000,12.97
2010-06-01,12.83,12.83,12.83,12.83,000,12.83
2010-05-28,12.83,12.83,12.83,12.83,000,12.83
2010-05-27,12.93,12.93,12.93,12.93,000,12.93
2010-05-26,12.37,12.37,12.37,12.37,000,12.37
2010-05-25,12.38,12.38,12.38,12.38,000,12.38
2010-05-24,12.64,12.64,12.64,12.64,000,12.64
2010-05-21,12.79,12.79,12.79,12.79,000,12.79
2010-05-20,12.65,12.65,12.65,12.65,000,12.65
2010-05-19,13.01,13.01,13.01,13.01,000,13.01
2010-05-18,13.11,13.11,13.11,13.11,000,13.11
2010-05-17,13.39,13.39,13.39,13.39,000,13.39
2010-05-14,13.50,13.50,13.50,13.50,000,13.50
2010-05-13,13.77,13.77,13.77,13.77,000,13.77
2010-05-12,13.87,13.87,13.87,13.87,000,13.87
2010-05-11,13.70,13.70,13.70,13.70,000,13.70
2010-05-10,13.79,13.79,13.79,13.79,000,13.79
2010-05-07,13.20,13.20,13.20,13.20,000,13.20
2010-05-06,13.48,13.48,13.48,13.48,000,13.48
2010-05-05,13.85,13.85,13.85,13.85,000,13.85
2010-05-04,14.09,14.09,14.09,14.09,000,14.09
2010-05-03,14.55,14.55,14.55,14.55,000,14.55
2010-04-30,14.51,14.51,14.51,14.51,000,14.51
2010-04-29,14.50,14.50,14.50,14.50,000,14.50
2010-04-28,14.35,14.35,14.35,14.35,000,14.35
2010-04-27,14.44,14.44,14.44,14.44,000,14.44
2010-04-26,14.84,14.84,14.84,14.84,000,14.84
2010-04-23,14.81,14.81,14.81,14.81,000,14.81
2010-04-22,14.66,14.66,14.66,14.66,000,14.66
2010-04-21,14.71,14.71,14.71,14.71,000,14.71
2010-04-20,14.71,14.71,14.71,14.71,000,14.71
2010-04-19,14.63,14.63,14.63,14.63,000,14.63
2010-04-16,14.73,14.73,14.73,14.73,000,14.73
2010-04-15,14.94,14.94,14.94,14.94,000,14.94
2010-04-14,14.92,14.92,14.92,14.92,000,14.92
2010-04-13,14.74,14.74,14.74,14.74,000,14.74
2010-04-12,14.77,14.77,14.77,14.77,000,14.77
2010-04-09,14.76,14.76,14.76,14.76,000,14.76
2010-04-08,14.60,14.60,14.60,14.60,000,14.60
2010-04-07,14.61,14.61,14.61,14.61,000,14.61
2010-04-06,14.67,14.67,14.67,14.67,000,14.67
2010-04-05,14.60,14.60,14.60,14.60,000,14.60
2010-04-01,14.57,14.57,14.57,14.57,000,14.57
2010-03-31,14.36,14.36,14.36,14.36,000,14.36
2010-03-30,14.32,14.32,14.32,14.32,000,14.32
2010-03-29,14.31,14.31,14.31,14.31,000,14.31
2010-03-26,14.19,14.19,14.19,14.19,000,14.19
2010-03-25,14.05,14.05,14.05,14.05,000,14.05
2010-03-24,14.06,14.06,14.06,14.06,000,14.06
2010-03-23,14.22,14.22,14.22,14.22,000,14.22
2010-03-22,14.16,14.16,14.16,14.16,000,14.16
2010-03-19,14.15,14.15,14.15,14.15,000,14.15
2010-03-18,14.22,14.22,14.22,14.22,000,14.22
2010-03-17,14.25,14.25,14.25,14.25,000,14.25
2010-03-16,14.16,14.16,14.16,14.16,000,14.16
2010-03-15,14.01,14.01,14.01,14.01,000,14.01
2010-03-12,14.11,14.11,14.11,14.11,000,14.11
2010-03-11,14.01,14.01,14.01,14.01,000,14.01
2010-03-10,13.95,13.95,13.95,13.95,000,13.95
2010-03-09,13.85,13.85,13.85,13.85,000,13.85
2010-03-08,13.84,13.84,13.84,13.84,000,13.84
2010-03-05,13.79,13.79,13.79,13.79,000,13.79
2010-03-04,13.63,13.63,13.63,13.63,000,13.63
2010-03-03,13.69,13.69,13.69,13.69,000,13.69
2010-03-02,13.56,13.56,13.56,13.56,000,13.56
2010-03-01,13.50,13.50,13.50,13.50,000,13.50
2010-02-26,13.40,13.40,13.40,13.40,000,13.40
2010-02-25,13.29,13.29,13.29,13.29,000,13.29
2010-02-24,13.36,13.36,13.36,13.36,000,13.36
2010-02-23,13.33,13.33,13.33,13.33,000,13.33
2010-02-22,13.52,13.52,13.52,13.52,000,13.52
2010-02-19,13.45,13.45,13.45,13.45,000,13.45
2010-02-18,13.54,13.54,13.54,13.54,000,13.54
2010-02-17,13.47,13.47,13.47,13.47,000,13.47
2010-02-16,13.46,13.46,13.46,13.46,000,13.46
2010-02-12,13.27,13.27,13.27,13.27,000,13.27
2010-02-11,13.31,13.31,13.31,13.31,000,13.31
2010-02-10,13.21,13.21,13.21,13.21,000,13.21
2010-02-09,13.22,13.22,13.22,13.22,000,13.22
2010-02-08,13.01,13.01,13.01,13.01,000,13.01
2010-02-05,13.16,13.16,13.16,13.16,000,13.16
2010-02-04,13.37,13.37,13.37,13.37,000,13.37
2010-02-03,13.78,13.78,13.78,13.78,000,13.78
2010-02-02,13.85,13.85,13.85,13.85,000,13.85
2010-02-01,13.63,13.63,13.63,13.63,000,13.63
2010-01-29,13.52,13.52,13.52,13.52,000,13.52
2010-01-28,13.68,13.68,13.68,13.68,000,13.68
2010-01-27,13.75,13.75,13.75,13.75,000,13.75
2010-01-26,13.83,13.83,13.83,13.83,000,13.83
2010-01-25,13.96,13.96,13.96,13.96,000,13.96
2010-01-22,13.86,13.86,13.86,13.86,000,13.86
2010-01-21,14.06,14.06,14.06,14.06,000,14.06
2010-01-20,14.18,14.18,14.18,14.18,000,14.18
2010-01-19,14.46,14.46,14.46,14.46,000,14.46
2010-01-15,14.40,14.40,14.40,14.40,000,14.40
2010-01-14,14.51,14.51,14.51,14.51,000,14.51
2010-01-13,14.43,14.43,14.43,14.43,000,14.43
2010-01-12,14.38,14.38,14.38,14.38,000,14.38
2010-01-11,14.45,14.45,14.45,14.45,000,14.45
2010-01-08,14.35,14.35,14.35,14.35,000,14.35
2010-01-07,14.21,14.21,14.21,14.21,000,14.21
2010-01-06,14.25,14.25,14.25,14.25,000,14.25
2010-01-05,14.18,14.18,14.18,14.18,000,14.18
2010-01-04,14.13,14.13,14.13,14.13,000,14.13
2009-12-31,13.78,13.78,13.78,13.78,000,13.78
2009-12-30,13.84,13.84,13.84,13.84,000,13.84
2009-12-29,14.04,14.04,14.04,14.04,000,13.84
2009-12-28,13.98,13.98,13.98,13.98,000,13.78
2009-12-24,13.93,13.93,13.93,13.93,000,13.73
2009-12-23,13.87,13.87,13.87,13.87,000,13.67
2009-12-22,13.76,13.76,13.76,13.76,000,13.56
2009-12-21,13.72,13.72,13.72,13.72,000,13.52
2009-12-18,13.72,13.72,13.72,13.72,000,13.52
2009-12-17,13.69,13.69,13.69,13.69,000,13.49
2009-12-16,13.92,13.92,13.92,13.92,000,13.72
2009-12-15,13.87,13.87,13.87,13.87,000,13.67
2009-12-14,13.98,13.98,13.98,13.98,000,13.78
2009-12-11,13.90,13.90,13.90,13.90,000,13.70
2009-12-10,13.88,13.88,13.88,13.88,000,13.68
2009-12-09,13.84,13.84,13.84,13.84,000,13.64
2009-12-08,13.89,13.89,13.89,13.89,000,13.69
2009-12-07,14.08,14.08,14.08,14.08,000,13.88
2009-12-04,14.10,14.10,14.10,14.10,000,13.90
2009-12-03,14.19,14.19,14.19,14.19,000,13.99
2009-12-02,14.17,14.17,14.17,14.17,000,13.97
2009-12-01,14.15,14.15,14.15,14.15,000,13.95
2009-11-30,13.78,13.78,13.78,13.78,000,13.58
2009-11-27,13.74,13.74,13.74,13.74,000,13.54
2009-11-25,14.04,14.04,14.04,14.04,000,13.84
2009-11-24,13.89,13.89,13.89,13.89,000,13.69
2009-11-23,13.97,13.97,13.97,13.97,000,13.77
2009-11-20,13.77,13.77,13.77,13.77,000,13.57
2009-11-19,13.82,13.82,13.82,13.82,000,13.62
2009-11-18,14.06,14.06,14.06,14.06,000,13.86
2009-11-17,14.09,14.09,14.09,14.09,000,13.89
2009-11-16,14.21,14.21,14.21,14.21,000,14.01
2009-11-13,14.01,14.01,14.01,14.01,000,13.81
2009-11-12,13.88,13.88,13.88,13.88,000,13.68
2009-11-11,13.99,13.99,13.99,13.99,000,13.79
2009-11-10,14.01,14.01,14.01,14.01,000,13.81
2009-11-09,14.09,14.09,14.09,14.09,000,13.89
2009-11-06,13.82,13.82,13.82,13.82,000,13.62
2009-11-05,13.79,13.79,13.79,13.79,000,13.59
2009-11-04,13.68,13.68,13.68,13.68,000,13.48
2009-11-03,13.50,13.50,13.50,13.50,000,13.31
2009-11-02,13.57,13.57,13.57,13.57,000,13.37
2009-10-30,13.55,13.55,13.55,13.55,000,13.36
2009-10-29,13.76,13.76,13.76,13.76,000,13.56
2009-10-28,13.48,13.48,13.48,13.48,000,13.29
