Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,16.07,16.07,16.07,16.07,000,16.07
2011-01-06,16.13,16.13,16.13,16.13,000,16.13
2011-01-05,16.20,16.20,16.20,16.20,000,16.20
2011-01-04,16.06,16.06,16.06,16.06,000,16.06
2011-01-03,16.30,16.30,16.30,16.30,000,16.30
2010-12-31,16.01,16.01,16.01,16.01,000,16.01
2010-12-30,16.11,16.11,16.11,16.11,000,16.11
2010-12-29,16.11,16.11,16.11,16.11,000,16.11
2010-12-28,16.08,16.08,16.08,16.08,000,16.08
2010-12-27,16.11,16.11,16.11,16.11,000,16.11
2010-12-23,16.04,16.04,16.04,16.04,000,16.04
2010-12-22,16.36,16.36,16.36,16.36,000,16.36
2010-12-21,16.28,16.28,16.28,16.28,000,16.28
2010-12-20,16.12,16.12,16.12,16.12,000,16.12
2010-12-17,16.06,16.06,16.06,16.06,000,16.06
2010-12-16,16.04,16.04,16.04,16.04,000,16.04
2010-12-15,15.90,15.90,15.90,15.90,000,15.90
2010-12-14,16.01,16.01,16.01,16.01,000,16.01
2010-12-13,16.02,16.02,16.02,16.02,000,16.02
2010-12-10,16.08,16.08,16.08,16.08,000,16.08
2010-12-09,15.91,15.91,15.91,15.91,000,15.91
2010-12-08,15.85,15.85,15.85,15.85,000,15.85
2010-12-07,15.84,15.84,15.84,15.84,000,15.84
2010-12-06,15.79,15.79,15.79,15.79,000,15.79
2010-12-03,15.75,15.75,15.75,15.75,000,15.75
2010-12-02,15.67,15.67,15.67,15.67,000,15.67
2010-12-01,15.46,15.46,15.46,15.46,000,15.46
2010-11-30,15.15,15.15,15.15,15.15,000,15.15
2010-11-29,15.25,15.25,15.25,15.25,000,15.25
2010-11-26,15.26,15.26,15.26,15.26,000,15.26
2010-11-24,15.35,15.35,15.35,15.35,000,15.35
2010-11-23,15.03,15.03,15.03,15.03,000,15.03
2010-11-22,15.19,15.19,15.19,15.19,000,15.19
2010-11-19,15.16,15.16,15.16,15.16,000,15.16
2010-11-18,15.10,15.10,15.10,15.10,000,15.10
2010-11-17,14.87,14.87,14.87,14.87,000,14.87
2010-11-16,14.81,14.81,14.81,14.81,000,14.81
2010-11-15,15.12,15.12,15.12,15.12,000,15.12
2010-11-12,15.10,15.10,15.10,15.10,000,15.10
2010-11-11,15.34,15.34,15.34,15.34,000,15.34
2010-11-10,15.40,15.40,15.40,15.40,000,15.40
2010-11-09,15.24,15.24,15.24,15.24,000,15.24
