Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,20.98,20.98,20.98,20.98,000,20.98
2011-01-06,21.01,21.01,21.01,21.01,000,21.01
2011-01-05,21.05,21.05,21.05,21.05,000,21.05
2011-01-04,20.98,20.98,20.98,20.98,000,20.98
2011-01-03,21.12,21.12,21.12,21.12,000,21.12
2010-12-31,20.85,20.85,20.85,20.85,000,20.85
2010-12-30,20.90,20.90,20.90,20.90,000,20.90
2010-12-29,20.90,20.90,20.90,20.90,000,20.90
2010-12-28,20.86,20.86,20.86,20.86,000,20.86
2010-12-27,20.87,20.87,20.87,20.87,000,20.87
2010-12-23,20.83,20.83,20.83,20.83,000,20.83
2010-12-22,21.27,21.27,21.27,21.27,000,21.27
2010-12-21,21.16,21.16,21.16,21.16,000,21.16
2010-12-20,21.00,21.00,21.00,21.00,000,21.00
2010-12-17,20.93,20.93,20.93,20.93,000,20.93
2010-12-16,20.86,20.86,20.86,20.86,000,20.86
2010-12-15,20.69,20.69,20.69,20.69,000,20.69
2010-12-14,20.84,20.84,20.84,20.84,000,20.84
2010-12-13,20.87,20.87,20.87,20.87,000,20.87
2010-12-10,20.89,20.89,20.89,20.89,000,20.89
2010-12-09,20.74,20.74,20.74,20.74,000,20.74
2010-12-08,20.65,20.65,20.65,20.65,000,20.65
2010-12-07,20.64,20.64,20.64,20.64,000,20.64
2010-12-06,20.63,20.63,20.63,20.63,000,20.63
2010-12-03,20.64,20.64,20.64,20.64,000,20.64
2010-12-02,20.54,20.54,20.54,20.54,000,20.54
2010-12-01,20.20,20.20,20.20,20.20,000,20.20
2010-11-30,19.79,19.79,19.79,19.79,000,19.79
2010-11-29,19.90,19.90,19.90,19.90,000,19.90
2010-11-26,19.93,19.93,19.93,19.93,000,19.93
2010-11-24,20.05,20.05,20.05,20.05,000,20.05
2010-11-23,19.70,19.70,19.70,19.70,000,19.70
2010-11-22,19.98,19.98,19.98,19.98,000,19.98
2010-11-19,19.94,19.94,19.94,19.94,000,19.94
2010-11-18,19.87,19.87,19.87,19.87,000,19.87
2010-11-17,19.61,19.61,19.61,19.61,000,19.61
2010-11-16,19.53,19.53,19.53,19.53,000,19.53
2010-11-15,19.91,19.91,19.91,19.91,000,19.91
2010-11-12,19.91,19.91,19.91,19.91,000,19.91
2010-11-11,20.19,20.19,20.19,20.19,000,20.19
2010-11-10,20.24,20.24,20.24,20.24,000,20.24
2010-11-09,20.11,20.11,20.11,20.11,000,20.11
2010-11-08,20.40,20.40,20.40,20.40,000,20.40
2010-11-05,20.44,20.44,20.44,20.44,000,20.44
2010-11-04,20.37,20.37,20.37,20.37,000,20.37
2010-11-03,19.94,19.94,19.94,19.94,000,19.94
2010-11-02,19.91,19.91,19.91,19.91,000,19.91
2010-11-01,19.71,19.71,19.71,19.71,000,19.71
2010-10-29,19.72,19.72,19.72,19.72,000,19.72
2010-10-28,19.64,19.64,19.64,19.64,000,19.64
2010-10-27,19.67,19.67,19.67,19.67,000,19.67
2010-10-26,19.73,19.73,19.73,19.73,000,19.73
2010-10-25,19.81,19.81,19.81,19.81,000,19.81
2010-10-22,19.76,19.76,19.76,19.76,000,19.76
2010-10-21,19.70,19.70,19.70,19.70,000,19.70
2010-10-20,19.73,19.73,19.73,19.73,000,19.73
2010-10-19,19.49,19.49,19.49,19.49,000,19.49
2010-10-18,19.80,19.80,19.80,19.80,000,19.80
2010-10-15,19.68,19.68,19.68,19.68,000,19.68
2010-10-14,19.63,19.63,19.63,19.63,000,19.63
2010-10-13,19.73,19.73,19.73,19.73,000,19.73
2010-10-12,19.59,19.59,19.59,19.59,000,19.59
2010-10-11,19.53,19.53,19.53,19.53,000,19.53
2010-10-08,19.48,19.48,19.48,19.48,000,19.48
2010-10-07,19.33,19.33,19.33,19.33,000,19.33
2010-10-06,19.33,19.33,19.33,19.33,000,19.33
2010-10-05,19.39,19.39,19.39,19.39,000,19.39
2010-10-04,18.99,18.99,18.99,18.99,000,18.99
2010-10-01,19.13,19.13,19.13,19.13,000,19.13
2010-09-30,19.05,19.05,19.05,19.05,000,19.05
2010-09-29,19.06,19.06,19.06,19.06,000,19.06
2010-09-28,19.05,19.05,19.05,19.05,000,19.05
2010-09-27,18.89,18.89,18.89,18.89,000,18.89
2010-09-24,18.98,18.98,18.98,18.98,000,18.98
2010-09-23,18.50,18.50,18.50,18.50,000,18.50
2010-09-22,18.69,18.69,18.69,18.69,000,18.69
2010-09-21,18.86,18.86,18.86,18.86,000,18.86
2010-09-20,19.00,19.00,19.00,19.00,000,19.00
2010-09-17,18.68,18.68,18.68,18.68,000,18.68
2010-09-16,18.64,18.64,18.64,18.64,000,18.64
2010-09-15,18.71,18.71,18.71,18.71,000,18.71
2010-09-14,18.66,18.66,18.66,18.66,000,18.66
2010-09-13,18.69,18.69,18.69,18.69,000,18.69
2010-09-10,18.40,18.40,18.40,18.40,000,18.40
2010-09-09,18.36,18.36,18.36,18.36,000,18.36
2010-09-08,18.29,18.29,18.29,18.29,000,18.29
2010-09-07,18.19,18.19,18.19,18.19,000,18.19
2010-09-03,18.52,18.52,18.52,18.52,000,18.52
2010-09-02,18.25,18.25,18.25,18.25,000,18.25
2010-09-01,18.04,18.04,18.04,18.04,000,18.04
2010-08-31,17.46,17.46,17.46,17.46,000,17.46
2010-08-30,17.44,17.44,17.44,17.44,000,17.44
2010-08-27,17.75,17.75,17.75,17.75,000,17.75
2010-08-26,17.37,17.37,17.37,17.37,000,17.37
2010-08-25,17.49,17.49,17.49,17.49,000,17.49
2010-08-24,17.39,17.39,17.39,17.39,000,17.39
2010-08-23,17.63,17.63,17.63,17.63,000,17.63
2010-08-20,17.74,17.74,17.74,17.74,000,17.74
2010-08-19,17.81,17.81,17.81,17.81,000,17.81
2010-08-18,18.15,18.15,18.15,18.15,000,18.15
2010-08-17,18.09,18.09,18.09,18.09,000,18.09
2010-08-16,17.81,17.81,17.81,17.81,000,17.81
2010-08-13,17.80,17.80,17.80,17.80,000,17.80
2010-08-12,17.83,17.83,17.83,17.83,000,17.83
2010-08-11,17.96,17.96,17.96,17.96,000,17.96
2010-08-10,18.58,18.58,18.58,18.58,000,18.58
2010-08-09,18.78,18.78,18.78,18.78,000,18.78
2010-08-06,18.64,18.64,18.64,18.64,000,18.64
2010-08-05,18.68,18.68,18.68,18.68,000,18.68
2010-08-04,18.73,18.73,18.73,18.73,000,18.73
2010-08-03,18.61,18.61,18.61,18.61,000,18.61
2010-08-02,18.79,18.79,18.79,18.79,000,18.79
2010-07-30,18.39,18.39,18.39,18.39,000,18.39
2010-07-29,18.38,18.38,18.38,18.38,000,18.38
2010-07-28,18.51,18.51,18.51,18.51,000,18.51
2010-07-27,18.72,18.72,18.72,18.72,000,18.72
2010-07-26,18.80,18.80,18.80,18.80,000,18.80
2010-07-23,18.46,18.46,18.46,18.46,000,18.46
2010-07-22,18.24,18.24,18.24,18.24,000,18.24
2010-07-21,17.75,17.75,17.75,17.75,000,17.75
2010-07-20,18.05,18.05,18.05,18.05,000,18.05
2010-07-19,17.81,17.81,17.81,17.81,000,17.81
2010-07-16,17.64,17.64,17.64,17.64,000,17.64
2010-07-15,18.26,18.26,18.26,18.26,000,18.26
2010-07-14,18.28,18.28,18.28,18.28,000,18.28
2010-07-13,18.33,18.33,18.33,18.33,000,18.33
2010-07-12,17.97,17.97,17.97,17.97,000,17.97
2010-07-09,18.04,18.04,18.04,18.04,000,18.04
2010-07-08,17.83,17.83,17.83,17.83,000,17.83
2010-07-07,17.65,17.65,17.65,17.65,000,17.65
2010-07-06,17.03,17.03,17.03,17.03,000,17.03
2010-07-02,16.99,16.99,16.99,16.99,000,16.99
2010-07-01,17.14,17.14,17.14,17.14,000,17.14
2010-06-30,17.25,17.25,17.25,17.25,000,17.25
2010-06-29,17.42,17.42,17.42,17.42,000,17.42
2010-06-28,18.08,18.08,18.08,18.08,000,18.08
2010-06-25,18.12,18.12,18.12,18.12,000,18.12
2010-06-24,17.94,17.94,17.94,17.94,000,17.94
2010-06-23,18.28,18.28,18.28,18.28,000,18.28
2010-06-22,18.33,18.33,18.33,18.33,000,18.33
2010-06-21,18.75,18.75,18.75,18.75,000,18.75
2010-06-18,18.85,18.85,18.85,18.85,000,18.85
2010-06-17,18.87,18.87,18.87,18.87,000,18.87
2010-06-16,18.87,18.87,18.87,18.87,000,18.87
2010-06-15,18.95,18.95,18.95,18.95,000,18.95
2010-06-14,18.45,18.45,18.45,18.45,000,18.45
2010-06-11,18.40,18.40,18.40,18.40,000,18.40
2010-06-10,18.25,18.25,18.25,18.25,000,18.25
2010-06-09,17.63,17.63,17.63,17.63,000,17.63
2010-06-08,17.63,17.63,17.63,17.63,000,17.63
2010-06-07,17.46,17.46,17.46,17.46,000,17.46
2010-06-04,17.77,17.77,17.77,17.77,000,17.77
2010-06-03,18.53,18.53,18.53,18.53,000,18.53
2010-06-02,18.42,18.42,18.42,18.42,000,18.42
2010-06-01,17.90,17.90,17.90,17.90,000,17.90
2010-05-28,18.38,18.38,18.38,18.38,000,18.38
2010-05-27,18.58,18.58,18.58,18.58,000,18.58
2010-05-26,17.85,17.85,17.85,17.85,000,17.85
2010-05-25,17.81,17.81,17.81,17.81,000,17.81
2010-05-24,17.80,17.80,17.80,17.80,000,17.80
2010-05-21,18.04,18.04,18.04,18.04,000,18.04
2010-05-20,17.69,17.69,17.69,17.69,000,17.69
2010-05-19,18.54,18.54,18.54,18.54,000,18.54
2010-05-18,18.71,18.71,18.71,18.71,000,18.71
2010-05-17,19.05,19.05,19.05,19.05,000,19.05
2010-05-14,19.00,19.00,19.00,19.00,000,19.00
