Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,65.79,65.92,65.04,65.53,2944000,65.53
2011-01-06,65.91,65.96,65.54,65.68,4318100,65.68
2011-01-05,65.30,65.86,65.19,65.83,5170700,65.83
2011-01-04,65.82,65.86,65.04,65.47,1474900,65.47
2011-01-03,65.36,65.88,65.36,65.60,1465100,65.60
2010-12-31,64.82,65.00,64.74,64.93,5170800,64.93
2010-12-30,64.95,65.12,64.88,64.96,5767700,64.96
2010-12-29,65.08,65.16,64.99,65.04,6472400,65.04
2010-12-28,65.00,65.03,64.77,64.94,715300,64.94
2010-12-27,64.65,64.93,64.54,64.88,2789900,64.88
2010-12-23,64.90,64.98,64.71,64.84,1424100,64.84
2010-12-22,64.81,65.02,64.77,64.93,2097600,64.93
2010-12-21,64.91,65.14,64.81,65.03,1370400,64.68
2010-12-20,64.69,64.80,64.33,64.64,1739000,64.30
2010-12-17,64.35,64.58,64.22,64.47,17309800,64.13
2010-12-16,64.04,64.41,63.81,64.35,11039900,64.01
2010-12-15,64.20,64.46,63.87,63.97,16901300,63.63
2010-12-14,64.35,64.56,64.08,64.25,13621700,63.91
2010-12-13,64.49,64.57,64.20,64.23,9472500,63.89
2010-12-10,64.03,64.25,63.81,64.21,2079900,63.87
2010-12-09,63.96,63.96,63.52,63.80,1478600,63.46
2010-12-08,63.52,63.68,63.17,63.57,937400,63.23
2010-12-07,63.94,64.02,63.34,63.39,2037200,63.05
2010-12-06,63.26,63.46,63.15,63.32,1132400,62.98
2010-12-03,62.92,63.43,62.88,63.34,1549800,63.00
2010-12-02,62.42,63.16,62.40,63.14,1661400,62.80
2010-12-01,61.92,62.45,61.92,62.34,1611600,62.01
2010-11-30,60.80,61.39,60.71,61.03,2400700,60.71
2010-11-29,61.09,61.54,60.66,61.41,1372800,61.08
2010-11-26,61.42,61.73,61.33,61.50,351900,61.17
2010-11-24,61.35,61.92,61.35,61.92,924600,61.59
2010-11-23,61.14,61.20,60.69,60.94,1481100,60.62
2010-11-22,61.52,61.82,61.09,61.82,2431800,61.49
2010-11-19,61.57,61.84,61.22,61.81,3205800,61.48
2010-11-18,61.29,61.78,61.29,61.56,2305100,61.23
2010-11-17,60.61,60.92,60.47,60.71,1101300,60.39
2010-11-16,61.23,61.31,60.32,60.61,2115400,60.29
2010-11-15,61.87,62.12,61.57,61.59,804900,61.26
2010-11-12,62.00,62.30,61.39,61.68,1219800,61.35
2010-11-11,62.13,62.57,61.94,62.47,947900,62.14
2010-11-10,62.32,62.65,61.89,62.64,897200,62.31
2010-11-09,63.00,63.10,62.10,62.37,1001800,62.04
2010-11-08,62.75,62.91,62.53,62.86,1005700,62.53
2010-11-05,62.74,63.03,62.64,62.94,1623900,62.61
2010-11-04,62.19,62.68,62.11,62.66,1676600,62.33
2010-11-03,61.35,61.48,60.71,61.46,1444800,61.13
2010-11-02,61.21,61.34,60.96,61.21,1004000,60.88
2010-11-01,61.04,61.34,60.37,60.73,1084000,60.41
2010-10-29,60.59,60.80,60.47,60.72,1665700,60.40
2010-10-28,60.95,61.02,60.33,60.64,1896900,60.32
2010-10-27,60.37,60.68,60.06,60.64,2228900,60.32
2010-10-26,60.43,60.86,60.30,60.76,905500,60.44
2010-10-25,60.93,61.30,60.71,60.77,1865900,60.45
2010-10-22,60.53,60.60,60.33,60.57,792300,60.25
2010-10-21,60.61,60.90,59.90,60.39,2393200,60.07
2010-10-20,59.77,60.58,59.77,60.29,1665500,59.97
2010-10-19,59.95,60.32,59.34,59.69,3053600,59.37
2010-10-18,60.29,60.71,60.17,60.57,2811800,60.25
2010-10-15,60.50,60.64,59.79,60.24,1934400,59.92
2010-10-14,60.34,60.42,59.78,60.19,1615200,59.87
2010-10-13,60.17,60.68,60.06,60.35,1612000,60.03
2010-10-12,59.54,60.03,59.12,59.88,1504000,59.56
2010-10-11,59.76,59.82,59.49,59.67,1040200,59.35
2010-10-08,59.26,59.74,59.06,59.58,1145100,59.26
2010-10-07,59.48,59.51,58.84,59.18,1157400,58.87
2010-10-06,59.30,59.46,59.02,59.26,1312200,58.94
2010-10-05,58.65,59.46,58.58,59.32,2023200,59.00
2010-10-04,58.51,58.75,57.85,58.11,4304800,57.80
2010-10-01,58.85,58.88,58.27,58.63,3235500,58.32
2010-09-30,58.87,59.20,58.10,58.37,2636800,58.06
2010-09-29,58.47,58.72,58.27,58.50,1842400,58.19
