Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,16.71,16.71,16.71,16.71,000,16.71
2011-01-06,16.79,16.79,16.79,16.79,000,16.79
2011-01-05,16.87,16.87,16.87,16.87,000,16.87
2011-01-04,16.71,16.71,16.71,16.71,000,16.71
2011-01-03,16.94,16.94,16.94,16.94,000,16.94
2010-12-31,16.63,16.63,16.63,16.63,000,16.63
2010-12-30,16.71,16.71,16.71,16.71,000,16.71
2010-12-29,16.72,16.72,16.72,16.72,000,16.72
2010-12-28,16.68,16.68,16.68,16.68,000,16.68
2010-12-27,16.72,16.72,16.72,16.72,000,16.72
2010-12-23,16.67,16.67,16.67,16.67,000,16.67
2010-12-22,16.71,16.71,16.71,16.71,000,16.71
2010-12-21,16.64,16.64,16.64,16.64,000,16.64
2010-12-20,16.44,16.44,16.44,16.44,000,16.44
2010-12-17,16.37,16.37,16.37,16.37,000,16.37
2010-12-16,16.36,16.36,16.36,16.36,000,16.36
2010-12-15,16.20,16.20,16.20,16.20,000,16.20
2010-12-14,16.30,16.30,16.30,16.30,000,16.30
2010-12-13,16.32,16.32,16.32,16.32,000,16.32
2010-12-10,16.42,16.42,16.42,16.42,000,16.42
2010-12-09,16.23,16.23,16.23,16.23,000,16.23
2010-12-08,16.21,16.21,16.21,16.21,000,16.21
2010-12-07,16.18,16.18,16.18,16.18,000,16.18
2010-12-06,16.13,16.13,16.13,16.13,000,16.13
2010-12-03,16.05,16.05,16.05,16.05,000,16.05
2010-12-02,15.93,15.93,15.93,15.93,000,15.93
2010-12-01,15.69,15.69,15.69,15.69,000,15.69
2010-11-30,15.35,15.35,15.35,15.35,000,15.35
2010-11-29,15.45,15.45,15.45,15.45,000,15.45
2010-11-26,15.44,15.44,15.44,15.44,000,15.44
2010-11-24,15.55,15.55,15.55,15.55,000,15.55
2010-11-23,15.21,15.21,15.21,15.21,000,15.21
2010-11-22,15.39,15.39,15.39,15.39,000,15.39
2010-11-19,15.36,15.36,15.36,15.36,000,15.36
2010-11-18,15.28,15.28,15.28,15.28,000,15.28
2010-11-17,15.01,15.01,15.01,15.01,000,15.01
2010-11-16,14.95,14.95,14.95,14.95,000,14.95
2010-11-15,15.25,15.25,15.25,15.25,000,15.25
2010-11-12,15.22,15.22,15.22,15.22,000,15.22
2010-11-11,15.50,15.50,15.50,15.50,000,15.50
2010-11-10,15.55,15.55,15.55,15.55,000,15.55
2010-11-09,15.35,15.35,15.35,15.35,000,15.35
2010-11-08,15.57,15.57,15.57,15.57,000,15.57
2010-11-05,15.55,15.55,15.55,15.55,000,15.55
2010-11-04,15.45,15.45,15.45,15.45,000,15.45
2010-11-03,15.01,15.01,15.01,15.01,000,15.01
2010-11-02,14.97,14.97,14.97,14.97,000,14.97
2010-11-01,14.69,14.69,14.69,14.69,000,14.69
2010-10-29,14.76,14.76,14.76,14.76,000,14.76
2010-10-28,14.72,14.72,14.72,14.72,000,14.72
2010-10-27,14.80,14.80,14.80,14.80,000,14.80
2010-10-26,14.89,14.89,14.89,14.89,000,14.89
2010-10-25,14.90,14.90,14.90,14.90,000,14.90
2010-10-22,14.83,14.83,14.83,14.83,000,14.83
2010-10-21,14.76,14.76,14.76,14.76,000,14.76
2010-10-20,14.83,14.83,14.83,14.83,000,14.83
2010-10-19,14.66,14.66,14.66,14.66,000,14.66
2010-10-18,14.97,14.97,14.97,14.97,000,14.97
2010-10-15,14.82,14.82,14.82,14.82,000,14.82
2010-10-14,14.87,14.87,14.87,14.87,000,14.87
2010-10-13,14.90,14.90,14.90,14.90,000,14.90
2010-10-12,14.70,14.70,14.70,14.70,000,14.70
2010-10-11,14.62,14.62,14.62,14.62,000,14.62
2010-10-08,14.62,14.62,14.62,14.62,000,14.62
2010-10-07,14.40,14.40,14.40,14.40,000,14.40
2010-10-06,14.44,14.44,14.44,14.44,000,14.44
2010-10-05,14.47,14.47,14.47,14.47,000,14.47
2010-10-04,14.07,14.07,14.07,14.07,000,14.07
2010-10-01,14.28,14.28,14.28,14.28,000,14.28
2010-09-30,14.23,14.23,14.23,14.23,000,14.23
2010-09-29,14.25,14.25,14.25,14.25,000,14.25
2010-09-28,14.20,14.20,14.20,14.20,000,14.20
2010-09-27,14.04,14.04,14.04,14.04,000,14.04
2010-09-24,14.10,14.10,14.10,14.10,000,14.10
2010-09-23,13.64,13.64,13.64,13.64,000,13.64
2010-09-22,13.80,13.80,13.80,13.80,000,13.80
2010-09-21,13.98,13.98,13.98,13.98,000,13.98
2010-09-20,14.08,14.08,14.08,14.08,000,14.08
2010-09-17,13.71,13.71,13.71,13.71,000,13.71
2010-09-16,13.67,13.67,13.67,13.67,000,13.67
2010-09-15,13.78,13.78,13.78,13.78,000,13.78
2010-09-14,13.72,13.72,13.72,13.72,000,13.72
2010-09-13,13.78,13.78,13.78,13.78,000,13.78
2010-09-10,13.46,13.46,13.46,13.46,000,13.46
2010-09-09,13.42,13.42,13.42,13.42,000,13.42
2010-09-08,13.37,13.37,13.37,13.37,000,13.37
2010-09-07,13.29,13.29,13.29,13.29,000,13.26
2010-09-03,13.61,13.61,13.61,13.61,000,13.58
2010-09-02,13.37,13.37,13.37,13.37,000,13.34
2010-09-01,13.21,13.21,13.21,13.21,000,13.18
2010-08-31,12.70,12.70,12.70,12.70,000,12.67
2010-08-30,12.68,12.68,12.68,12.68,000,12.65
2010-08-27,13.00,13.00,13.00,13.00,000,12.97
2010-08-26,12.64,12.64,12.64,12.64,000,12.61
2010-08-25,12.76,12.76,12.76,12.76,000,12.73
2010-08-24,12.59,12.59,12.59,12.59,000,12.56
2010-08-23,12.77,12.77,12.77,12.77,000,12.74
2010-08-20,12.97,12.97,12.97,12.97,000,12.94
2010-08-19,12.99,12.99,12.99,12.99,000,12.96
2010-08-18,13.33,13.33,13.33,13.33,000,13.30
2010-08-17,13.28,13.28,13.28,13.28,000,13.25
2010-08-16,13.04,13.04,13.04,13.04,000,13.01
2010-08-13,12.94,12.94,12.94,12.94,000,12.91
2010-08-12,13.08,13.08,13.08,13.08,000,13.05
2010-08-11,13.16,13.16,13.16,13.16,000,13.13
2010-08-10,13.74,13.74,13.74,13.74,000,13.71
2010-08-09,14.02,14.02,14.02,14.02,000,13.99
2010-08-06,13.84,13.84,13.84,13.84,000,13.81
2010-08-05,13.93,13.93,13.93,13.93,000,13.90
2010-08-04,14.05,14.05,14.05,14.05,000,14.02
2010-08-03,13.89,13.89,13.89,13.89,000,13.86
2010-08-02,14.07,14.07,14.07,14.07,000,14.04
2010-07-30,13.82,13.82,13.82,13.82,000,13.79
2010-07-29,13.82,13.82,13.82,13.82,000,13.79
2010-07-28,13.76,13.76,13.76,13.76,000,13.73
2010-07-27,13.98,13.98,13.98,13.98,000,13.95
2010-07-26,14.05,14.05,14.05,14.05,000,14.02
2010-07-23,13.77,13.77,13.77,13.77,000,13.74
2010-07-22,13.48,13.48,13.48,13.48,000,13.45
2010-07-21,12.98,12.98,12.98,12.98,000,12.95
2010-07-20,13.22,13.22,13.22,13.22,000,13.19
2010-07-19,12.97,12.97,12.97,12.97,000,12.94
2010-07-16,12.91,12.91,12.91,12.91,000,12.88
2010-07-15,13.45,13.45,13.45,13.45,000,13.42
2010-07-14,13.55,13.55,13.55,13.55,000,13.52
2010-07-13,13.62,13.62,13.62,13.62,000,13.59
2010-07-12,13.17,13.17,13.17,13.17,000,13.14
2010-07-09,13.31,13.31,13.31,13.31,000,13.28
2010-07-08,13.10,13.10,13.10,13.10,000,13.07
2010-07-07,12.90,12.90,12.90,12.90,000,12.87
2010-07-06,12.42,12.42,12.42,12.42,000,12.39
2010-07-02,12.57,12.57,12.57,12.57,000,12.54
2010-07-01,12.71,12.71,12.71,12.71,000,12.68
2010-06-30,12.82,12.82,12.82,12.82,000,12.79
2010-06-29,12.98,12.98,12.98,12.98,000,12.95
