Date,Open,High,Low,Close,Volume,Adj Close
2011-01-07,16.98,16.98,16.98,16.98,000,16.98
2011-01-06,17.02,17.02,17.02,17.02,000,17.02
2011-01-05,17.12,17.12,17.12,17.12,000,17.12
2011-01-04,17.25,17.25,17.25,17.25,000,17.25
2011-01-03,17.25,17.25,17.25,17.25,000,17.25
2010-12-31,17.18,17.18,17.18,17.18,000,17.18
2010-12-30,17.06,17.06,17.06,17.06,000,17.06
2010-12-29,17.07,17.07,17.07,17.07,000,17.07
2010-12-28,16.83,16.83,16.83,16.83,000,16.83
2010-12-27,16.78,16.78,16.78,16.78,000,16.78
2010-12-23,16.81,16.81,16.81,16.81,000,16.81
2010-12-22,16.76,16.76,16.76,16.76,000,16.76
2010-12-21,16.75,16.75,16.75,16.75,000,16.75
2010-12-20,16.67,16.67,16.67,16.67,000,16.67
2010-12-17,16.67,16.67,16.67,16.67,000,16.67
2010-12-16,16.67,16.67,16.67,16.67,000,16.67
2010-12-15,16.60,16.60,16.60,16.60,000,16.60
2010-12-14,16.76,16.76,16.76,16.76,000,16.76
2010-12-13,16.70,16.70,16.70,16.70,000,16.70
2010-12-10,16.48,16.48,16.48,16.48,000,16.48
2010-12-09,16.69,16.69,16.69,16.69,000,16.69
2010-12-08,16.69,16.69,16.69,16.69,000,16.69
2010-12-07,16.65,16.65,16.65,16.65,000,16.65
2010-12-06,16.64,16.64,16.64,16.64,000,16.64
2010-12-03,16.60,16.60,16.60,16.60,000,16.60
2010-12-02,16.38,16.38,16.38,16.38,000,16.38
2010-12-01,16.06,16.06,16.06,16.06,000,16.06
2010-11-30,15.69,15.69,15.69,15.69,000,15.69
2010-11-29,15.84,15.84,15.84,15.84,000,15.84
2010-11-26,15.94,15.94,15.94,15.94,000,15.94
2010-11-24,16.06,16.06,16.06,16.06,000,16.06
2010-11-23,15.87,15.87,15.87,15.87,000,15.87
2010-11-22,16.27,16.27,16.27,16.27,000,16.27
2010-11-19,16.29,16.29,16.29,16.29,000,16.29
2010-11-18,16.25,16.25,16.25,16.25,000,16.25
2010-11-17,15.91,15.91,15.91,15.91,000,15.91
2010-11-16,15.85,15.85,15.85,15.85,000,15.85
2010-11-15,16.19,16.19,16.19,16.19,000,16.19
2010-11-12,16.22,16.22,16.22,16.22,000,16.22
2010-11-11,16.37,16.37,16.37,16.37,000,16.37
2010-11-10,16.53,16.53,16.53,16.53,000,16.53
2010-11-09,16.50,16.50,16.50,16.50,000,16.50
2010-11-08,16.63,16.63,16.63,16.63,000,16.63
2010-11-05,16.65,16.65,16.65,16.65,000,16.65
2010-11-04,16.68,16.68,16.68,16.68,000,16.68
2010-11-03,16.36,16.36,16.36,16.36,000,16.36
2010-11-02,16.28,16.28,16.28,16.28,000,16.28
2010-11-01,16.13,16.13,16.13,16.13,000,16.13
2010-10-29,16.14,16.14,16.14,16.14,000,16.14
2010-10-28,16.08,16.08,16.08,16.08,000,16.08
2010-10-27,15.96,15.96,15.96,15.96,000,15.96
2010-10-26,16.14,16.14,16.14,16.14,000,16.14
