Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,18.38,18.38,18.38,18.38,000,18.38
2010-12-30,18.31,18.31,18.31,18.31,000,18.31
2010-12-29,18.38,18.38,18.38,18.38,000,18.38
2010-12-28,18.23,18.23,18.23,18.23,000,18.23
2010-12-27,18.20,18.20,18.20,18.20,000,18.20
2010-12-23,18.25,18.25,18.25,18.25,000,18.25
2010-12-22,18.24,18.24,18.24,18.24,000,18.24
2010-12-21,18.21,18.21,18.21,18.21,000,18.21
2010-12-20,18.02,18.02,18.02,18.02,000,18.02
2010-12-17,18.02,18.02,18.02,18.02,000,18.02
2010-12-16,18.11,18.11,18.11,18.11,000,18.11
2010-12-15,18.00,18.00,18.00,18.00,000,18.00
2010-12-14,18.27,18.27,18.27,18.27,000,18.27
2010-12-13,18.22,18.22,18.22,18.22,000,18.22
2010-12-10,18.01,18.01,18.01,18.01,000,18.01
2010-12-09,18.02,18.02,18.02,18.02,000,18.02
2010-12-08,18.02,18.02,18.02,18.02,000,18.02
2010-12-07,17.93,17.93,17.93,17.93,000,17.93
2010-12-06,17.94,17.94,17.94,17.94,000,17.94
2010-12-03,18.03,18.03,18.03,18.03,000,18.03
2010-12-02,17.84,17.84,17.84,17.84,000,17.84
2010-12-01,17.46,17.46,17.46,17.46,000,17.46
2010-11-30,16.90,16.90,16.90,16.90,000,16.90
2010-11-29,17.17,17.17,17.17,17.17,000,17.17
2010-11-26,17.32,17.32,17.32,17.32,000,17.32
2010-11-24,17.59,17.59,17.59,17.59,000,17.59
2010-11-23,17.38,17.38,17.38,17.38,000,17.38
2010-11-22,17.92,17.92,17.92,17.92,000,17.92
2010-11-19,18.08,18.08,18.08,18.08,000,18.08
2010-11-18,18.05,18.05,18.05,18.05,000,18.05
2010-11-17,17.63,17.63,17.63,17.63,000,17.63
2010-11-16,17.54,17.54,17.54,17.54,000,17.54
2010-11-15,17.97,17.97,17.97,17.97,000,17.97
2010-11-12,17.99,17.99,17.99,17.99,000,17.99
2010-11-11,18.14,18.14,18.14,18.14,000,18.14
2010-11-10,18.31,18.31,18.31,18.31,000,18.31
2010-11-09,18.26,18.26,18.26,18.26,000,18.26
2010-11-08,18.42,18.42,18.42,18.42,000,18.42
2010-11-05,18.49,18.49,18.49,18.49,000,18.49
2010-11-04,18.55,18.55,18.55,18.55,000,18.55
2010-11-03,18.11,18.11,18.11,18.11,000,18.11
2010-11-02,17.98,17.98,17.98,17.98,000,17.98
2010-11-01,17.73,17.73,17.73,17.73,000,17.73
2010-10-29,17.81,17.81,17.81,17.81,000,17.81
2010-10-28,17.78,17.78,17.78,17.78,000,17.78
2010-10-27,17.65,17.65,17.65,17.65,000,17.65
2010-10-26,17.82,17.82,17.82,17.82,000,17.82
2010-10-25,17.95,17.95,17.95,17.95,000,17.95
2010-10-22,17.90,17.90,17.90,17.90,000,17.90
2010-10-21,17.86,17.86,17.86,17.86,000,17.86
2010-10-20,17.94,17.94,17.94,17.94,000,17.94
2010-10-19,17.62,17.62,17.62,17.62,000,17.62
2010-10-18,18.06,18.06,18.06,18.06,000,18.06
