Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,10.87,10.87,10.87,10.87,000,10.87
2010-12-30,10.90,10.90,10.90,10.90,000,10.90
2010-12-29,10.91,10.91,10.91,10.91,000,10.91
2010-12-28,10.89,10.89,10.89,10.89,000,10.89
2010-12-27,10.91,10.91,10.91,10.91,000,10.91
2010-12-23,10.88,10.88,10.88,10.88,000,10.88
2010-12-22,10.91,10.91,10.91,10.91,000,10.91
2010-12-21,10.87,10.87,10.87,10.87,000,10.87
2010-12-20,10.75,10.75,10.75,10.75,000,10.75
2010-12-17,10.71,10.71,10.71,10.71,000,10.71
2010-12-16,10.69,10.69,10.69,10.69,000,10.69
2010-12-15,10.60,10.60,10.60,10.60,000,10.60
2010-12-14,10.66,10.66,10.66,10.66,000,10.66
2010-12-13,10.67,10.67,10.67,10.67,000,10.67
2010-12-10,10.71,10.71,10.71,10.71,000,10.71
2010-12-09,10.59,10.59,10.59,10.59,000,10.59
2010-12-08,10.59,10.59,10.59,10.59,000,10.59
2010-12-07,10.56,10.56,10.56,10.56,000,10.56
2010-12-06,10.53,10.53,10.53,10.53,000,10.53
2010-12-03,10.50,10.50,10.50,10.50,000,10.50
2010-12-02,10.44,10.44,10.44,10.44,000,10.44
2010-12-01,10.29,10.29,10.29,10.29,000,10.29
2010-11-30,10.06,10.06,10.06,10.06,000,10.06
2010-11-29,10.12,10.12,10.12,10.12,000,10.12
2010-11-26,10.12,10.12,10.12,10.12,000,10.12
2010-11-24,10.19,10.19,10.19,10.19,000,10.19
2010-11-23,10.00,10.00,10.00,10.00,000,10.00
2010-11-22,10.13,10.13,10.13,10.13,000,10.13
2010-11-19,10.12,10.12,10.12,10.12,000,10.12
2010-11-18,10.08,10.08,10.08,10.08,000,10.08
2010-11-17,9.92,9.92,9.92,9.92,000,9.92
2010-11-16,9.90,9.90,9.90,9.90,000,9.90
2010-11-15,10.08,10.08,10.08,10.08,000,10.08
2010-11-12,10.07,10.07,10.07,10.07,000,10.07
2010-11-11,10.23,10.23,10.23,10.23,000,10.23
2010-11-10,10.27,10.27,10.27,10.27,000,10.27
2010-11-09,10.16,10.16,10.16,10.16,000,10.16
2010-11-08,10.28,10.28,10.28,10.28,000,10.28
2010-11-05,10.28,10.28,10.28,10.28,000,10.28
2010-11-04,10.22,10.22,10.22,10.22,000,10.22
2010-11-03,9.97,9.97,9.97,9.97,000,9.97
2010-11-02,9.93,9.93,9.93,9.93,000,9.93
2010-11-01,9.79,9.79,9.79,9.79,000,9.79
2010-10-29,9.82,9.82,9.82,9.82,000,9.82
2010-10-28,9.80,9.80,9.80,9.80,000,9.80
2010-10-27,9.82,9.82,9.82,9.82,000,9.82
2010-10-26,9.85,9.85,9.85,9.85,000,9.85
2010-10-25,9.85,9.85,9.85,9.85,000,9.85
2010-10-22,9.81,9.81,9.81,9.81,000,9.81
2010-10-21,9.77,9.77,9.77,9.77,000,9.77
2010-10-20,9.80,9.80,9.80,9.80,000,9.80
2010-10-19,9.68,9.68,9.68,9.68,000,9.68
2010-10-18,9.87,9.87,9.87,9.87,000,9.87
2010-10-15,9.78,9.78,9.78,9.78,000,9.78
2010-10-14,9.81,9.81,9.81,9.81,000,9.81
2010-10-13,9.85,9.85,9.85,9.85,000,9.85
2010-10-12,9.75,9.75,9.75,9.75,000,9.75
2010-10-11,9.71,9.71,9.71,9.71,000,9.71
2010-10-08,9.70,9.70,9.70,9.70,000,9.70
2010-10-07,9.59,9.59,9.59,9.59,000,9.59
2010-10-06,9.61,9.61,9.61,9.61,000,9.61
2010-10-05,9.64,9.64,9.64,9.64,000,9.64
2010-10-04,9.39,9.39,9.39,9.39,000,9.39
2010-10-01,9.51,9.51,9.51,9.51,000,9.51
2010-09-30,9.47,9.47,9.47,9.47,000,9.47
2010-09-29,9.48,9.48,9.48,9.48,000,9.48
2010-09-28,9.47,9.47,9.47,9.47,000,9.47
