Date,Open,High,Low,Close,Volume,Adj Close
2010-12-31,10.82,10.82,10.82,10.82,000,10.82
2010-12-30,10.76,10.76,10.76,10.76,000,10.76
2010-12-29,10.78,10.78,10.78,10.78,000,10.78
2010-12-28,10.65,10.65,10.65,10.65,000,10.65
2010-12-27,10.62,10.62,10.62,10.62,000,10.62
2010-12-23,10.64,10.64,10.64,10.64,000,10.64
2010-12-22,10.62,10.62,10.62,10.62,000,10.62
2010-12-21,10.61,10.61,10.61,10.61,000,10.61
2010-12-20,10.53,10.53,10.53,10.53,000,10.53
2010-12-17,10.53,10.53,10.53,10.53,000,10.53
2010-12-16,10.55,10.55,10.55,10.55,000,10.55
2010-12-15,10.50,10.50,10.50,10.50,000,10.50
2010-12-14,10.62,10.62,10.62,10.62,000,10.62
2010-12-13,10.58,10.58,10.58,10.58,000,10.58
2010-12-10,10.45,10.45,10.45,10.45,000,10.45
2010-12-09,10.57,10.57,10.57,10.57,000,10.57
2010-12-08,10.57,10.57,10.57,10.57,000,10.57
2010-12-07,10.54,10.54,10.54,10.54,000,10.54
2010-12-06,10.54,10.54,10.54,10.54,000,10.54
2010-12-03,10.54,10.54,10.54,10.54,000,10.54
2010-12-02,10.41,10.41,10.41,10.41,000,10.41
2010-12-01,10.19,10.19,10.19,10.19,000,10.19
2010-11-30,9.91,9.91,9.91,9.91,000,9.91
2010-11-29,10.03,10.03,10.03,10.03,000,10.03
2010-11-26,10.11,10.11,10.11,10.11,000,10.11
2010-11-24,10.21,10.21,10.21,10.21,000,10.21
2010-11-23,10.08,10.08,10.08,10.08,000,10.08
2010-11-22,10.37,10.37,10.37,10.37,000,10.37
2010-11-19,10.42,10.42,10.42,10.42,000,10.42
2010-11-18,10.39,10.39,10.39,10.39,000,10.39
2010-11-17,10.15,10.15,10.15,10.15,000,10.15
2010-11-16,10.10,10.10,10.10,10.10,000,10.10
2010-11-15,10.35,10.35,10.35,10.35,000,10.35
2010-11-12,10.36,10.36,10.36,10.36,000,10.36
2010-11-11,10.46,10.46,10.46,10.46,000,10.46
2010-11-10,10.56,10.56,10.56,10.56,000,10.56
2010-11-09,10.53,10.53,10.53,10.53,000,10.53
2010-11-08,10.61,10.61,10.61,10.61,000,10.61
2010-11-05,10.64,10.64,10.64,10.64,000,10.64
2010-11-04,10.67,10.67,10.67,10.67,000,10.67
2010-11-03,10.44,10.44,10.44,10.44,000,10.44
2010-11-02,10.37,10.37,10.37,10.37,000,10.37
2010-11-01,10.26,10.26,10.26,10.26,000,10.26
2010-10-29,10.28,10.28,10.28,10.28,000,10.28
2010-10-28,10.25,10.25,10.25,10.25,000,10.25
2010-10-27,10.19,10.19,10.19,10.19,000,10.19
2010-10-26,10.30,10.30,10.30,10.30,000,10.30
2010-10-25,10.37,10.37,10.37,10.37,000,10.37
2010-10-22,10.31,10.31,10.31,10.31,000,10.31
2010-10-21,10.27,10.27,10.27,10.27,000,10.27
2010-10-20,10.30,10.30,10.30,10.30,000,10.30
2010-10-19,10.13,10.13,10.13,10.13,000,10.13
2010-10-18,10.39,10.39,10.39,10.39,000,10.39
2010-10-15,10.33,10.33,10.33,10.33,000,10.33
2010-10-14,10.41,10.41,10.41,10.41,000,10.41
2010-10-13,10.34,10.34,10.34,10.34,000,10.34
2010-10-12,10.21,10.21,10.21,10.21,000,10.21
2010-10-11,10.23,10.23,10.23,10.23,000,10.23
2010-10-08,10.24,10.24,10.24,10.24,000,10.24
2010-10-07,10.18,10.18,10.18,10.18,000,10.18
2010-10-06,10.19,10.19,10.19,10.19,000,10.19
2010-10-05,10.09,10.09,10.09,10.09,000,10.09
2010-10-04,9.87,9.87,9.87,9.87,000,9.87
2010-10-01,9.98,9.98,9.98,9.98,000,9.98
2010-09-30,9.90,9.90,9.90,9.90,000,9.90
2010-09-29,9.95,9.95,9.95,9.95,000,9.95
2010-09-28,9.92,9.92,9.92,9.92,000,9.92
2010-09-27,9.87,9.87,9.87,9.87,000,9.87
2010-09-24,9.87,9.87,9.87,9.87,000,9.87
2010-09-23,9.65,9.65,9.65,9.65,000,9.65
2010-09-22,9.74,9.74,9.74,9.74,000,9.74
2010-09-21,9.76,9.76,9.76,9.76,000,9.76
2010-09-20,9.72,9.72,9.72,9.72,000,9.72
2010-09-17,9.59,9.59,9.59,9.59,000,9.59
2010-09-16,9.62,9.62,9.62,9.62,000,9.62
2010-09-15,9.66,9.66,9.66,9.66,000,9.66
2010-09-14,9.65,9.65,9.65,9.65,000,9.65
2010-09-13,9.58,9.58,9.58,9.58,000,9.58
2010-09-10,9.43,9.43,9.43,9.43,000,9.43
2010-09-09,9.40,9.40,9.40,9.40,000,9.40
2010-09-08,9.31,9.31,9.31,9.31,000,9.31
2010-09-07,9.28,9.28,9.28,9.28,000,9.25
2010-09-03,9.40,9.40,9.40,9.40,000,9.37
2010-09-02,9.29,9.29,9.29,9.29,000,9.26
2010-09-01,9.24,9.24,9.24,9.24,000,9.21
2010-08-31,8.93,8.93,8.93,8.93,000,8.90
2010-08-30,8.94,8.94,8.94,8.94,000,8.91
2010-08-27,9.02,9.02,9.02,9.02,000,8.99
2010-08-26,8.88,8.88,8.88,8.88,000,8.85
2010-08-25,8.84,8.84,8.84,8.84,000,8.81
2010-08-24,8.86,8.86,8.86,8.86,000,8.83
2010-08-23,9.00,9.00,9.00,9.00,000,8.97
2010-08-20,9.02,9.02,9.02,9.02,000,8.99
2010-08-19,9.15,9.15,9.15,9.15,000,9.12
2010-08-18,9.26,9.26,9.26,9.26,000,9.23
2010-08-17,9.24,9.24,9.24,9.24,000,9.21
2010-08-16,9.11,9.11,9.11,9.11,000,9.08
2010-08-13,9.06,9.06,9.06,9.06,000,9.03
2010-08-12,9.07,9.07,9.07,9.07,000,9.04
2010-08-11,9.12,9.12,9.12,9.12,000,9.09
2010-08-10,9.53,9.53,9.53,9.53,000,9.50
2010-08-09,9.63,9.63,9.63,9.63,000,9.60
2010-08-06,9.61,9.61,9.61,9.61,000,9.58
2010-08-05,9.59,9.59,9.59,9.59,000,9.56
2010-08-04,9.58,9.58,9.58,9.58,000,9.55
2010-08-03,9.58,9.58,9.58,9.58,000,9.55
2010-08-02,9.57,9.57,9.57,9.57,000,9.54
2010-07-30,9.32,9.32,9.32,9.32,000,9.29
2010-07-29,9.37,9.37,9.37,9.37,000,9.34
2010-07-28,9.31,9.31,9.31,9.31,000,9.28
2010-07-27,9.34,9.34,9.34,9.34,000,9.31
2010-07-26,9.32,9.32,9.32,9.32,000,9.29
2010-07-23,9.22,9.22,9.22,9.22,000,9.19
2010-07-22,9.12,9.12,9.12,9.12,000,9.09
2010-07-21,8.87,8.87,8.87,8.87,000,8.84
2010-07-20,8.96,8.96,8.96,8.96,000,8.93
