Month,BRSIX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
1999-sep,4.18, 0.4808, 0.0908,,-2.68,3.27,-3.12,0.39
1999-oct,4.28, 2.3923, 2.0023,,5.81,-6.72,-3.32,0.39
1999-nov,4.95,15.6542,15.2942,,3.32,7.69,-7.92,0.36
1999-dec,5.22, 5.4545, 5.0145,,7.93,6.89,-9.13,0.44
2000-jan,5.24, 0.3831,-0.0269,,-4.37,4.45,0.29,0.41
2000-feb,5.52, 5.3435, 4.9135,,2.75,22.19,-12.78,0.43
2000-mar,5.74, 3.9855, 3.5155,,4.88,-16.67,7.91,0.47
2000-apr,5.24,-8.7108,-9.1708,,-6.41,-7.68,9.3,0.46
2000-may,5.04,-3.8168,-4.3168,,-4.4,-4.79,3.79,0.5
2000-jun,5.39, 6.9444, 6.5444,,4.76,13.81,-9.95,0.4
2000-jul,5.28,-2.0408,-2.5208,,-2.19,-2.77,8.38,0.48
2000-aug,5.78, 9.4697, 8.9697,,7.08,-0.87,-1.32,0.5
2000-sep,5.86, 1.3841, 0.8741,,-5.62,-1.81,6.86,0.51
2000-oct,5.5,-6.1433,-6.7033,,-3.02,-3.75,4.93,0.56
2000-nov,5.22,-5.0909,-5.6009,,-10.76,-3.15,12.49,0.51
2000-dec,5.25, 0.5747, 0.0747,,1.53,1.53,6.21,0.5
2001-jan,5.97,13.7143,13.1743,,3.41,6.95,-5.64,0.54
2001-feb,5.62,-5.8626,-6.2526,,-10.32,-1.13,13.84,0.39
2001-mar,5.37,-4.4484,-4.8884,,-7.47,0.58,6.27,0.44
2001-apr,5.58, 3.9106, 3.5206,,8.0,0.32,-4.51,0.39
2001-may,5.9, 5.7348, 5.4148,,0.74,2.96,2.87,0.32
2001-jun,5.9, 0.0000,-0.2800,,-2.03,6.41,-2.12,0.28
2001-jul,6.0, 1.6949, 1.3949,,-2.13,-4.2,5.6,0.3
2001-aug,5.82,-3.0000,-3.3100,,-6.22,2.17,3.31,0.31
2001-sep,5.52,-5.1546,-5.4346,,-9.43,-6.53,1.62,0.28
2001-oct,5.89, 6.7029, 6.4829,,2.58,6.86,-7.0,0.22
2001-nov,6.12, 3.9049, 3.7349,,7.7,0.4,0.83,0.17
2001-dec,6.51, 6.3725, 6.2225,,1.63,5.12,0.39,0.15
2002-jan,6.8, 4.4547, 4.3147,,-1.74,1.13,3.47,0.14
2002-feb,6.49,-4.5588,-4.6888,,-2.3,-1.67,3.93,0.13
2002-mar,7.22,11.2481,11.1181,,4.34,4.35,1.12,0.13
2002-apr,7.35, 1.8006, 1.6506,,-5.12,5.83,4.2,0.15
2002-may,7.38, 0.4082, 0.2682,,-1.19,-3.71,2.47,0.14
2002-jun,7.12,-3.5230,-3.6530,,-7.16,3.52,1.47,0.13
2002-jul,6.4,-10.1124,-10.2624,,-8.26,-5.18,-3.66,0.15
2002-aug,6.44, 0.6250, 0.4850,,0.66,-2.19,2.18,0.14
2002-sep,6.08,-5.5901,-5.7301,,-10.14,2.71,1.15,0.14
2002-oct,6.35, 4.4408, 4.3008,,7.35,-3.0,-6.51,0.14
2002-nov,6.82, 7.4016, 7.2816,,6.01,3.18,-1.55,0.12
2002-dec,6.83, 0.1466, 0.0366,,-5.44,-0.52,3.88,0.11
2003-jan,6.91, 1.1713, 1.0713,,-2.44,1.39,-0.89,0.1
2003-feb,6.74,-2.4602,-2.5502,,-1.63,-0.29,-1.46,0.09
2003-mar,6.86, 1.7804, 1.6804,,0.93,0.83,-1.71,0.1
2003-apr,7.53, 9.7668, 9.6668,,8.18,1.12,-0.03,0.1
2003-may,8.56,13.6786,13.5886,,6.26,4.71,0.17,0.09
2003-jun,8.98, 4.9065, 4.8065,,1.53,1.47,0.63,0.1
2003-jul,9.77, 8.7973, 8.7273,,2.24,5.6,-2.07,0.07
2003-aug,10.22, 4.6059, 4.5359,,2.43,2.66,1.78,0.07
2003-sep,10.41, 1.8591, 1.7791,,-0.99,0.58,0.94,0.08
2003-oct,11.38, 9.3180, 9.2480,,5.96,2.91,1.81,0.07
2003-nov,11.86, 4.2179, 4.1479,,1.59,2.23,1.39,0.07
2003-dec,12.25, 3.2884, 3.2084,,4.47,-2.81,2.68,0.08
