Month,DFIVX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2001-jan,8.86, 0.2262,-0.3138,,3.41,6.95,-5.64,0.54
2001-feb,8.58,-3.1603,-3.5503,,-10.32,-1.13,13.84,0.39
2001-mar,8.07,-5.9441,-6.3841,,-7.47,0.58,6.27,0.44
2001-apr,8.49, 5.2045, 4.8145,,8.0,0.32,-4.51,0.39
2001-may,8.42,-0.8245,-1.1445,,0.74,2.96,2.87,0.32
2001-jun,8.26,-1.9002,-2.1802,,-2.03,6.41,-2.12,0.28
2001-jul,8.09,-2.0581,-2.3581,,-2.13,-4.2,5.6,0.3
2001-aug,8.2, 1.3597, 1.0497,,-6.22,2.17,3.31,0.31
2001-sep,7.16,-12.6829,-12.9629,,-9.43,-6.53,1.62,0.28
2001-oct,7.2, 0.5587, 0.3387,,2.58,6.86,-7.0,0.22
2001-nov,7.46, 3.6111, 3.4411,,7.7,0.4,0.83,0.17
2001-dec,7.49, 0.4021, 0.2521,,1.63,5.12,0.39,0.15
2002-jan,7.33,-2.1362,-2.2762,,-1.74,1.13,3.47,0.14
2002-feb,7.41, 1.0914, 0.9614,,-2.3,-1.67,3.93,0.13
2002-mar,7.87, 6.2078, 6.0778,,4.34,4.35,1.12,0.13
2002-apr,8.13, 3.3037, 3.1537,,-5.12,5.83,4.2,0.15
2002-may,8.41, 3.4440, 3.3040,,-1.19,-3.71,2.47,0.14
2002-jun,8.09,-3.8050,-3.9350,,-7.16,3.52,1.47,0.13
2002-jul,7.26,-10.2596,-10.4096,,-8.26,-5.18,-3.66,0.15
2002-aug,7.25,-0.1377,-0.2777,,0.66,-2.19,2.18,0.14
2002-sep,6.39,-11.8621,-12.0021,,-10.14,2.71,1.15,0.14
2002-oct,6.57, 2.8169, 2.6769,,7.35,-3.0,-6.51,0.14
2002-nov,6.83, 3.9574, 3.8374,,6.01,3.18,-1.55,0.12
