Month,VINEX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
2001-jan,7.82, 1.6905, 1.1505,,3.41,6.95,-5.64,0.54
2001-feb,7.45,-4.7315,-5.1215,,-10.32,-1.13,13.84,0.39
2001-mar,6.83,-8.3221,-8.7621,,-7.47,0.58,6.27,0.44
2001-apr,7.23, 5.8565, 5.4665,,8.0,0.32,-4.51,0.39
2001-may,7.07,-2.2130,-2.5330,,0.74,2.96,2.87,0.32
2001-jun,6.76,-4.3847,-4.6647,,-2.03,6.41,-2.12,0.28
2001-jul,6.45,-4.5858,-4.8858,,-2.13,-4.2,5.6,0.3
2001-aug,6.32,-2.0155,-2.3255,,-6.22,2.17,3.31,0.31
2001-sep,5.39,-14.7152,-14.9952,,-9.43,-6.53,1.62,0.28
2001-oct,5.56, 3.1540, 2.9340,,2.58,6.86,-7.0,0.22
2001-nov,5.89, 5.9353, 5.7653,,7.7,0.4,0.83,0.17
2001-dec,5.96, 1.1885, 1.0385,,1.63,5.12,0.39,0.15
2002-jan,5.87,-1.5101,-1.6501,,-1.74,1.13,3.47,0.14
2002-feb,5.82,-0.8518,-0.9818,,-2.3,-1.67,3.93,0.13
2002-mar,6.2, 6.5292, 6.3992,,4.34,4.35,1.12,0.13
2002-apr,6.38, 2.9032, 2.7532,,-5.12,5.83,4.2,0.15
2002-may,6.46, 1.2539, 1.1139,,-1.19,-3.71,2.47,0.14
2002-jun,6.17,-4.4892,-4.6192,,-7.16,3.52,1.47,0.13
2002-jul,5.61,-9.0762,-9.2262,,-8.26,-5.18,-3.66,0.15
2002-aug,5.53,-1.4260,-1.5660,,0.66,-2.19,2.18,0.14
2002-sep,4.94,-10.6691,-10.8091,,-10.14,2.71,1.15,0.14
2002-oct,5.04, 2.0243, 1.8843,,7.35,-3.0,-6.51,0.14
2002-nov,5.17, 2.5794, 2.4594,,6.01,3.18,-1.55,0.12
2002-dec,5.06,-2.1277,-2.2377,,-5.44,-0.52,3.88,0.11
2003-jan,5.01,-0.9881,-1.0881,,-2.44,1.39,-0.89,0.1
2003-feb,4.91,-1.9960,-2.0860,,-1.63,-0.29,-1.46,0.09
2003-mar,4.84,-1.4257,-1.5257,,0.93,0.83,-1.71,0.1
2003-apr,5.35,10.5372,10.4372,,8.18,1.12,-0.03,0.1
2003-may,5.95,11.2150,11.1250,,6.26,4.71,0.17,0.09
2003-jun,6.18, 3.8655, 3.7655,,1.53,1.47,0.63,0.1
2003-jul,6.47, 4.6926, 4.6226,,2.24,5.6,-2.07,0.07
2003-aug,6.74, 4.1731, 4.1031,,2.43,2.66,1.78,0.07
2003-sep,7.1, 5.3412, 5.2612,,-0.99,0.58,0.94,0.08
2003-oct,7.47, 5.2113, 5.1413,,5.96,2.91,1.81,0.07
2003-nov,7.63, 2.1419, 2.0719,,1.59,2.23,1.39,0.07
2003-dec,8.1, 6.1599, 6.0799,,4.47,-2.81,2.68,0.08
2004-jan,8.45, 4.3210, 4.2510,,2.23,2.63,1.63,0.07
2004-feb,8.74, 3.4320, 3.3720,,1.49,-1.19,0.36,0.06
