Month,VISVX adjusted close,Return,Risk adjusted return,,Mkt-RF,SmB,HmL,RF
1998-jun,6.72, 0.0000,-0.4100,,2.79,-3.27,-1.84,0.41
1998-jul,6.11,-9.0774,-9.4774,,-2.73,-4.89,-1.15,0.4
1998-aug,5.01,-18.0033,-18.4333,,-16.2,-5.7,5.15,0.43
1998-sep,5.29, 5.5888, 5.1288,,5.92,-0.18,-3.92,0.46
1998-oct,5.52, 4.3478, 4.0278,,7.12,-3.24,-2.68,0.32
1998-nov,5.76, 4.3478, 4.0378,,5.89,1.12,-3.31,0.31
1998-dec,6.01, 4.3403, 3.9603,,5.93,-0.29,-4.84,0.38
1999-jan,5.94,-1.1647,-1.5147,,3.48,0.69,-5.47,0.35
1999-feb,5.46,-8.0808,-8.4308,,-4.16,-5.75,1.74,0.35
1999-mar,5.44,-0.3663,-0.7963,,3.36,-3.87,-2.91,0.43
1999-apr,5.91, 8.6397, 8.2697,,4.53,3.29,2.48,0.37
1999-may,6.15, 4.0609, 3.7209,,-2.41,3.69,2.66,0.34
1999-jun,6.53, 6.1789, 5.7789,,4.7,3.35,-4.21,0.4
1999-jul,6.43,-1.5314,-1.9114,,-3.44,2.2,0.53,0.38
1999-aug,6.16,-4.1991,-4.5891,,-1.39,-1.24,-0.97,0.39
1999-sep,6.05,-1.7857,-2.1757,,-2.68,3.27,-3.12,0.39
1999-oct,5.9,-2.4793,-2.8693,,5.81,-6.72,-3.32,0.39
1999-nov,6.04, 2.3729, 2.0129,,3.32,7.69,-7.92,0.36
1999-dec,6.21, 2.8146, 2.3746,,7.93,6.89,-9.13,0.44
2000-jan,5.89,-5.1530,-5.5630,,-4.37,4.45,0.29,0.41
2000-feb,6.16, 4.5840, 4.1540,,2.75,22.19,-12.78,0.43
2000-mar,6.39, 3.7338, 3.2638,,4.88,-16.67,7.91,0.47
2000-apr,6.45, 0.9390, 0.4790,,-6.41,-7.68,9.3,0.46
2000-may,6.35,-1.5504,-2.0504,,-4.4,-4.79,3.79,0.5
2000-jun,6.53, 2.8346, 2.4346,,4.76,13.81,-9.95,0.4
2000-jul,6.66, 1.9908, 1.5108,,-2.19,-2.77,8.38,0.48
2000-aug,7.05, 5.8559, 5.3559,,7.08,-0.87,-1.32,0.5
2000-sep,7.04,-0.1418,-0.6518,,-5.62,-1.81,6.86,0.51
2000-oct,7.07, 0.4261,-0.1339,,-3.02,-3.75,4.93,0.56
2000-nov,6.62,-6.3649,-6.8749,,-10.76,-3.15,12.49,0.51
2000-dec,7.58,14.5015,14.0015,,1.53,1.53,6.21,0.5
2001-jan,8.18, 7.9156, 7.3756,,3.41,6.95,-5.64,0.54
2001-feb,7.84,-4.1565,-4.5465,,-10.32,-1.13,13.84,0.39
2001-mar,7.53,-3.9541,-4.3941,,-7.47,0.58,6.27,0.44
2001-apr,7.98, 5.9761, 5.5861,,8.0,0.32,-4.51,0.39
2001-may,8.18, 2.5063, 2.1863,,0.74,2.96,2.87,0.32
2001-jun,8.51, 4.0342, 3.7542,,-2.03,6.41,-2.12,0.28
2001-jul,8.42,-1.0576,-1.3576,,-2.13,-4.2,5.6,0.3
2001-aug,8.29,-1.5439,-1.8539,,-6.22,2.17,3.31,0.31
2001-sep,7.11,-14.2340,-14.5140,,-9.43,-6.53,1.62,0.28
2001-oct,7.43, 4.5007, 4.2807,,2.58,6.86,-7.0,0.22
2001-nov,8.04, 8.2100, 8.0400,,7.7,0.4,0.83,0.17
2001-dec,8.63, 7.3383, 7.1883,,1.63,5.12,0.39,0.15
2002-jan,8.78, 1.7381, 1.5981,,-1.74,1.13,3.47,0.14
2002-feb,8.76,-0.2278,-0.3578,,-2.3,-1.67,3.93,0.13
2002-mar,9.52, 8.6758, 8.5458,,4.34,4.35,1.12,0.13
