Date,Open,High,Low,Close,Volume,Adj Close
1999-08-31,5.13,5.13,5.13,5.13,000,4.94
1999-09-30,5.15,5.15,5.15,5.15,000,4.96
1999-10-29,5.27,5.27,5.27,5.27,000,5.08
1999-11-30,6.10,6.10,6.10,6.10,000,5.88
1999-12-31,6.43,6.43,6.43,6.43,000,6.19
2000-01-31,6.46,6.46,6.46,6.46,000,6.22
2000-02-29,6.80,6.80,6.80,6.80,000,6.55
2000-03-31,7.07,7.07,7.07,7.07,000,6.81
2000-04-28,6.46,6.46,6.46,6.46,000,6.22
2000-05-31,6.21,6.21,6.21,6.21,000,5.98
2000-06-30,6.64,6.64,6.64,6.64,000,6.40
2000-07-31,6.51,6.51,6.51,6.51,000,6.27
2000-08-31,7.13,7.13,7.13,7.13,000,6.87
2000-09-29,7.22,7.22,7.22,7.22,000,6.95
2000-10-31,6.78,6.78,6.78,6.78,000,6.53
2000-11-30,6.44,6.44,6.44,6.44,000,6.20
2000-12-29,6.43,6.43,6.43,6.43,000,6.23
2001-01-31,7.31,7.31,7.31,7.31,000,7.09
2001-02-28,6.88,6.88,6.88,6.88,000,6.67
2001-03-30,6.57,6.57,6.57,6.57,000,6.37
2001-04-30,6.83,6.83,6.83,6.83,000,6.62
2001-05-31,7.23,7.23,7.23,7.23,000,7.01
2001-06-29,7.22,7.22,7.22,7.22,000,7.00
2001-07-31,7.35,7.35,7.35,7.35,000,7.13
2001-08-31,7.13,7.13,7.13,7.13,000,6.91
2001-09-28,6.76,6.76,6.76,6.76,000,6.55
2001-10-31,7.21,7.21,7.21,7.21,000,6.99
2001-11-30,7.50,7.50,7.50,7.50,000,7.27
2001-12-31,7.96,7.96,7.96,7.96,000,7.73
2002-01-31,8.31,8.31,8.31,8.31,000,8.07
2002-02-28,7.94,7.94,7.94,7.94,000,7.71
2002-03-28,8.83,8.83,8.83,8.83,000,8.57
2002-04-30,8.99,8.99,8.99,8.99,000,8.73
2002-05-31,9.02,9.02,9.02,9.02,000,8.76
2002-06-28,8.70,8.70,8.70,8.70,000,8.45
2002-07-31,7.82,7.82,7.82,7.82,000,7.59
2002-08-30,7.87,7.87,7.87,7.87,000,7.64
2002-09-30,7.43,7.43,7.43,7.43,000,7.22
2002-10-31,7.76,7.76,7.76,7.76,000,7.54
2002-11-29,8.34,8.34,8.34,8.34,000,8.10
2002-12-31,8.35,8.35,8.35,8.35,000,8.11
2003-01-31,8.45,8.45,8.45,8.45,000,8.21
2003-02-28,8.24,8.24,8.24,8.24,000,8.00
2003-03-31,8.39,8.39,8.39,8.39,000,8.15
2003-04-30,9.21,9.21,9.21,9.21,000,8.94
2003-05-30,10.47,10.47,10.47,10.47,000,10.17
2003-06-30,10.98,10.98,10.98,10.98,000,10.66
2003-07-31,11.95,11.95,11.95,11.95,000,11.60
2003-08-29,12.49,12.49,12.49,12.49,000,12.13
2003-09-30,12.73,12.73,12.73,12.73,000,12.36
2003-10-31,13.91,13.91,13.91,13.91,000,13.51
2003-11-28,14.50,14.50,14.50,14.50,000,14.08
2003-12-31,14.94,14.94,14.94,14.94,000,14.55
2004-01-30,15.91,15.91,15.91,15.91,000,15.49
2004-02-27,16.10,16.10,16.10,16.10,000,15.68
2004-03-31,16.29,16.29,16.29,16.29,000,15.86
2004-04-30,15.54,15.54,15.54,15.54,000,15.13
2004-05-28,15.69,15.69,15.69,15.69,000,15.28
2004-06-30,16.14,16.14,16.14,16.14,000,15.72
2004-07-30,14.96,14.96,14.96,14.96,000,14.57
2004-08-31,14.62,14.62,14.62,14.62,000,14.24
2004-09-30,15.48,15.48,15.48,15.48,000,15.08
2004-10-29,15.81,15.81,15.81,15.81,000,15.40
2004-11-30,17.08,17.08,17.08,17.08,000,16.63
2004-12-31,17.77,17.77,17.77,17.77,000,17.33
2005-01-31,16.88,16.88,16.88,16.88,000,16.46
2005-02-28,16.94,16.94,16.94,16.94,000,16.52
2005-03-31,16.20,16.20,16.20,16.20,000,15.80
2005-04-29,15.27,15.27,15.27,15.27,000,14.89
2005-05-31,16.23,16.23,16.23,16.23,000,15.83
2005-06-30,16.96,16.96,16.96,16.96,000,16.54
2005-07-29,18.22,18.22,18.22,18.22,000,17.77
2005-08-31,17.83,17.83,17.83,17.83,000,17.39
2005-09-30,17.97,17.97,17.97,17.97,000,17.53
2005-10-31,17.66,17.66,17.66,17.66,000,17.23
2005-11-30,18.43,18.43,18.43,18.43,000,17.98
2005-12-30,17.94,17.94,17.94,17.94,000,17.53
2006-01-31,19.49,19.49,19.49,19.49,000,19.04
2006-02-28,19.39,19.39,19.39,19.39,000,18.94
2006-03-31,20.25,20.25,20.25,20.25,000,19.78
2006-04-28,20.34,20.34,20.34,20.34,000,19.87
2006-05-31,19.24,19.24,19.24,19.24,000,18.80
2006-06-30,18.93,18.93,18.93,18.93,000,18.49
2006-07-31,18.20,18.20,18.20,18.20,000,17.78
2006-08-31,18.54,18.54,18.54,18.54,000,18.11
2006-09-29,18.55,18.55,18.55,18.55,000,18.12
2006-10-31,19.39,19.39,19.39,19.39,000,18.94
2006-11-30,19.75,19.75,19.75,19.75,000,19.29
2006-12-29,19.54,19.54,19.54,19.54,000,19.54
2007-01-31,19.74,19.74,19.74,19.74,000,19.74
2007-02-28,19.61,19.61,19.61,19.61,000,19.61
2007-03-30,19.69,19.69,19.69,19.69,000,19.69
2007-04-30,20.07,20.07,20.07,20.07,000,20.07
2007-05-31,20.48,20.48,20.48,20.48,000,20.48
2007-06-29,20.36,20.36,20.36,20.36,000,20.36
2007-07-31,19.22,19.22,19.22,19.22,000,19.22
2007-08-31,19.28,19.28,19.28,19.28,000,19.28
2007-09-28,19.83,19.83,19.83,19.83,000,19.83
2007-10-31,20.13,20.13,20.13,20.13,000,20.13
2007-11-30,18.41,18.41,18.41,18.41,000,18.41
2007-12-04,18.11,18.11,18.11,18.11,000,18.11
