Date,Open,High,Low,Close,Volume,Adj Close
1998-01-30,25.91,25.91,25.91,25.91,000,22.74
1998-02-27,27.77,27.77,27.77,27.77,000,24.37
1998-03-31,29.20,29.20,29.20,29.20,000,25.62
1998-04-30,29.24,29.24,29.24,29.24,000,25.87
1998-05-29,28.45,28.45,28.45,28.45,000,25.17
1998-06-30,29.47,29.47,29.47,29.47,000,26.07
1998-07-31,28.81,28.81,28.81,28.81,000,25.49
1998-08-31,24.29,24.29,24.29,24.29,000,21.49
1998-09-30,25.93,25.93,25.93,25.93,000,22.94
1998-10-30,27.92,27.92,27.92,27.92,000,24.70
1998-11-30,29.68,29.68,29.68,29.68,000,26.26
1998-12-31,31.35,31.35,31.35,31.35,000,27.99
1999-01-29,32.47,32.47,32.47,32.47,000,28.99
1999-02-26,31.30,31.30,31.30,31.30,000,27.94
1999-03-31,32.59,32.59,32.59,32.59,000,29.09
1999-04-30,34.04,34.04,34.04,34.04,000,30.48
1999-05-28,33.30,33.30,33.30,33.30,000,29.82
1999-06-30,35.02,35.02,35.02,35.02,000,31.36
1999-07-30,33.86,33.86,33.86,33.86,000,30.32
1999-08-31,33.51,33.51,33.51,33.51,000,30.01
1999-09-30,32.67,32.67,32.67,32.67,000,29.25
1999-10-29,34.74,34.74,34.74,34.74,000,31.11
1999-11-30,35.89,35.89,35.89,35.89,000,32.14
1999-12-31,38.13,38.13,38.13,38.13,000,34.50
2000-01-31,36.56,36.56,36.56,36.56,000,33.08
2000-02-29,37.41,37.41,37.41,37.41,000,33.85
2000-03-31,39.60,39.60,39.60,39.60,000,35.83
2000-04-28,37.28,37.28,37.28,37.28,000,33.92
2000-05-31,36.01,36.01,36.01,36.01,000,32.76
2000-06-30,37.61,37.61,37.61,37.61,000,34.22
2000-07-31,36.81,36.81,36.81,36.81,000,33.49
2000-08-31,39.48,39.48,39.48,39.48,000,35.92
2000-09-29,37.64,37.64,37.64,37.64,000,34.25
2000-10-31,36.83,36.83,36.83,36.83,000,33.51
2000-11-30,33.14,33.14,33.14,33.14,000,30.15
2000-12-29,33.50,33.50,33.50,33.50,000,30.73
2001-01-31,34.78,34.78,34.78,34.78,000,31.90
2001-02-28,31.52,31.52,31.52,31.52,000,28.91
2001-03-30,29.38,29.38,29.38,29.38,000,26.95
2001-04-30,31.74,31.74,31.74,31.74,000,29.17
2001-05-31,32.06,32.06,32.06,32.06,000,29.47
2001-06-29,31.56,31.56,31.56,31.56,000,29.01
2001-07-31,30.99,30.99,30.99,30.99,000,28.48
2001-08-31,29.12,29.12,29.12,29.12,000,26.77
2001-09-28,26.51,26.51,26.51,26.51,000,24.37
2001-10-31,27.18,27.18,27.18,27.18,000,24.98
2001-11-30,29.26,29.26,29.26,29.26,000,26.89
2001-12-31,29.56,29.56,29.56,29.56,000,27.41
2002-01-31,29.18,29.18,29.18,29.18,000,27.06
2002-02-28,28.57,28.57,28.57,28.57,000,26.49
2002-03-28,29.83,29.83,29.83,29.83,000,27.66
2002-04-30,28.34,28.34,28.34,28.34,000,26.33
2002-05-31,28.02,28.02,28.02,28.02,000,26.03
2002-06-28,26.03,26.03,26.03,26.03,000,24.21
2002-07-31,23.92,23.92,23.92,23.92,000,22.29
2002-08-30,24.05,24.05,24.05,24.05,000,22.41
2002-09-30,21.64,21.64,21.64,21.64,000,20.16
2002-10-31,23.30,23.30,23.30,23.30,000,21.74
2002-11-29,24.76,24.76,24.76,24.76,000,23.10
2002-12-31,23.05,23.05,23.05,23.05,000,21.76
2003-01-31,22.46,22.46,22.46,22.46,000,21.20
2003-02-28,22.07,22.07,22.07,22.07,000,20.83
2003-03-31,22.31,22.31,22.31,22.31,000,21.06
2003-04-30,24.10,24.10,24.10,24.10,000,22.80
2003-05-30,25.56,25.56,25.56,25.56,000,24.18
2003-06-30,25.93,25.93,25.93,25.93,000,24.53
2003-07-31,26.55,26.55,26.55,26.55,000,25.12
2003-08-29,27.18,27.18,27.18,27.18,000,25.71
2003-09-30,26.87,26.87,26.87,26.87,000,25.42
2003-10-31,28.50,28.50,28.50,28.50,000,26.96
2003-11-28,28.90,28.90,28.90,28.90,000,27.34
2003-12-31,29.91,29.91,29.91,29.91,000,28.56
2004-01-30,30.56,30.56,30.56,30.56,000,29.21
2004-02-27,31.00,31.00,31.00,31.00,000,29.63
2004-03-31,30.67,30.67,30.67,30.67,000,29.32
2004-04-30,29.95,29.95,29.95,29.95,000,28.69
2004-05-28,30.36,30.36,30.36,30.36,000,29.08
2004-06-30,30.98,30.98,30.98,30.98,000,29.67
2004-07-30,29.80,29.80,29.80,29.80,000,28.54
2004-08-31,29.90,29.90,29.90,29.90,000,28.64
2004-09-30,30.23,30.23,30.23,30.23,000,28.96
2004-10-29,30.88,30.88,30.88,30.88,000,29.58
2004-11-30,32.32,32.32,32.32,32.32,000,30.96
2004-12-31,33.05,33.05,33.05,33.05,000,32.05
2005-01-31,32.18,32.18,32.18,32.18,000,31.21
2005-02-28,32.89,32.89,32.89,32.89,000,31.90
2005-03-31,32.32,32.32,32.32,32.32,000,31.34
2005-04-29,31.51,31.51,31.51,31.51,000,30.64
2005-05-31,32.71,32.71,32.71,32.71,000,31.81
2005-06-30,32.98,32.98,32.98,32.98,000,32.07
2005-07-29,34.34,34.34,34.34,34.34,000,33.40
2005-08-31,34.04,34.04,34.04,34.04,000,33.10
2005-09-30,34.32,34.32,34.32,34.32,000,33.38
2005-10-31,33.68,33.68,33.68,33.68,000,32.75
2005-11-30,35.03,35.03,35.03,35.03,000,34.07
2005-12-30,34.66,34.66,34.66,34.66,000,34.11
2006-01-31,35.90,35.90,35.90,35.90,000,35.33
2006-02-28,35.89,35.89,35.89,35.89,000,35.32
2006-03-31,36.55,36.55,36.55,36.55,000,35.97
2006-04-28,36.84,36.84,36.84,36.84,000,36.36
2006-05-31,35.65,35.65,35.65,35.65,000,35.19
2006-06-30,35.73,35.73,35.73,35.73,000,35.27
2006-07-31,35.69,35.69,35.69,35.69,000,35.23
2006-08-31,36.51,36.51,36.51,36.51,000,36.04
2006-09-29,37.31,37.31,37.31,37.31,000,36.83
2006-10-31,38.66,38.66,38.66,38.66,000,38.16
2006-11-30,39.53,39.53,39.53,39.53,000,39.02
2006-12-29,39.58,39.58,39.58,39.58,000,39.47
2007-01-31,40.32,40.32,40.32,40.32,000,40.21
2007-02-28,39.68,39.68,39.68,39.68,000,39.57
2007-03-30,40.13,40.13,40.13,40.13,000,40.02
2007-04-30,41.62,41.62,41.62,41.62,000,41.62
2007-05-31,43.14,43.14,43.14,43.14,000,43.14
2007-06-29,42.45,42.45,42.45,42.45,000,42.45
2007-07-31,40.99,40.99,40.99,40.99,000,40.99
2007-08-17,40.70,40.70,40.70,40.70,000,40.70
