Date,Open,High,Low,Close,Volume,Adj Close
2000-05-31,98.75,99.87,98.75,99.50,7200,31.44
2000-06-30,105.47,105.66,104.91,105.31,230400,33.28
2000-07-31,100.69,102.34,100.06,102.34,14700,32.34
2000-08-31,111.25,112.14,111.25,111.87,110100,35.35
2000-09-29,109.00,109.45,108.64,108.64,29100,34.36
2000-10-31,105.12,109.22,105.12,109.22,147600,34.54
2000-11-30,98.81,99.56,97.31,98.25,133500,31.07
2000-12-29,111.09,111.66,108.09,108.09,525000,34.57
2001-01-31,114.03,114.91,113.23,113.23,762000,36.22
2001-02-28,108.30,108.30,106.30,106.50,663300,34.07
2001-03-30,99.98,101.50,99.64,101.50,377700,32.50
2001-04-30,109.73,110.47,109.17,109.47,116700,35.06
2001-05-31,111.40,112.69,111.25,111.70,159300,35.77
2001-06-29,112.75,114.73,112.72,114.01,333600,36.54
2001-07-31,113.38,114.42,112.82,113.25,291900,36.30
2001-08-31,110.70,111.50,110.68,111.21,79200,35.65
2001-09-28,94.00,95.85,94.00,95.50,489900,30.61
2001-10-31,100.24,101.30,99.81,100.76,134400,32.37
2001-11-30,107.80,108.22,107.31,107.40,408900,34.50
2001-12-31,116.16,116.39,114.40,114.40,637200,36.80
2002-01-31,115.05,116.15,114.34,116.15,249900,37.36
2002-02-28,114.62,114.90,113.25,113.75,315900,36.59
2002-03-28,123.40,124.10,122.49,122.49,451200,39.44
2002-04-30,124.20,126.39,124.20,126.39,2192400,40.69
2002-05-31,121.40,122.40,120.90,121.00,312000,38.96
2002-06-28,114.52,115.49,114.50,114.50,1573800,36.91
2002-07-31,100.10,100.64,98.50,98.50,953100,31.75
2002-08-30,99.40,100.84,99.07,99.08,156900,31.94
2002-09-30,91.75,93.81,90.55,93.14,1995600,30.08
2002-10-31,96.46,97.08,95.60,95.85,423600,30.95
2002-11-29,102.57,102.92,101.00,101.01,135300,32.62
2002-12-31,97.50,98.74,96.63,97.45,2653500,31.53
2003-01-31,92.84,94.47,92.50,94.47,204000,30.57
2003-02-28,91.32,91.83,90.94,91.17,96900,29.50
2003-03-31,91.70,92.41,90.66,91.48,2106300,29.65
2003-04-30,98.40,99.47,98.00,99.32,279900,32.19
2003-05-30,106.00,107.16,105.73,106.93,277500,34.66
2003-06-30,110.65,110.78,109.32,109.65,2623200,35.61
2003-07-31,115.40,116.04,114.86,115.11,559500,37.38
2003-08-29,120.59,121.69,120.36,120.86,382200,39.25
2003-09-30,117.20,118.33,115.68,117.38,1201500,38.19
2003-10-31,127.60,128.30,127.12,127.52,768000,41.48
2003-11-28,132.15,132.66,132.14,132.45,261900,43.09
2003-12-31,136.68,136.85,134.00,134.00,2787000,43.67
2004-01-30,137.67,138.70,137.06,137.97,718200,44.97
2004-02-27,139.90,141.23,139.90,140.49,1191900,45.79
2004-03-31,141.41,142.45,140.88,142.40,1175400,46.48
2004-04-30,138.95,139.31,136.86,136.86,1106400,44.67
2004-05-28,139.93,140.01,139.19,139.82,455700,45.64
2004-06-30,146.72,147.20,145.90,147.20,1153800,48.15
2004-07-30,138.14,139.26,137.91,139.09,265200,45.50
2004-08-31,137.00,137.97,136.27,137.70,712500,45.04
2004-09-30,143.90,145.35,143.90,144.24,456900,47.28
2004-10-29,147.02,147.96,146.50,147.23,436500,48.26
2004-11-30,159.87,160.81,159.80,160.15,5363700,52.49
2004-12-31,162.94,164.23,162.63,162.71,2022300,53.46
2005-01-31,157.72,159.60,157.40,159.06,1225200,52.26
2005-02-28,164.44,164.79,162.59,163.50,894300,53.72
2005-03-31,159.18,159.52,158.27,158.85,1279800,52.35
2005-04-29,150.00,151.40,147.57,150.01,2751000,49.44
2005-05-31,160.75,160.76,159.56,159.71,3558600,52.63
2005-06-30,55.18,55.50,54.83,55.02,1215600,54.50
2005-07-29,58.51,58.75,58.17,58.40,476000,57.85
2005-08-31,56.10,57.50,56.10,57.45,2561300,56.91
2005-09-30,57.73,57.91,57.41,57.76,1645400,57.32
2005-10-31,55.19,56.26,55.19,55.70,698200,55.27
2005-11-30,58.44,58.88,58.37,58.57,1453100,58.12
2005-12-30,57.85,58.06,57.64,57.80,787800,57.49
2006-01-31,62.27,62.88,62.20,62.54,4403700,62.20
2006-02-28,62.96,62.98,62.16,62.24,1093500,61.90
2006-03-31,65.20,65.23,64.69,65.23,601700,64.88
2006-04-28,64.50,65.63,64.50,65.30,1962700,64.95
2006-05-31,61.51,62.33,61.44,62.33,1106700,61.99
2006-06-30,62.05,62.10,61.22,62.10,2459600,61.87
2006-07-31,59.73,60.09,59.47,59.80,503100,59.58
2006-08-31,61.02,61.21,60.84,60.88,255300,60.66
2006-09-29,61.91,62.15,61.28,61.29,1463100,61.06
2006-10-31,64.91,64.92,64.00,64.44,414800,64.20
2006-11-30,66.00,66.48,65.61,66.13,1718900,65.89
2006-12-29,66.65,66.72,65.92,65.99,1962100,65.75
2007-01-31,66.92,67.60,66.52,67.31,2448300,67.06
2007-02-28,66.57,67.31,66.09,66.88,1200500,66.63
2007-03-30,68.03,68.34,67.50,67.91,838700,67.66
2007-04-30,70.87,70.87,69.30,69.49,650600,69.23
2007-05-31,72.49,72.87,72.33,72.53,562800,72.26
2007-06-29,71.70,72.15,70.99,71.10,1060300,71.10
2007-07-31,68.75,69.06,67.31,67.50,1818900,67.50
2007-08-17,68.65,69.77,67.05,68.07,1865400,68.07
