Date,Open,High,Low,Close,Volume,Adj Close
2000-05-31,95.12,96.37,95.12,95.16,36000,43.70
2000-06-30,102.44,103.36,101.59,103.36,1171800,47.46
2000-07-31,98.50,100.50,97.37,100.50,166400,46.15
2000-08-31,106.81,108.31,106.81,107.50,151200,49.36
2000-09-29,104.03,104.39,103.62,103.62,130400,47.74
2000-10-31,96.87,99.36,96.87,99.00,285000,45.61
2000-11-30,90.00,90.56,87.94,89.12,214600,41.06
2000-12-29,98.94,99.22,95.62,95.75,1803800,44.35
2001-01-31,102.45,103.05,100.90,100.90,922400,46.74
2001-02-28,95.80,95.80,93.85,94.15,316200,43.61
2001-03-30,88.45,89.85,87.90,89.60,231400,41.59
2001-04-30,97.65,98.10,96.51,97.00,1112800,45.02
2001-05-31,99.15,100.20,98.80,99.10,972000,46.00
2001-06-29,100.90,102.40,100.45,101.90,2283200,47.43
2001-07-31,96.59,97.67,96.12,96.23,652200,44.79
2001-08-31,93.40,94.14,93.26,93.89,995600,43.70
2001-09-28,79.60,80.78,79.28,80.20,2264800,37.33
2001-10-31,84.65,85.77,84.41,85.10,1531200,39.75
2001-11-30,92.40,92.57,91.40,91.60,740200,42.79
2001-12-31,98.25,98.40,96.35,96.35,2346600,45.14
2002-01-31,95.60,96.20,95.01,96.20,2674000,45.07
2002-02-28,94.30,94.48,92.96,93.20,1466200,43.67
2002-03-28,100.90,101.43,100.10,100.10,1783000,46.95
2002-04-30,99.80,101.66,99.62,101.30,1444200,47.52
2002-05-31,97.55,98.24,96.50,96.50,6645800,45.26
2002-06-28,91.46,92.65,90.65,90.65,3006800,42.63
2002-07-31,79.79,79.90,78.35,78.55,1834800,36.94
2002-08-30,78.35,79.18,77.75,78.05,1380800,36.71
2002-09-30,71.30,72.58,70.48,71.55,3999800,33.76
2002-10-31,75.05,75.37,74.33,74.50,5474000,35.15
2002-11-29,81.85,82.23,80.80,80.81,958000,38.13
2002-12-31,76.14,77.15,75.60,75.81,5448200,35.95
2003-01-31,72.85,74.24,72.65,74.24,5831000,35.20
2003-02-28,72.09,72.54,71.67,72.01,1443000,34.14
2003-03-31,72.65,73.31,71.95,72.00,1859000,34.22
2003-04-30,78.85,79.90,78.60,79.40,2213600,37.73
2003-05-30,87.15,88.15,86.87,88.03,6961800,41.83
2003-06-30,89.69,90.31,88.10,88.90,8802400,42.32
2003-07-31,95.00,95.74,94.47,94.68,5324600,45.07
2003-08-29,98.89,99.85,98.67,99.21,3550000,47.23
2003-09-30,97.88,98.30,96.15,97.05,14310400,46.31
2003-10-31,106.27,106.56,104.06,105.50,4893400,50.34
2003-11-28,108.67,109.46,108.64,109.45,1156400,52.22
2003-12-31,112.65,112.99,110.68,110.80,12725800,53.16
2004-01-30,115.61,116.38,114.75,115.60,8807200,55.47
2004-02-27,116.37,117.10,115.95,116.70,9046400,56.00
2004-03-31,117.35,117.80,116.31,117.60,13493800,56.53
2004-04-30,113.60,113.80,111.11,111.11,18905200,53.41
2004-05-28,113.27,113.70,112.78,113.50,6848400,54.56
2004-06-30,117.44,117.99,117.04,117.99,10870600,56.87
2004-07-30,109.20,110.17,109.00,110.00,12301000,53.02
2004-08-31,108.80,109.50,107.88,108.34,24903400,52.22
