Date,Open,High,Low,Close,Volume,Adj Close
2000-05-31,77.69,78.27,77.69,78.27,700,70.81
2000-06-30,79.53,79.53,78.97,78.97,800,71.45
2000-07-31,78.09,78.37,77.62,78.37,5900,70.90
2000-08-31,83.53,84.23,83.53,84.17,2500,76.15
2000-09-29,80.97,80.97,80.36,80.67,14200,73.12
2000-10-31,77.50,78.91,77.50,78.86,10300,71.48
2000-11-30,71.69,72.39,70.81,71.64,96400,64.93
2000-12-29,73.69,73.81,72.45,72.45,115200,65.80
2001-01-31,75.80,76.00,75.30,75.59,12600,68.65
2001-02-28,69.59,69.59,67.85,68.06,487100,61.81
2001-03-30,63.19,63.85,63.02,63.36,6900,57.66
2001-04-30,69.21,69.88,68.60,68.84,596500,62.64
2001-05-31,68.93,69.68,68.87,69.48,12900,63.23
2001-06-29,67.76,68.53,67.65,68.16,93900,62.15
2001-07-31,66.65,67.23,66.65,66.96,6600,61.05
2001-08-31,62.60,63.20,62.45,62.86,98600,57.32
2001-09-28,56.60,57.30,56.40,57.30,1038900,52.25
2001-10-31,58.67,59.10,58.42,58.42,8700,53.43
2001-11-30,62.92,63.01,62.58,62.71,3101500,57.36
2001-12-31,64.12,64.19,63.50,63.50,261900,58.25
2002-01-31,62.05,62.49,61.89,62.49,29700,57.32
2002-02-28,61.65,62.01,61.39,61.41,96000,56.33
2002-03-28,63.83,64.25,63.70,63.70,565600,58.56
2002-04-30,59.92,60.76,59.77,60.52,158900,55.64
2002-05-31,60.00,60.46,59.81,59.81,1976400,54.99
2002-06-28,55.35,55.90,55.12,55.12,359400,50.85
2002-07-31,50.55,51.00,49.78,50.68,5690000,46.76
2002-08-30,51.07,51.82,50.97,51.15,33100,47.19
2002-09-30,45.25,45.97,44.69,45.31,163200,42.07
2002-10-31,49.70,49.76,48.76,49.04,17936700,45.53
2002-11-29,52.48,52.48,51.99,51.99,87500,48.27
2002-12-31,48.95,49.16,48.40,48.96,402700,45.64
2003-01-31,46.80,47.83,46.80,47.75,101500,44.51
2003-02-28,46.81,47.25,46.80,47.00,237600,43.81
2003-03-31,47.35,47.75,46.90,47.30,563400,44.26
2003-04-30,50.98,51.36,50.79,51.09,293400,47.81
2003-05-30,53.58,54.27,53.58,54.25,219300,50.76
2003-06-30,55.18,55.24,54.51,54.59,733600,51.29
2003-07-31,56.21,56.67,55.91,55.91,741800,52.53
2003-08-29,56.73,57.19,56.70,57.04,471700,53.59
2003-09-30,56.71,56.74,56.01,56.35,112000,53.13
2003-10-31,59.80,59.87,59.59,59.63,713600,56.22
2003-11-28,60.48,60.67,60.48,60.60,415300,57.13
2003-12-31,63.06,63.19,62.78,62.96,171100,59.85
2004-01-30,64.16,64.38,64.11,64.19,5148600,61.02
2004-02-27,65.24,65.52,65.00,65.19,113400,61.97
2004-03-31,64.20,64.39,63.80,64.17,132700,61.21
2004-04-30,63.33,63.51,62.80,62.80,336400,59.90
2004-05-28,63.75,63.80,63.56,63.74,85900,60.80
2004-06-30,64.55,64.94,64.37,64.76,113900,61.96
2004-07-30,62.19,62.42,62.07,62.40,1494400,59.71
2004-08-31,62.33,62.56,62.02,62.53,3066900,59.83
2004-09-30,63.16,63.44,62.99,63.20,153000,60.71
2004-10-29,64.20,64.46,64.01,64.24,545100,61.71
2004-11-30,67.35,67.51,67.21,67.30,142300,64.64
2004-12-31,69.37,69.53,69.15,69.15,543700,66.85
2005-01-31,67.30,67.41,67.12,67.27,201100,65.03
2005-02-28,69.19,69.19,68.54,68.85,52800,66.56
2005-03-31,67.33,67.42,67.11,67.30,73400,65.46
2005-04-29,65.37,65.81,64.80,65.78,176500,63.98
2005-05-31,68.59,68.83,68.24,68.36,213600,66.49
2005-06-30,69.14,69.23,68.48,68.48,189600,66.80
2005-07-29,71.84,71.95,71.32,71.32,171900,69.57
2005-08-31,69.87,70.74,69.82,70.74,154800,69.00
2005-09-30,70.60,71.09,70.60,71.09,427300,69.65
2005-10-31,69.25,69.89,69.25,69.51,116100,68.11
2005-11-30,72.82,72.87,72.30,72.40,192000,70.94
2005-12-30,72.17,72.23,71.90,72.02,172400,70.91
2006-01-31,74.39,74.67,74.23,74.23,170600,73.09
2006-02-28,75.12,75.57,74.38,74.52,396000,73.38
2006-03-31,75.93,75.93,75.48,75.69,124100,74.76
2006-04-28,76.13,76.67,76.13,76.51,734700,75.57
2006-05-31,73.45,74.01,73.36,74.01,102200,73.10
2006-06-30,74.04,74.04,73.61,73.71,1311600,73.08
2006-07-31,73.50,73.83,73.48,73.74,484600,73.11
2006-08-31,75.46,75.62,75.38,75.52,42200,74.88
2006-09-29,76.92,77.15,76.82,76.89,4131200,76.56
2006-10-31,79.78,79.83,79.25,79.59,194500,79.24
2006-11-30,81.30,81.61,80.86,81.28,301400,80.93
2006-12-29,82.17,82.47,81.85,82.04,703900,81.68
2007-01-31,82.90,83.67,82.70,83.54,751100,83.18
2007-02-28,81.77,82.59,81.47,82.15,1561900,81.79
2007-03-30,82.71,83.12,82.00,82.64,243900,82.28
2007-04-30,86.77,86.85,85.88,85.91,989500,85.54
2007-05-31,89.12,89.30,88.85,89.08,1169600,88.69
2007-06-29,87.44,87.84,86.51,87.03,248200,86.65
2007-07-31,85.66,86.02,83.65,84.18,604900,83.81
2007-08-31,85.10,85.85,84.69,85.15,543900,84.78
2007-09-28,88.28,88.42,87.72,87.99,280600,87.99
2007-10-31,89.06,89.77,88.26,89.58,409400,89.58
2007-11-28,82.98,85.01,82.98,84.88,243500,84.88
