Date,Open,High,Low,Close,Volume,Adj Close
2006-05-31,30.16,30.16,30.16,30.16,000,29.43
2006-06-30,30.78,30.83,30.78,30.83,1400,30.09
2006-07-31,30.60,30.66,30.60,30.64,4700,29.90
2006-08-31,31.10,31.21,31.10,31.20,2600,30.45
2006-09-29,31.55,31.55,31.44,31.48,3900,30.99
2006-10-31,32.70,32.70,32.60,32.69,4800,32.18
2006-11-30,33.31,33.50,33.27,33.50,1800,32.98
2006-12-29,33.98,33.98,33.81,33.81,1900,33.48
2007-01-31,34.29,34.58,34.29,34.57,1400,34.23
2007-02-28,34.53,34.84,34.53,34.74,16600,34.40
2007-03-30,35.08,35.10,34.89,34.93,1900,34.76
2007-04-30,36.56,36.56,36.18,36.18,8000,36.00
2007-05-31,37.33,37.33,37.10,37.19,20400,37.01
2007-06-29,36.65,36.65,36.22,36.35,2600,36.35
2007-07-31,35.00,35.00,34.22,34.22,22400,34.22
2007-08-17,33.87,33.96,33.12,33.63,12900,33.63
