Date,Open,High,Low,Close,Volume,Adj Close
2007-06-27,42.59,43.46,42.59,43.46,29200,43.46
2007-06-26,43.34,43.34,42.99,43.08,2100,43.08
2007-06-25,43.49,43.75,43.21,43.26,12300,43.26
2007-06-22,43.95,43.95,43.65,43.65,1900,43.65
2007-06-21,43.88,44.03,43.81,43.92,800,43.92
2007-06-20,44.66,44.66,43.98,43.98,5500,43.98
2007-06-19,44.25,44.25,44.25,44.25,300,44.25
2007-06-18,44.49,44.49,44.18,44.30,13200,44.30
2007-06-15,44.53,44.53,44.42,44.46,400,44.46
2007-06-14,44.06,44.06,43.99,44.04,900,43.90
2007-06-13,43.30,43.72,43.23,43.63,7000,43.49
2007-06-12,43.41,43.51,43.13,43.13,4000,42.99
2007-06-11,43.88,43.93,43.79,43.81,5000,43.67
2007-06-08,44.62,44.62,43.52,43.98,14000,43.84
2007-06-07,44.44,44.44,43.62,43.62,5700,43.48
2007-06-06,44.69,44.69,44.31,44.36,2200,44.21
2007-06-05,45.25,45.25,44.69,44.90,26600,44.75
2007-06-04,45.09,45.37,45.09,45.37,7300,45.22
2007-06-01,45.09,45.16,45.06,45.16,3800,45.01
2007-05-31,44.77,44.77,44.58,44.67,1800,44.52
2007-05-30,44.25,44.60,44.11,44.60,12900,44.45
2007-05-29,44.10,44.39,44.10,44.37,17200,44.22
2007-05-25,43.83,43.99,43.83,43.92,4100,43.78
2007-05-24,44.16,44.27,43.53,43.53,6000,43.39
2007-05-23,44.54,44.54,44.09,44.09,1300,43.94
2007-05-22,44.11,44.34,44.00,44.34,7600,44.19
2007-05-21,43.94,44.07,43.89,43.89,1500,43.75
2007-05-18,43.18,43.46,43.05,43.46,5200,43.32
2007-05-17,43.36,43.36,43.17,43.18,1700,43.04
2007-05-16,43.39,43.39,43.08,43.39,6100,43.25
2007-05-15,43.65,43.84,43.27,43.30,23400,43.16
2007-05-14,44.06,44.06,43.54,43.54,6300,43.40
2007-05-11,43.90,44.01,43.87,43.95,4600,43.81
2007-05-10,44.28,44.28,43.69,43.69,4500,43.55
2007-05-09,44.26,44.73,44.26,44.59,4200,44.44
2007-05-08,44.20,44.30,43.92,44.30,3200,44.15
2007-05-07,44.49,44.49,44.38,44.41,5600,44.26
2007-05-04,44.34,44.37,44.21,44.37,2600,44.22
2007-05-03,44.25,44.38,44.25,44.27,1600,44.12
2007-05-02,43.71,44.34,43.71,44.34,3300,44.19
2007-05-01,43.40,43.52,43.11,43.52,5600,43.38
2007-04-30,44.07,44.07,43.26,43.28,4400,43.14
2007-04-27,44.20,44.20,43.97,44.07,3800,43.92
2007-04-26,44.23,44.52,44.21,44.52,3700,44.37
2007-04-25,44.07,44.35,44.07,44.27,2000,44.12
2007-04-24,43.87,43.92,43.86,43.86,1400,43.72
2007-04-23,44.15,44.15,43.91,43.98,3100,43.84
2007-04-20,43.95,44.07,43.95,44.07,300,43.92
2007-04-19,43.45,43.69,43.45,43.53,3800,43.39
2007-04-18,43.87,43.87,43.76,43.76,3300,43.62
2007-04-17,43.97,44.06,43.69,43.86,13800,43.72
2007-04-16,43.73,44.14,43.73,44.05,4400,43.90
2007-04-13,43.16,43.36,43.10,43.36,3400,43.22
2007-04-12,42.85,43.20,42.85,43.20,9600,43.06
2007-04-11,43.13,43.13,42.76,42.92,11600,42.78
2007-04-10,43.15,43.37,43.05,43.05,25600,42.91
2007-04-09,43.15,43.17,43.09,43.13,1300,42.99
2007-04-05,42.90,43.18,42.90,43.18,2400,43.04
2007-04-04,43.05,43.05,43.02,43.04,5200,42.90
2007-04-03,43.05,43.31,43.05,43.22,2800,43.08
2007-04-02,42.69,42.82,42.56,42.82,75500,42.68
2007-03-30,42.78,42.78,42.29,42.47,10100,42.33
2007-03-29,42.73,42.73,42.27,42.57,2000,42.43
2007-03-28,42.52,42.56,42.38,42.39,1700,42.25
2007-03-27,42.64,42.71,42.57,42.70,13600,42.56
2007-03-26,43.14,43.14,42.80,42.91,3400,42.77
2007-03-23,42.96,43.11,42.88,43.10,6600,42.96
2007-03-22,41.85,43.02,41.85,42.99,1400,42.85
2007-03-21,42.30,42.92,42.25,42.73,2600,42.59
2007-03-20,41.97,42.23,41.95,42.23,4800,42.09
2007-03-19,41.95,42.10,41.94,41.94,3200,41.80
2007-03-16,41.75,41.83,41.45,41.58,18300,41.44
2007-03-15,41.53,41.95,41.53,41.89,15500,41.61
2007-03-14,41.26,41.51,41.15,41.51,3900,41.23
2007-03-13,41.89,41.98,41.17,41.17,8300,40.89
2007-03-12,42.20,42.20,42.01,42.16,1200,41.87
2007-03-09,42.23,42.27,41.96,42.17,5300,41.88
2007-03-08,42.26,42.38,42.12,42.12,6300,41.84
2007-03-07,42.00,42.17,41.90,41.96,5100,41.68
2007-03-06,41.49,41.97,41.45,41.97,7600,41.69
2007-03-05,41.24,41.45,41.00,41.00,4100,40.72
2007-03-02,42.47,42.47,42.10,42.12,5100,41.84
2007-03-01,41.92,42.83,41.92,42.70,24800,42.41
2007-02-28,42.59,43.11,42.17,43.07,8700,42.78
2007-02-27,43.44,43.51,42.55,42.55,9800,42.26
2007-02-26,44.20,44.25,43.91,44.06,6500,43.76
2007-02-23,44.17,44.21,44.13,44.21,1600,43.91
2007-02-22,44.20,44.32,44.02,44.25,4000,43.95
2007-02-21,43.97,44.16,43.97,44.16,6000,43.86
2007-02-20,43.61,44.19,43.61,44.12,3000,43.82
2007-02-16,43.37,43.73,43.37,43.73,4700,43.43
2007-02-15,43.55,43.73,43.40,43.61,7800,43.31
2007-02-14,43.55,43.76,43.40,43.48,13300,43.19
2007-02-13,43.34,43.51,43.34,43.50,1900,43.21
2007-02-12,43.27,43.27,43.07,43.18,3900,42.89
2007-02-09,43.64,43.72,43.16,43.16,1100,42.87
2007-02-08,43.80,43.80,43.60,43.73,3800,43.43
2007-02-07,43.72,43.94,43.72,43.92,4900,43.62
2007-02-06,43.66,43.79,43.52,43.79,3600,43.49
2007-02-05,43.70,43.70,43.53,43.53,1100,43.24
2007-02-02,43.56,43.81,43.56,43.78,11500,43.48
2007-02-01,43.38,43.49,43.30,43.48,2500,43.19
2007-01-31,42.67,43.12,42.67,43.12,3200,42.83
2007-01-30,42.60,42.80,42.60,42.80,1600,42.51
2007-01-29,42.64,42.64,42.55,42.60,3500,42.31
2007-01-26,41.87,42.29,41.87,42.29,2700,42.00
2007-01-25,42.54,42.54,42.12,42.13,2900,41.84
2007-01-24,42.09,42.46,42.09,42.46,3600,42.17
2007-01-23,41.80,42.08,41.80,41.98,2300,41.70
2007-01-22,42.26,42.26,41.64,41.66,3900,41.38
2007-01-19,41.83,41.83,41.83,41.83,100,41.55
2007-01-18,42.00,42.00,41.69,41.69,4600,41.41
2007-01-17,42.20,42.21,41.90,42.21,3000,41.92
2007-01-16,42.25,42.28,42.06,42.06,10600,41.78
2007-01-12,41.97,42.06,41.97,42.04,6600,41.76
2007-01-11,41.65,41.85,41.65,41.75,400,41.47
2007-01-10,41.17,41.28,41.17,41.22,4300,40.94
2007-01-09,41.27,41.27,40.84,41.25,1900,40.97
2007-01-08,41.00,41.26,40.87,41.26,11500,40.98
2007-01-05,41.95,41.95,41.26,41.26,2000,40.98
2007-01-04,41.84,41.97,41.84,41.97,2600,41.69
2007-01-03,42.00,42.50,41.71,42.23,17900,41.94
2006-12-29,42.24,42.24,41.97,42.00,1300,41.72
2006-12-28,42.29,42.39,42.29,42.39,1400,42.10
2006-12-27,42.25,42.35,42.21,42.35,1900,42.06
2006-12-26,41.82,41.98,41.82,41.98,700,41.58
2006-12-22,41.42,41.49,41.42,41.49,200,41.10
2006-12-21,41.81,41.81,41.42,41.43,1700,41.04
2006-12-20,41.72,41.72,41.53,41.58,800,41.18
2006-12-19,41.15,41.33,41.15,41.33,1600,40.94
2006-12-18,41.73,41.73,41.38,41.38,200,40.99
2006-12-15,41.99,41.99,41.96,41.96,1800,41.56
2006-12-14,42.16,42.16,42.12,42.12,300,41.72
2006-12-13,41.83,41.83,41.73,41.73,500,41.33
2006-12-12,41.85,41.85,41.82,41.82,300,41.42
2006-12-11,41.82,41.82,41.82,41.82,100,41.42
2006-12-08,41.74,41.74,41.74,41.74,200,41.34
2006-12-07,41.89,41.89,41.77,41.83,800,41.43
2006-12-06,41.71,41.94,41.71,41.94,600,41.54
2006-12-05,42.03,42.03,41.85,41.93,700,41.53
2006-12-04,41.12,41.87,41.12,41.80,1800,41.40
2006-12-01,41.15,41.15,40.77,40.77,700,40.38
2006-11-30,40.96,41.32,40.96,41.27,300,40.88
2006-11-29,40.75,40.96,40.75,40.96,300,40.57
2006-11-28,40.60,40.64,40.56,40.64,300,40.25
2006-11-27,41.46,41.46,40.52,40.52,6800,40.13
2006-11-24,41.56,41.56,41.56,41.56,100,41.16
2006-11-22,41.45,41.50,41.40,41.47,6200,41.08
2006-11-21,41.40,41.44,41.40,41.44,1200,41.05
2006-11-20,41.02,41.41,40.99,41.30,18800,40.91
2006-11-17,41.01,41.19,41.01,41.18,700,40.79
2006-11-16,41.55,41.55,41.29,41.37,2800,40.98
2006-11-15,41.12,41.40,41.12,41.40,2300,41.01
2006-11-14,40.38,41.01,40.38,41.01,3600,40.62
2006-11-13,39.97,40.33,39.97,40.33,300,39.95
2006-11-10,39.76,39.76,39.76,39.76,200,39.38
2006-11-09,39.97,39.97,39.70,39.70,1400,39.32
2006-11-08,39.93,40.15,39.88,40.10,1900,39.72
2006-11-07,39.71,40.01,39.67,39.67,4100,39.29
2006-11-06,39.43,39.65,39.42,39.65,3200,39.27
2006-11-03,39.28,39.28,39.00,39.22,1100,38.85
2006-11-02,39.23,39.23,39.17,39.17,500,38.80
2006-11-01,40.10,40.10,39.29,39.29,8900,38.92
2006-10-31,40.36,40.36,40.17,40.17,300,39.79
2006-10-30,40.34,40.34,40.34,40.34,100,39.96
2006-10-27,40.79,40.80,40.41,40.41,3300,40.03
2006-10-26,40.70,40.88,40.37,40.88,2100,40.49
2006-10-25,40.07,40.07,40.07,40.07,000,39.69
2006-10-24,40.00,40.07,39.94,40.07,1800,39.69
2006-10-23,39.95,40.12,39.95,40.00,11000,39.62
2006-10-20,39.92,40.01,39.92,40.01,2600,39.63
2006-10-19,39.85,39.85,39.85,39.85,000,39.47
2006-10-18,40.16,40.16,39.81,39.85,17100,39.47
2006-10-17,39.74,39.99,39.74,39.99,700,39.61
2006-10-16,39.87,40.11,39.87,40.10,2100,39.72
2006-10-13,39.60,39.87,39.60,39.87,1100,39.49
2006-10-12,39.01,39.26,39.01,39.26,500,38.89
2006-10-11,38.74,38.98,38.74,38.90,4100,38.53
2006-10-10,38.83,38.98,38.75,38.95,2400,38.58
2006-10-09,38.50,38.77,38.50,38.77,800,38.40
2006-10-06,38.32,38.32,38.32,38.32,000,37.96
2006-10-05,38.32,38.32,38.32,38.32,000,37.96
2006-10-04,38.02,38.32,38.02,38.32,500,37.96
2006-10-03,37.59,37.87,37.50,37.77,900,37.41
2006-10-02,37.76,37.76,37.76,37.76,600,37.40
2006-09-29,38.20,38.20,37.94,37.94,300,37.58
2006-09-28,38.31,38.31,38.31,38.31,200,37.95
2006-09-27,38.33,38.33,38.33,38.33,000,37.97
2006-09-26,38.19,38.44,38.16,38.33,1400,37.97
2006-09-25,38.09,38.21,37.97,38.21,600,37.85
2006-09-22,37.74,37.74,37.36,37.53,2400,37.17
2006-09-21,38.38,38.38,37.90,37.90,1800,37.54
2006-09-20,38.31,38.31,38.29,38.29,400,37.93
2006-09-19,37.85,37.85,37.31,37.82,1000,37.46
2006-09-18,38.06,38.06,37.90,37.97,1300,37.61
2006-09-15,37.95,38.07,37.95,38.07,400,37.71
2006-09-14,38.39,38.39,38.15,38.15,500,37.48
2006-09-13,38.16,38.28,38.16,38.26,600,37.58
2006-09-12,37.69,37.91,37.68,37.91,400,37.24
2006-09-11,37.31,37.31,37.31,37.31,000,36.65
2006-09-08,37.31,37.31,37.31,37.31,200,36.65
2006-09-07,37.66,37.66,37.32,37.32,1300,36.66
2006-09-06,38.20,38.20,37.71,37.71,5000,37.04
2006-09-05,38.10,38.31,38.10,38.31,2200,37.63
2006-09-01,37.85,38.03,37.85,38.03,4300,37.36
2006-08-31,37.81,37.81,37.81,37.81,000,37.14
2006-08-30,37.90,37.90,37.81,37.81,300,37.14
2006-08-29,37.30,37.73,37.25,37.67,1200,37.00
2006-08-28,37.04,37.28,37.04,37.28,1400,36.62
2006-08-25,36.67,36.92,36.67,36.92,2000,36.27
2006-08-24,36.66,36.87,36.66,36.82,500,36.17
2006-08-23,37.31,37.31,37.01,37.04,500,36.38
2006-08-22,37.39,37.43,37.39,37.43,1100,36.77
2006-08-21,37.15,37.18,37.04,37.04,8000,36.38
2006-08-18,37.07,37.15,37.07,37.15,800,36.49
2006-08-17,37.17,37.44,37.17,37.29,7800,36.63
2006-08-16,36.46,37.23,36.46,37.23,2500,36.57
2006-08-15,36.53,36.65,36.42,36.65,600,36.00
2006-08-14,36.48,36.48,36.01,36.01,1200,35.37
2006-08-11,35.79,35.90,35.79,35.90,700,35.26
2006-08-10,35.95,36.38,35.95,36.30,2600,35.66
2006-08-09,36.40,36.45,36.04,36.05,2800,35.41
2006-08-08,36.87,36.98,36.38,36.38,800,35.74
2006-08-07,36.78,36.86,36.78,36.86,700,36.21
2006-08-04,37.75,37.75,37.00,37.00,1800,36.35
2006-08-03,36.84,36.84,36.84,36.84,000,36.19
2006-08-02,37.04,37.04,36.84,36.84,200,36.19
2006-08-01,36.56,36.71,36.56,36.71,500,36.06
2006-07-31,37.43,37.43,37.43,37.43,200,36.77
2006-07-28,36.99,37.26,36.89,37.26,4000,36.60
2006-07-27,37.11,37.11,37.11,37.11,000,36.45
2006-07-26,36.99,37.11,36.99,37.11,3400,36.45
2006-07-25,36.95,37.11,36.92,37.11,6800,36.45
2006-07-24,36.22,36.74,36.22,36.74,2800,36.09
2006-07-21,36.00,36.00,35.76,35.76,800,35.13
2006-07-20,37.14,37.14,37.14,37.14,000,36.48
2006-07-19,36.83,37.14,36.83,37.14,1100,36.48
2006-07-18,36.21,36.21,36.21,36.21,100,35.57
2006-07-17,36.16,36.16,36.16,36.16,800,35.52
2006-07-14,36.13,36.13,36.06,36.06,3300,35.42
2006-07-13,36.85,36.85,36.39,36.39,4200,35.75
2006-07-12,37.80,37.80,37.17,37.17,3000,36.51
2006-07-11,37.51,37.85,37.51,37.85,900,37.18
2006-07-10,37.55,37.55,37.55,37.55,000,36.89
2006-07-07,37.94,37.94,37.55,37.55,3500,36.89
2006-07-06,37.70,37.70,37.70,37.70,000,37.03
2006-07-05,37.70,37.70,37.70,37.70,400,37.03
2006-07-03,38.08,38.08,38.08,38.08,000,37.41
2006-06-30,38.08,38.08,38.08,38.08,1000,37.41
2006-06-29,37.12,37.71,37.12,37.70,800,37.03
2006-06-28,36.37,36.37,36.37,36.37,500,35.73
2006-06-27,36.92,36.92,36.38,36.38,300,35.74
2006-06-26,36.28,36.28,36.28,36.28,000,35.64
2006-06-23,36.24,36.28,36.24,36.28,800,35.64
2006-06-22,36.13,36.31,36.13,36.31,1500,35.67
2006-06-21,35.65,35.65,35.65,35.65,000,35.02
2006-06-20,35.77,35.77,35.65,35.65,3000,35.02
2006-06-19,35.91,35.91,35.91,35.91,100,35.27
2006-06-16,36.70,36.70,36.30,36.30,300,35.66
2006-06-15,36.29,36.63,36.29,36.62,900,35.97
2006-06-14,35.47,35.47,35.47,35.47,100,34.84
2006-06-13,36.07,36.07,35.54,35.54,39700,34.91
2006-06-12,37.05,37.05,37.05,37.05,000,36.39
2006-06-09,37.05,37.05,37.05,37.05,000,36.39
2006-06-08,36.71,37.07,36.65,37.05,2600,36.39
2006-06-07,36.96,36.96,36.96,36.96,000,36.31
2006-06-06,37.01,37.01,36.96,36.96,600,36.31
2006-06-05,37.72,37.72,37.21,37.21,2100,36.55
2006-06-02,38.00,38.22,38.00,38.22,2000,37.54
2006-06-01,37.80,38.09,37.80,38.09,500,37.42
2006-05-31,37.36,37.51,37.36,37.51,2400,36.85
2006-05-30,37.54,37.54,37.12,37.12,1600,36.46
2006-05-26,38.24,38.24,38.04,38.04,2500,37.37
2006-05-25,37.80,37.84,37.80,37.81,27400,37.14
2006-05-24,37.09,37.58,37.07,37.58,1600,36.92
2006-05-23,37.90,37.90,37.32,37.32,700,36.66
2006-05-22,37.51,37.51,37.35,37.35,3000,36.69
2006-05-19,37.42,37.78,37.42,37.78,17300,37.11
2006-05-18,37.93,37.97,37.54,37.54,24000,36.88
2006-05-17,38.08,38.08,37.80,37.80,3900,37.13
2006-05-16,38.51,38.51,38.31,38.31,600,37.63
2006-05-15,38.22,38.22,38.10,38.10,20600,37.43
2006-05-12,38.79,38.79,38.39,38.39,26400,37.71
2006-05-11,39.51,39.51,39.25,39.25,400,38.56
2006-05-10,40.67,40.67,40.26,40.27,500,39.56
2006-05-09,40.71,40.71,40.71,40.71,000,39.99
2006-05-08,40.70,40.71,40.66,40.71,800,39.99
2006-05-05,40.60,40.83,40.60,40.77,3700,40.05
2006-05-04,40.25,40.25,40.25,40.25,100,39.54
2006-05-03,40.08,40.08,40.08,40.08,000,39.37
2006-05-02,39.75,40.09,39.69,40.08,2000,39.37
2006-05-01,39.94,40.05,39.75,39.75,1400,39.05
2006-04-28,40.00,40.08,39.84,39.84,800,39.14
2006-04-27,39.54,39.85,39.30,39.61,1100,38.91
2006-04-26,40.05,40.05,39.85,39.85,1300,39.15
2006-04-25,39.74,39.74,39.74,39.74,100,39.04
2006-04-24,39.99,39.99,39.78,39.78,1100,39.08
2006-04-21,40.28,40.28,40.01,40.01,700,39.30
2006-04-20,40.07,40.19,39.80,40.06,1300,39.35
2006-04-19,39.88,40.07,39.87,40.07,3700,39.36
2006-04-18,38.90,38.90,38.90,38.90,000,38.21
2006-04-17,39.06,39.06,38.88,38.90,700,38.21
2006-04-13,39.18,39.18,38.95,38.95,900,38.26
2006-04-12,38.84,38.90,38.83,38.90,800,38.21
2006-04-11,39.41,39.41,38.74,38.74,1500,38.05
2006-04-10,39.50,39.50,39.13,39.13,300,38.44
2006-04-07,39.48,39.48,39.48,39.48,800,38.78
2006-04-06,39.61,39.61,39.61,39.61,000,38.91
2006-04-05,39.61,39.61,39.61,39.61,200,38.91
2006-04-04,39.65,39.81,39.65,39.81,2800,39.11
2006-04-03,39.75,39.95,39.62,39.62,46500,38.92
2006-03-31,39.67,39.67,39.67,39.67,300,38.97
2006-03-30,39.92,39.92,39.72,39.72,600,39.02
2006-03-29,39.45,39.69,39.45,39.69,800,38.99
2006-03-28,39.23,39.23,39.23,39.23,000,38.54
2006-03-27,39.32,39.32,39.23,39.23,1500,38.54
2006-03-24,39.20,39.29,39.17,39.29,3300,38.59
2006-03-23,38.97,38.97,38.97,38.97,000,38.28
2006-03-22,38.58,38.97,38.58,38.97,1500,38.28
2006-03-21,38.63,38.77,38.63,38.77,200,38.08
2006-03-20,38.83,38.83,38.83,38.83,100,38.14
2006-03-17,38.69,38.69,38.52,38.52,3800,37.84
2006-03-16,38.67,38.77,38.62,38.62,1200,37.94
2006-03-15,38.37,38.37,38.37,38.37,1000,37.69
2006-03-14,37.94,37.94,37.94,37.94,000,37.27
2006-03-13,38.10,38.10,37.91,37.94,10300,37.27
2006-03-10,37.72,37.72,37.55,37.55,55000,36.89
2006-03-09,37.31,37.31,37.31,37.31,100,36.65
2006-03-08,37.33,37.33,37.33,37.33,100,36.67
2006-03-07,37.69,37.69,37.52,37.55,54200,36.89
