Date,Open,High,Low,Close,Volume,Adj Close
1989-07-31,9.70,9.70,9.70,9.70,000,3.20
1989-08-31,9.96,9.96,9.96,9.96,000,3.29
1989-09-29,9.89,9.89,9.89,9.89,000,3.26
1989-10-31,9.42,9.42,9.42,9.42,000,3.11
1989-11-30,9.40,9.40,9.40,9.40,000,3.10
1989-12-29,9.14,9.14,9.14,9.14,000,3.06
1990-01-31,8.60,8.60,8.60,8.60,000,2.88
1990-02-28,8.67,8.67,8.67,8.67,000,2.90
1990-03-30,8.84,8.84,8.84,8.84,000,2.96
1990-04-30,8.66,8.66,8.66,8.66,000,2.90
1990-05-31,8.93,8.93,8.93,8.93,000,2.99
1990-06-29,9.01,9.01,9.01,9.01,000,3.03
1990-07-31,8.73,8.73,8.73,8.73,000,2.93
1990-08-31,7.63,7.63,7.63,7.63,000,2.56
1990-09-28,7.11,7.11,7.11,7.11,000,2.39
1990-10-31,6.81,6.81,6.81,6.81,000,2.29
1990-11-30,7.05,7.05,7.05,7.05,000,2.37
1990-12-31,7.29,7.29,7.29,7.29,000,2.47
1991-01-31,7.63,7.63,7.63,7.63,000,2.58
1991-02-28,8.45,8.45,8.45,8.45,000,2.86
1991-03-28,8.89,8.89,8.89,8.89,000,3.01
1991-04-30,9.01,9.01,9.01,9.01,000,3.05
1991-05-31,9.29,9.29,9.29,9.29,000,3.15
1991-06-28,8.96,8.96,8.96,8.96,000,3.05
1991-07-31,9.28,9.28,9.28,9.28,000,3.16
1991-08-30,9.40,9.40,9.40,9.40,000,3.20
1991-09-30,9.66,9.66,9.66,9.66,000,3.29
1991-10-31,9.78,9.78,9.78,9.78,000,3.33
1991-11-29,9.61,9.61,9.61,9.61,000,3.27
1991-12-31,10.11,10.11,10.11,10.11,000,3.46
1992-01-31,10.80,10.80,10.80,10.80,000,3.69
1992-02-28,11.27,11.27,11.27,11.27,000,3.85
1992-03-31,11.18,11.18,11.18,11.18,000,3.82
1992-04-30,10.76,10.76,10.76,10.76,000,3.68
1992-05-29,10.73,10.73,10.73,10.73,000,3.67
1992-06-30,10.32,10.32,10.32,10.32,000,3.55
1992-07-31,10.60,10.60,10.60,10.60,000,3.64
1992-08-31,10.42,10.42,10.42,10.42,000,3.58
1992-09-30,10.55,10.55,10.55,10.55,000,3.62
1992-10-30,10.76,10.76,10.76,10.76,000,3.70
1992-11-30,11.40,11.40,11.40,11.40,000,3.92
1992-12-31,11.72,11.72,11.72,11.72,000,4.06
1993-01-29,12.13,12.13,12.13,12.13,000,4.20
1993-02-26,12.03,12.03,12.03,12.03,000,4.17
1993-03-31,12.28,12.28,12.28,12.28,000,4.25
1993-04-30,12.01,12.01,12.01,12.01,000,4.16
1993-05-28,12.22,12.22,12.22,12.22,000,4.23
1993-06-30,11.66,11.66,11.66,11.66,000,4.23
1993-07-30,11.92,11.92,11.92,11.92,000,4.33
1993-08-31,12.26,12.26,12.26,12.26,000,4.45
1993-09-30,12.52,12.52,12.52,12.52,000,4.54
1993-10-29,12.78,12.78,12.78,12.78,000,4.64
1993-11-30,12.68,12.68,12.68,12.68,000,4.60
1993-12-31,12.32,12.32,12.32,12.32,000,4.68
1994-01-31,12.67,12.67,12.67,12.67,000,4.81
1994-02-28,12.63,12.63,12.63,12.63,000,4.80
1994-03-31,12.21,12.21,12.21,12.21,000,4.64
1994-04-29,12.11,12.11,12.11,12.11,000,4.60
1994-05-31,11.97,11.97,11.97,11.97,000,4.55
1994-06-30,9.67,9.67,9.67,9.67,000,4.41
1994-07-29,9.68,9.68,9.68,9.68,000,4.41
1994-08-31,9.91,9.91,9.91,9.91,000,4.51
1994-09-30,10.12,10.12,10.12,10.12,000,4.61
1994-10-31,10.09,10.09,10.09,10.09,000,4.60
1994-11-30,9.93,9.93,9.93,9.93,000,4.52
1994-12-30,9.52,9.52,9.52,9.52,000,4.47
1995-01-31,9.66,9.66,9.66,9.66,000,4.53
1995-02-28,9.99,9.99,9.99,9.99,000,4.69
1995-03-31,10.06,10.06,10.06,10.06,000,4.72
1995-04-28,10.29,10.29,10.29,10.29,000,4.83
1995-05-31,10.55,10.55,10.55,10.55,000,4.95
1995-06-30,10.55,10.55,10.55,10.55,000,5.12
1995-07-31,10.82,10.82,10.82,10.82,000,5.25
1995-08-31,10.99,10.99,10.99,10.99,000,5.33
1995-09-29,11.23,11.23,11.23,11.23,000,5.45
1995-10-31,10.97,10.97,10.97,10.97,000,5.32
1995-11-30,11.21,11.21,11.21,11.21,000,5.44
1995-12-29,10.89,10.89,10.89,10.89,000,5.53
1996-01-31,10.94,10.94,10.94,10.94,000,5.55
1996-02-29,11.23,11.23,11.23,11.23,000,5.70
1996-03-29,11.53,11.53,11.53,11.53,000,5.85
1996-04-30,11.71,11.71,11.71,11.71,000,5.94
1996-05-31,12.14,12.14,12.14,12.14,000,6.16
1996-06-28,11.29,11.29,11.29,11.29,000,5.98
1996-07-31,10.77,10.77,10.77,10.77,000,5.71
1996-08-30,11.27,11.27,11.27,11.27,000,5.97
1996-09-30,11.40,11.40,11.40,11.40,000,6.04
1996-10-31,11.67,11.67,11.67,11.67,000,6.19
1996-11-29,12.22,12.22,12.22,12.22,000,6.48
1996-12-31,11.70,11.70,11.70,11.70,000,6.71
1997-01-31,11.94,11.94,11.94,11.94,000,6.85
1997-02-28,11.82,11.82,11.82,11.82,000,6.78
1997-03-31,11.46,11.46,11.46,11.46,000,6.57
1997-04-30,11.34,11.34,11.34,11.34,000,6.50
1997-05-30,12.24,12.24,12.24,12.24,000,7.02
1997-06-30,12.57,12.57,12.57,12.57,000,7.41
1997-07-31,13.17,13.17,13.17,13.17,000,7.77
1997-08-29,13.76,13.76,13.76,13.76,000,8.11
1997-09-30,14.69,14.69,14.69,14.69,000,8.66
1997-10-31,14.30,14.30,14.30,14.30,000,8.43
1997-11-28,14.24,14.24,14.24,14.24,000,8.40
1997-12-31,12.70,12.70,12.70,12.70,000,8.56
1998-01-30,12.56,12.56,12.56,12.56,000,8.47
1998-02-27,13.14,13.14,13.14,13.14,000,8.86
1998-03-31,13.58,13.58,13.58,13.58,000,9.16
