Date,Open,High,Low,Close,Volume,Adj Close
1998-05-29,9.84,9.84,9.84,9.84,000,7.22
1998-06-30,9.84,9.84,9.84,9.84,000,7.22
1998-07-31,8.94,8.94,8.94,8.94,000,6.56
1998-08-31,7.34,7.34,7.34,7.34,000,5.38
1998-09-30,7.74,7.74,7.74,7.74,000,5.68
1998-10-30,8.08,8.08,8.08,8.08,000,5.93
1998-11-30,8.43,8.43,8.43,8.43,000,6.18
1998-12-31,8.74,8.74,8.74,8.74,000,6.45
1999-01-29,8.64,8.64,8.64,8.64,000,6.38
1999-02-26,7.94,7.94,7.94,7.94,000,5.86
1999-03-31,7.87,7.87,7.87,7.87,000,5.84
1999-04-30,8.56,8.56,8.56,8.56,000,6.35
1999-05-28,8.90,8.90,8.90,8.90,000,6.60
1999-06-30,9.45,9.45,9.45,9.45,000,7.01
1999-07-30,9.30,9.30,9.30,9.30,000,6.90
1999-08-31,8.91,8.91,8.91,8.91,000,6.61
1999-09-30,8.75,8.75,8.75,8.75,000,6.49
1999-10-29,8.54,8.54,8.54,8.54,000,6.34
1999-11-30,8.74,8.74,8.74,8.74,000,6.48
1999-12-31,8.45,8.45,8.45,8.45,000,6.67
2000-01-31,8.01,8.01,8.01,8.01,000,6.32
2000-02-29,8.38,8.38,8.38,8.38,000,6.61
2000-03-31,8.45,8.45,8.45,8.45,000,6.86
2000-04-28,8.52,8.52,8.52,8.52,000,6.92
2000-05-31,8.39,8.39,8.39,8.39,000,6.82
2000-06-30,8.63,8.63,8.63,8.63,000,7.01
2000-07-31,8.80,8.80,8.80,8.80,000,7.15
2000-08-31,9.32,9.32,9.32,9.32,000,7.57
2000-09-29,9.30,9.30,9.30,9.30,000,7.56
2000-10-31,9.35,9.35,9.35,9.35,000,7.60
2000-11-30,8.75,8.75,8.75,8.75,000,7.11
2000-12-29,9.65,9.65,9.65,9.65,000,8.14
2001-01-31,10.42,10.42,10.42,10.42,000,8.79
2001-02-28,9.99,9.99,9.99,9.99,000,8.42
2001-03-30,9.13,9.13,9.13,9.13,000,8.08
2001-04-30,9.68,9.68,9.68,9.68,000,8.57
2001-05-31,9.93,9.93,9.93,9.93,000,8.79
2001-06-29,10.32,10.32,10.32,10.32,000,9.13
2001-07-31,10.22,10.22,10.22,10.22,000,9.05
2001-08-31,10.06,10.06,10.06,10.06,000,8.90
2001-09-28,8.62,8.62,8.62,8.62,000,7.63
2001-10-31,9.02,9.02,9.02,9.02,000,7.98
2001-11-30,9.75,9.75,9.75,9.75,000,8.63
2001-12-31,10.29,10.29,10.29,10.29,000,9.26
2002-01-31,10.48,10.48,10.48,10.48,000,9.43
2002-02-28,10.45,10.45,10.45,10.45,000,9.41
2002-03-28,11.08,11.08,11.08,11.08,000,10.23
2002-04-30,11.53,11.53,11.53,11.53,000,10.64
2002-05-31,11.09,11.09,11.09,11.09,000,10.24
2002-06-28,10.62,10.62,10.62,10.62,000,9.80
2002-07-31,8.90,8.90,8.90,8.90,000,8.21
2002-08-30,8.89,8.89,8.89,8.89,000,8.21
2002-09-30,8.23,8.23,8.23,8.23,000,7.60
2002-10-31,8.40,8.40,8.40,8.40,000,7.75
2002-11-29,8.99,8.99,8.99,8.99,000,8.30
2002-12-31,8.52,8.52,8.52,8.52,000,7.95
2003-01-31,8.17,8.17,8.17,8.17,000,7.62
2003-02-28,7.87,7.87,7.87,7.87,000,7.34
2003-03-31,7.84,7.84,7.84,7.84,000,7.31
2003-04-30,8.55,8.55,8.55,8.55,000,7.97
2003-05-30,9.20,9.20,9.20,9.20,000,8.58
2003-06-30,9.36,9.36,9.36,9.36,000,8.73
2003-07-31,9.78,9.78,9.78,9.78,000,9.12
2003-08-29,10.11,10.11,10.11,10.11,000,9.43
2003-09-30,10.06,10.06,10.06,10.06,000,9.38
2003-10-31,10.77,10.77,10.77,10.77,000,10.04
2003-11-28,11.19,11.19,11.19,11.19,000,10.44
2003-12-31,11.49,11.49,11.49,11.49,000,10.90
2004-01-30,11.80,11.80,11.80,11.80,000,11.20
2004-02-27,12.10,12.10,12.10,12.10,000,11.48
2004-03-31,12.31,12.31,12.31,12.31,000,11.68
2004-04-30,11.63,11.63,11.63,11.63,000,11.03
2004-05-28,11.83,11.83,11.83,11.83,000,11.22
2004-06-30,12.42,12.42,12.42,12.42,000,11.78
2004-07-30,11.98,11.98,11.98,11.98,000,11.37
2004-08-31,12.15,12.15,12.15,12.15,000,11.53
2004-09-30,12.56,12.56,12.56,12.56,000,11.92
2004-10-29,12.75,12.75,12.75,12.75,000,12.10
2004-11-30,13.78,13.78,13.78,13.78,000,13.07
2004-12-31,13.97,13.97,13.97,13.97,000,13.47
2005-01-31,13.45,13.45,13.45,13.45,000,12.97
2005-02-28,13.76,13.76,13.76,13.76,000,13.27
2005-03-31,13.50,13.50,13.50,13.50,000,13.02
2005-04-29,12.98,12.98,12.98,12.98,000,12.52
2005-05-31,13.68,13.68,13.68,13.68,000,13.19
2005-06-30,14.21,14.21,14.21,14.21,000,13.70
2005-07-29,15.02,15.02,15.02,15.02,000,14.48
2005-08-31,14.70,14.70,14.70,14.70,000,14.18
2005-09-30,14.78,14.78,14.78,14.78,000,14.25
2005-10-31,14.34,14.34,14.34,14.34,000,13.83
2005-11-30,14.88,14.88,14.88,14.88,000,14.35
2005-12-30,14.56,14.56,14.56,14.56,000,14.29
2006-01-31,15.59,15.59,15.59,15.59,000,15.30
2006-02-28,15.61,15.61,15.61,15.61,000,15.32
2006-03-31,16.16,16.16,16.16,16.16,000,15.87
2006-04-28,16.17,16.17,16.17,16.17,000,15.88
2006-05-31,15.55,15.55,15.55,15.55,000,15.27
2006-06-30,15.72,15.72,15.72,15.72,000,15.44
2006-07-31,15.49,15.49,15.49,15.49,000,15.21
2006-08-31,15.85,15.85,15.85,15.85,000,15.56
2006-09-29,15.99,15.99,15.99,15.99,000,15.70
2006-10-31,16.76,16.76,16.76,16.76,000,16.46
2006-11-30,17.27,17.27,17.27,17.27,000,16.96
2006-12-29,17.05,17.05,17.05,17.05,000,17.04
2007-01-31,17.39,17.39,17.39,17.39,000,17.38
2007-02-28,17.29,17.29,17.29,17.29,000,17.28
2007-03-30,17.38,17.38,17.38,17.38,000,17.38
2007-04-30,17.70,17.70,17.70,17.70,000,17.70
2007-05-31,18.35,18.35,18.35,18.35,000,18.35
2007-06-29,17.89,17.89,17.89,17.89,000,17.89
2007-07-31,16.60,16.60,16.60,16.60,000,16.60
2007-08-31,16.84,16.84,16.84,16.84,000,16.84
2007-09-28,16.99,16.99,16.99,16.99,000,16.99
2007-10-31,17.22,17.22,17.22,17.22,000,17.22
2007-11-30,16.06,16.06,16.06,16.06,000,16.06
2007-12-07,16.45,16.45,16.45,16.45,000,16.45
