Date,Open,High,Low,Close,Volume,Adj Close
1993-03-31,11.17,11.17,11.17,11.17,000,5.94
1993-04-30,11.12,11.12,11.12,11.12,000,5.91
1993-05-28,11.33,11.33,11.33,11.33,000,6.02
1993-06-30,11.41,11.41,11.41,11.41,000,6.10
1993-07-30,11.55,11.55,11.55,11.55,000,6.18
1993-08-31,12.00,12.00,12.00,12.00,000,6.42
1993-09-30,11.92,11.92,11.92,11.92,000,6.42
1993-10-29,11.98,11.98,11.98,11.98,000,6.45
1993-11-30,11.76,11.76,11.76,11.76,000,6.33
1993-12-31,11.73,11.73,11.73,11.73,000,6.44
1994-01-31,12.28,12.28,12.28,12.28,000,6.74
1994-02-28,11.84,11.84,11.84,11.84,000,6.50
1994-03-31,11.18,11.18,11.18,11.18,000,6.23
1994-04-29,11.41,11.41,11.41,11.41,000,6.36
1994-05-31,11.59,11.59,11.59,11.59,000,6.46
1994-06-30,11.20,11.20,11.20,11.20,000,6.28
1994-07-29,11.60,11.60,11.60,11.60,000,6.50
1994-08-31,11.92,11.92,11.92,11.92,000,6.68
1994-09-30,11.43,11.43,11.43,11.43,000,6.44
1994-10-31,11.67,11.67,11.67,11.67,000,6.58
1994-11-30,11.20,11.20,11.20,11.20,000,6.31
1994-12-30,11.12,11.12,11.12,11.12,000,6.39
1995-01-31,11.42,11.42,11.42,11.42,000,6.57
1995-02-28,11.86,11.86,11.86,11.86,000,6.82
1995-03-31,12.12,12.12,12.12,12.12,000,7.01
1995-04-28,12.52,12.52,12.52,12.52,000,7.24
1995-05-31,13.07,13.07,13.07,13.07,000,7.56
1995-06-30,13.10,13.10,13.10,13.10,000,7.62
1995-07-31,13.56,13.56,13.56,13.56,000,7.88
1995-08-31,13.67,13.67,13.67,13.67,000,7.95
1995-09-29,14.08,14.08,14.08,14.08,000,8.23
1995-10-31,13.86,13.86,13.86,13.86,000,8.10
1995-11-30,14.58,14.58,14.58,14.58,000,8.52
1995-12-29,14.80,14.80,14.80,14.80,000,8.76
1996-01-31,15.23,15.23,15.23,15.23,000,9.02
1996-02-29,15.37,15.37,15.37,15.37,000,9.10
1996-03-29,15.42,15.42,15.42,15.42,000,9.31
