
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
197501  24.44  23.22  25.33  23.88  25.84  24.11  25.75  21.45  25.97
197502  13.62  16.20  13.40  15.18  12.84  16.01  12.36  13.27  13.68
197503  -2.71  -2.87  -1.46  -3.92  -1.19  -3.80  -1.76  -3.29  -1.93
197504   7.27   6.22   7.58   5.86   7.76   5.71   6.40   4.90   7.84
197505  -1.45  -3.24  -0.83   0.03  -1.37   0.47  -0.63  -2.88  -1.89
197506  -7.06  -8.94  -8.06  -6.72  -8.91  -6.85  -8.04  -6.00  -7.83
197507  -3.91  -4.02  -3.53  -3.02  -3.50  -3.40  -3.05  -2.79  -4.03
197508   2.43   2.73   2.56   2.28   2.17   2.21   1.56   2.22   1.72
197509  -4.62  -4.53  -4.81  -4.87  -5.07  -5.00  -5.07  -4.11  -5.43
197510   8.21   8.17   6.87   9.72   7.60   8.63   9.15   9.32   7.51
197511   2.87   3.01   1.60   3.58   2.38   2.78   2.43   2.98   2.77
197512   2.12   3.86   0.94   2.80   1.44   4.06   2.12   2.45   1.25
197601   4.40   7.58   2.97   6.19   3.91   6.96   2.00   5.08   4.15
197602  -1.87  -1.02  -1.83  -0.74  -2.16   0.85  -1.74  -2.36  -1.22
197603  -2.80  -3.06  -4.01  -0.75  -3.18  -0.96  -2.86  -1.25  -3.98
197604  -1.29  -2.98  -1.07  -1.30  -1.76  -1.21  -1.93  -1.24  -0.44
197605  -4.64  -5.13  -5.41  -3.54  -4.85  -4.10  -4.62  -4.20  -4.79
197606  -0.16   0.63   0.36   0.71  -0.09   0.59  -0.48   0.70  -0.67
197607  -1.69  -2.04  -0.95  -2.67  -2.35  -1.54  -1.87  -0.97  -2.13
197608  -1.99  -0.93  -1.73  -2.72  -2.21  -2.68  -2.71  -1.53  -3.39
197609  -2.71  -3.11  -3.69  -1.79  -2.77  -3.25  -1.29  -1.92  -2.47
197610  -7.57  -9.47  -7.37  -7.57  -6.83  -8.22  -6.40  -8.19  -7.22
