
     Value-Weight Dollar Returns      All 4 Data Items Not Reqd
                -- BE/ME --   --- E/P ---   --- CE/P --   --- Yld ---
          Mkt   High    Low   High    Low   High    Low   High    Low
197501  11.35   9.05  12.90   9.42  13.33   8.93  13.12   7.50  14.06
197502   8.08   6.75   8.68   8.07   7.30   8.85   8.55   6.25   8.58
197503  -2.66  -0.67  -2.32  -3.30  -1.01  -2.63  -2.43  -2.85  -2.44
197504   4.16   6.91   4.04   0.03   9.32  -0.46   3.80  -0.44   9.42
197505  -2.42  -4.00  -1.14  -4.43  -2.32  -6.11   0.94  -4.55   0.33
197506   2.68   1.44   3.15   8.62   1.51  10.39   1.61   2.67   1.48
197507  -4.80  -4.77  -5.05  -4.48  -6.41  -3.86  -4.72  -4.12  -5.64
197508  -3.20  -4.50  -5.08  -3.08  -0.31  -4.03  -5.37  -3.70  -3.57
197509  -1.98  -1.45  -4.65  -0.89  -2.97  -1.44  -3.95   0.84  -5.13
197510   5.16   6.06   3.18   4.57   6.05   2.62   3.21   6.76   4.34
197511  -2.57  -2.59  -3.96  -2.24  -2.39  -3.22  -4.44  -0.43  -3.95
197512   2.05   5.72  -0.22   2.72   1.52   1.44  -0.49   4.85  -0.28
197601   7.09  10.44   7.46  10.48   4.46   7.05   5.95   9.24   6.23
197602  -0.18   0.49  -1.62   1.24  -0.62   0.53  -1.04   1.00  -2.92
197603   1.48   2.43   0.25   5.30   1.45   3.60   2.18   1.24   3.15
197604   8.76   8.96   9.58   9.34   8.91  10.76   8.23   9.09   8.66
197605  -4.81  -6.02  -3.30  -8.39  -2.05  -7.14  -2.35  -4.97  -6.49
197606   1.16  -0.01   1.24   4.39   0.16   0.86   0.35  -1.50   3.64
197607   1.32   1.19   1.02   2.97   0.18   2.75   0.08   1.74   1.32
197608  -4.24  -5.30  -3.30  -5.40  -5.28  -5.24  -4.84  -4.70  -3.95
197609  -1.82  -7.49   0.87  -5.52  -1.16  -7.78  -1.49  -3.96   0.41
197610  -6.95 -13.01  -4.72 -10.66  -2.47 -14.75  -2.53  -9.08  -4.29
197611   4.01   2.71   6.05   5.10   4.43   0.06   4.56   4.45   2.15
197612   5.35   5.68   5.40   4.61   4.15   4.89   3.74   8.10   4.45
197701  -7.96  -8.35  -7.63  -6.96  -6.69 -11.26  -9.99  -5.61  -6.93
197702   8.41  11.54   5.84   8.55   7.17  11.07   8.72   6.67   7.88
197703   2.39   3.99   2.61   2.03   3.47   2.40   1.82   1.66   3.47
197704  -4.99  -5.49  -6.76  -3.34  -5.56  -5.45  -4.84  -5.01  -3.98
197705  -2.50  -3.22  -0.55  -0.10  -4.16 -10.54  -1.37  -5.52   0.20
197706  -7.82 -11.35  -4.82  -7.26  -8.01 -10.64  -8.83  -7.19  -6.65
197707  -0.85  -2.68   1.23   1.07   0.16  -0.09  -0.15   1.50  -1.69
197708 -13.47 -14.72 -11.50  -8.14 -15.04 -19.04 -15.14 -12.55  -9.66
197709   5.65   5.95   5.48   7.46   2.59   3.57   7.23   4.47   3.92
197710  -3.42  -2.41  -1.97  -2.44  -2.89  -5.18  -4.03  -1.33  -4.01
197711  -5.54  -2.95  -5.86  -5.43  -2.11  -6.14  -7.36  -1.78  -8.77
197712   9.56  11.04   9.74  10.69   8.80  10.35  13.19   9.48   8.03
197801   7.85  19.19   6.35   7.02   7.36  18.16   7.45  15.48   8.99
197802  -2.23  -4.18  -0.35  -1.70  -1.40  -2.87   0.87  -4.98  -0.65
197803   6.81  13.16   4.95   4.14   6.34  12.91   4.42  11.93   5.03
197804   4.35   3.02   5.63   4.80   3.43   3.15   4.20   3.85   6.37
197805  -2.98  -6.53   1.27  -3.34  -6.67  -9.38  -1.87  -9.09  -4.56
197806   2.74  -4.49   3.96  -0.98   1.81  -3.04   6.38  -4.55   5.77
197807   8.59  16.10   8.31  11.91   8.18  16.65   6.26  15.39   7.40
197808   4.29   5.82   5.23   6.98   3.66   3.19   0.96   3.71   3.52
197809  -1.17  -3.33  -0.72  -1.09  -2.84  -1.15  -1.22  -2.33   0.04
197810   0.77  -0.13   2.12   4.15  -2.04  -0.97   2.13   1.43   0.45
197811  -5.69  -5.31  -6.27  -4.36  -6.30  -2.73  -7.71  -4.51  -4.13
197812   2.82   0.32   3.48   2.04   3.21  -2.43   2.78   0.01   4.53
197901   7.41  15.76   4.24   4.67   8.95  16.66   6.42  11.40   6.44
197902  -2.01  -1.36  -2.81  -3.93  -2.18  -1.41  -3.56  -3.58  -2.00
197903   0.68   0.88   0.39  -2.85   1.18   4.79   0.30  -0.18  -0.27
197904  -2.00  -5.74  -1.67  -2.77  -1.88  -2.23  -5.65  -2.92  -3.88
197905   1.29   0.85   2.65  -1.61   4.03   1.18  -4.08  -0.06   2.48
197906   4.49   1.52   6.75  -0.03   6.97  -2.24   0.51  -0.54  -0.11
197907   3.32   7.07   2.17   3.81   4.87   4.60   5.63   6.76   1.54
197908  -0.24   2.04  -0.37  -0.88   0.04   2.07  -2.16  -0.78   1.50
197909   5.75   5.78   5.86   3.98   4.36   5.58  -0.30   4.20   3.08
197910   0.47   0.72   0.16  -0.71  -0.34   0.57  -4.07  -1.82   2.34
197911   8.31   3.84  10.93   2.16  11.86   4.45   2.86   2.60   4.14
197912   1.77   2.93   2.59   2.33   3.62   5.26   1.83   3.89   2.22
198001   4.98  12.36   0.75   5.21   3.64  12.92   3.18   7.82   2.70
198002  -3.17   5.53  -4.85   0.38  -2.76   2.13   0.33   0.62  -2.92
198003 -12.52  -7.73 -12.82  -7.17 -11.04  -5.40  -3.42  -8.82 -13.92
198004   9.09   4.70  11.37   8.15   8.23   3.21   2.96   6.45   7.41
198005   3.54  -3.62   4.71   0.50   4.37  -3.71   0.29   0.16   5.02
198006   1.06  -2.01   3.10  -1.69   0.45   1.35   3.21   1.56   2.68
198007  -0.62  -0.81  -0.52  -0.33  -0.54  -0.59   0.05   0.27  -1.21
198008  -3.29  -1.67  -3.41  -1.47  -4.33  -3.50  -0.44  -1.73  -2.52
198009   3.70  -0.89   3.42   1.59   3.89   0.50  -2.20   1.19   2.48
198010   3.32   3.31   2.74   3.41   1.00  11.08   2.05   5.75   0.91
198011   3.17   7.98   2.47   6.60   4.66   7.54   5.92   5.56   1.26
198012  -0.12   0.74   0.67   0.09   1.33   2.78   6.30   0.36   1.71
198101  -5.50  -3.22  -7.89  -7.20  -4.20  -5.26  -3.64  -4.30  -5.93
198102   7.21  19.23   1.95  14.12   1.27  22.43   6.68  15.33   0.58
198103   4.43   6.07   5.65   8.72   3.63   8.56   5.62   5.32   4.32
198104  -5.90  -3.61  -6.42 -10.63  -4.62  -8.13  -6.99  -5.22  -6.59
198105  -0.16  -3.38  -0.43  -2.68   1.90  -0.57   6.12  -1.98  -0.36
198106   6.45  13.60   5.70  11.67   4.36  16.45   5.56   9.60   5.08
198107   4.81   8.45   4.63   7.72   2.05  10.53  -0.64   2.97   3.82
198108   0.87   0.40   2.71  -1.61   1.46  -1.20  -0.51   3.47  -0.45
198109 -11.51 -10.52  -9.96 -12.13 -10.70 -13.33 -11.61  -9.69 -10.38
198110  11.67  11.07  12.51   7.82  16.05  13.08  14.74  11.59  12.45
198111   8.74   9.68   7.68   6.11   7.38   8.74   8.75  10.96   6.60
198112  -5.10  -5.27  -3.89  -4.28  -3.86  -5.02  -4.07  -5.10  -5.64
198201  -1.39   4.96  -4.02   6.02  -2.14   1.35  -1.14   2.93  -3.48
198202  -3.81  -3.20  -4.52  -3.69  -3.37  -1.36  -1.89  -1.00  -4.32
198203  -7.65  -8.97  -9.76  -6.94  -4.91  -7.81  -3.10  -7.06  -8.80
198204  -1.07  -3.58   1.07  -1.76  -1.34  -3.78  -3.85  -2.39   1.53
198205   1.93  -0.29   3.49  -0.58   3.71  -4.33   0.80  -0.40   1.36
198206  -5.20  -8.62  -5.31  -3.96  -4.78  -4.65  -0.86  -3.55  -4.95
198207   4.67   0.77   2.86   2.58   7.79   5.05   9.53   3.24   3.85
198208  -0.39  -1.03   2.06  -3.44  -1.74  -1.59  -0.50  -2.14   3.72
198209   2.35   1.09   0.45   2.71   3.51   2.96   3.77   0.65   0.09
198210  -3.89  -9.66  -2.04  -5.63  -2.22  -7.04  -0.65  -4.27   2.13
198211  13.01   5.07  12.37   5.75  21.96   8.44  23.36   8.27  11.95
198212   7.83   8.13   5.21   7.12   8.18  11.51  11.68   8.02   5.62
198301  13.12  23.17   8.52  22.22  11.19  33.32   8.32  19.24  13.13
198302  19.67  22.56  19.52  20.71  20.90  16.78  18.02  17.67  17.53
198303  -0.27   4.00   1.10  -2.49   2.65  -3.17   0.46  -2.82   1.84
198304  13.43   5.01  14.39  12.59  18.33   9.71  10.59   6.39  10.23
198305  -1.93  -2.63  -0.96  -4.02   0.73  -2.61  -3.03  -3.94  -1.76
198306  -4.89  -0.81  -4.98  -5.80  -6.13  -3.69  -6.49  -2.61  -6.05
198307   8.26  11.10   7.87   9.77   7.07   8.46   6.52   9.16   6.86
198308   2.12   7.04   1.31   0.84  -0.17   2.46   1.51   2.70   1.53
198309  -0.31   0.27  -0.34   3.12  -2.42  -2.65   0.08   3.05   0.37
198310  -2.03  -1.85  -2.09  -0.51  -0.93   1.00  -3.64  -1.85  -3.28
198311   5.00   4.95   5.04   5.44   3.41   4.58   1.67   6.99   3.45
198312  -2.87   1.00  -4.72  -0.17  -2.92  -3.98  -4.55   0.06  -4.34
198401   8.86  12.83   2.65  15.23   3.56  17.07   5.61  10.89   6.80
198402   1.69   3.65  -1.07   2.97   1.71   2.83   3.30   5.21  -1.75
198403   5.13  10.40   2.96   9.02   5.10   9.17   3.22   6.63   4.21
198404  -4.41  -3.42  -5.89  -5.75  -5.00  -5.72  -5.92  -4.02  -5.35
198405  -9.39  -7.42 -11.28  -7.23 -11.74  -6.46 -11.70  -7.23 -14.07
198406  -1.05  -0.38   1.06  -1.35  -0.71   3.03   1.49  -1.83  -1.62
198407  -0.44  -1.25  -1.99   3.19  -1.68   3.16  -2.08  -2.12   0.42
198408   2.22  -1.17   5.89   0.23   1.24  -1.54  -1.67  -0.21   4.84
198409  -6.50  -9.32  -5.03  -7.46  -2.29  -8.13  -1.71  -8.93  -5.98
198410  -1.72  -1.24  -1.64  -1.01  -2.87  -2.14  -6.47  -0.30  -2.01
198411  -6.51  -5.16  -7.69  -4.98  -3.06  -6.62  -5.72  -2.90  -4.97
198412  -1.89   1.13  -6.37   2.22  -2.42   0.86  -3.58   0.68  -6.42
198501   9.75   9.85   9.98   8.36   9.09  10.93   9.20   8.80  10.96
198502  -6.39  -6.77  -8.66  -3.64  -8.18  -1.44  -9.65  -5.50  -9.01
198503   3.45   4.81   3.63   1.59   2.51   3.22   3.82   5.28   2.14
198504   2.75   0.86   2.64   2.73   4.43   1.35   3.87  -0.26   3.09
198505  -3.70  -1.67  -1.88  -8.58  -0.16 -12.39  -3.24  -2.20   2.12
198506  -1.89   0.16  -1.27  -0.83  -2.50  -1.08  -1.13  -1.78  -4.63
198507  12.38   8.45  15.15  13.48  12.91  11.93  12.68  10.67  13.63
198508  -1.15  -0.11  -3.52   0.82  -1.40   0.86  -3.67  -2.10  -2.57
198509   6.14   6.77   4.41   7.12   7.39   5.55   8.42   6.10   6.89
198510  10.05   8.42   9.14  16.15   9.62  11.68   8.57   7.74   9.09
198511  13.48  12.29  11.52  15.79  10.47  19.56  14.79   9.60  12.84
198512   5.55   7.98   4.94   6.62   3.69   7.49   4.94   8.06   3.50
198601   1.70   3.22   0.11   1.59   3.02   0.45   2.22   3.23   3.73
198602   9.57   6.94   8.75  10.44   6.05  10.96   4.81  13.65   6.95
198603   7.67   4.91   8.01   6.36   7.41   4.18   7.32   6.97   7.10
198604   9.11   5.53   5.74  11.80   5.71  10.82   7.70   5.81   5.91
198605  -0.17  -2.92   0.97   3.70  -2.43   1.31  -0.91  -3.15  -1.85
198606   5.78   5.59   9.09   2.98   5.78  10.54   7.25   3.53  11.76
198607   1.87  -0.45   4.15   1.75   0.97   0.62   1.91   5.16   2.18
198608   3.51   1.60   3.54   5.69   4.28   4.32   2.70   5.92   2.11
198609  -0.79   4.49   1.25  -4.24   2.20   1.82   0.40   0.34   0.80
198610   3.82   4.97   4.86   3.43   3.83   1.52   3.98   5.11   6.39
198611  -1.10  -0.55   0.27  -2.62   0.65   0.03   1.35  -1.63   0.29
198612  -0.25  -0.71   1.43  -1.79   0.05  -0.26   1.28  -1.32   0.90
198701  -4.37  -0.52  -2.24  -5.21  -4.72  -6.15  -3.26  -5.76  -1.66
198702  12.58  11.77  13.87  10.86  15.61  14.71  15.41  12.19  14.02
198703   6.30   8.67   7.12   5.72   9.74   5.51   7.20   5.49   6.12
198704   9.11  14.03   6.93   9.61  10.82  14.10   8.84  10.29   7.67
198705  -5.06  -3.88  -3.03  -6.41  -2.46  -6.34  -2.73  -6.38  -2.63
198706   2.36   0.32   1.13   3.11   0.40   2.28   0.83   1.22   2.04
198707   7.76   6.56   8.60   9.65   6.82  10.04   7.94   8.81   9.19
198708   5.71   3.82   3.46   5.82   0.35   4.47   1.47   5.23   3.37
198709   3.74   5.38   1.04   6.78   1.19   7.74   0.57   5.95   0.96
198710 -19.22 -19.24 -18.03 -18.10 -17.09 -19.31 -19.20 -18.61 -17.41
198711 -12.40 -10.50 -10.38 -15.58 -11.16 -15.99 -10.33 -10.49 -10.55
198712   5.63   2.43   7.50   6.02   7.16   3.18   8.00   3.99   6.41
198801   4.89   5.38   3.01   4.73   4.58   6.28   4.71   4.54   4.77
198802   3.31   4.50   0.43   2.30   2.40   4.40   1.33   2.97   1.50
198803   7.74   8.14   5.84   6.18   5.03   9.24   8.59   6.30   4.80
198804   3.61   4.94   2.03   5.08   3.49   5.77   1.89   4.90   2.62
198805   2.37   0.58   2.71   1.34   2.66   0.52   2.42   1.31   1.59
198806  -3.84  -4.68  -4.96  -4.45  -4.45  -4.94  -4.98  -3.13  -6.06
198807   1.41   2.12   2.11   2.35   3.77   2.39   2.17   2.21   2.95
198808  -5.60  -6.01  -6.99  -6.33  -6.11  -6.33  -6.04  -5.23  -6.79
198809   4.10   5.96   3.47   5.72   2.07   6.68   2.54   4.72   3.67
198810   7.51   5.67  11.84   5.90  10.52   4.86   8.72   7.47  12.22
198811   5.10   4.78   4.91   6.95   6.06   5.81   4.16   6.04   5.83
198812   4.72   7.58   3.36   7.11   3.16   6.43   3.55   6.26   3.31
198901   2.61   3.04   2.07   1.67   1.90   2.08   1.84   2.80   0.88
198902   2.54   3.96   0.54   3.49   2.59   3.37   0.90   2.49   1.21
198903   3.52   4.28   1.64   4.85   2.55   6.56   2.27   3.98   3.12
198904   3.50   2.90   3.83   1.65   3.75   5.27   4.47   3.45   3.73
198905  -1.16  -0.31   1.36  -3.80   0.40  -1.54  -0.18  -0.66   0.97
198906   3.16   1.86   2.78   1.47   4.14   3.93   3.12   0.97   3.45
